Listagem de projetos contemplados e valores – Programa Ibermedia 2004 a 2019;;;;;;;;
;;;;;;;;
Ano do Edital;Modalidade;Projeto;Certificado de Produto Brasileiro (CPB);CNPJ;Empresa Brasileira Beneficiária no Ibermedia;UF;Participação Patrimonial;Valor (US$)
2011;Desenvolvimento;Samba; -;44.154.342/0001-31;Raiz;SP; -;10.000,00
2011;Desenvolvimento;Elefantes Secos; -;08.802.622/0001-45;Saphira Projetos Especiais;BA; -;10.000,00
2011;Desenvolvimento;Mercados de América Latina; -;10.331.623/0001-09;Sete Personagens Produções Culturais Ltda;RJ; -;10.000,00
2011;Desenvolvimento;Pode Copiar; -;05.256.465/0001-21;Urca Filmes Ltda;RJ; -;15.000,00
2011;Desenvolvimento;Comigo; -;05.885.763/0001-80;Zora Mídia;SP; -;10.000,00
2011;Formação;BR Lab; -;07.446.174/0001-21;Associação Do Audiovisual;SP; -;45.000,00
2011;Formação;Lab Sp; -;07.446.174/0001-21;Associação Do Audiovisual;SP; -;45.000,00
2011;Formação;Ponto de Encontro; -;05.576.331/0001-98;TAL;SP; -;36.000,00
2010;Coprodução;Girimunho;B1201558400000;"07.525.577/0001-66; 66.876.707/0001-74";Anavilhana/Dezenove Som e Imagens Produções Ltda - EPP;MG/SP;Coprodução Brasil Majoritário;110.000,00
2010;Coprodução;El padre de Gardel (ex El Silencio de Tacuarembó);B1402237500000;94.625.829/0001-23;Casa De Cinema De Porto Alegre Ltda.;RS;Coprodução Brasil Minoritário;15.000,00
2010;Coprodução;Amor Sem Fronteiras;B1800089700000;73.619.637/0001-34;Filmes Do Equador Ltda.;RJ;Coprodução Brasil Majoritário;110.000,00
2010;Coprodução;Super Nada (Ex Teste);B1101521000000;58.496.571/0001-49;Texto & Cia;SP;Coprodução Brasil Majoritário;110.000,00
2010;Coprodução;A Estrada 47;B1402125800000;01.713.311/0001-60;Tres Mundos Cine Y Video Ltda;RJ;Coprodução Brasil Majoritário;100.000,00
2010;Desenvolvimento;O Vizinho; -;08.291.497/0001-56;Abuzza;MG; -;13.000,00
2010;Desenvolvimento;Pela Janela;B1700088100000;66.876.707/0001-74;Dezenove Som e Imagens Produções Ltda - EPP;SP; -;13.000,00
2010;Desenvolvimento;Para Francisco; -;09.163.961/0001-91;Elástica Filmes;SP; -;14.000,00
2010;Desenvolvimento;Grand Tour; -;06.967.225/0001-06;Losbragas Produções Ltda;RJ; -;13.000,00
2010;Desenvolvimento;A Vontade dos Homens; -;44.154.342/0001-31;Raiz;SP; -;13.000,00
2010;Desenvolvimento;Boi Neon (ex Valeu Boi!);B1500798600000;09.942.024/0001-34;Símio Filmes Ltda;PE; -;14.000,00
2010;Desenvolvimento;Happy Hour;B1700571300000;05.256.465/0001-21;Urca Filmes Ltda;RJ; -;13.500,00
2010;Formação;Diplomado Preservação Fílmica; -;59.090.092/0001-90;Sociedade Amigos Cinemateca Brasileira - SAC;SP; -;30.000,00
2010;Formação;Ii Seminario de Biclioci; -;59.090.092/0001-90;Sociedade Amigos Cinemateca Brasileira - SAC;SP; -;28.000,00
2009;Coprodução;O País do Desejo;B1101445400000;02.140.120/0001-10;Bananeira Filmes Ltda;RJ;Coprodução Brasil Majoritário;110.000,00
2009;Coprodução;Embargo;B1101365800000;00.291.470/0001-51;Diler & Associados Ltda;RJ;Coprodução Brasil Minoritário;100.000,00
2009;Coprodução;Mundialito;B1201591100000;08.530.210/0001-01;Letícia de Cássia Costa de Oliveira;RS;Coprodução Brasil Minoritário;25.000,00
2009;Coprodução;El Facilitador; -;74.107.475/0001-18;Plural Filmes;RJ;Coprodução Brasil Minoritário;70.000,00
2009;Coprodução;Entre Vales;B1301935400000;03.382.581/0001-61;Polo de Imagem Ltda;SP;Coprodução Brasil Majoritário;140.000,00
2009;Coprodução;Exilados;B1301890900000;03.382.581/0001-61;Polo de Imagem Ltda;SP;Coprodução Brasil Minoritário;12.000,00
2009;Coprodução;O Manuscrito Perdido (ex O Manuscrito Perdido de Fradique Mendes);B1101377500000;05.436.489/0001-62;Refinaria Produções Ltda;RJ;Coprodução Brasil Minoritário;40.000,00
2009;Coprodução;Histórias Que Só Existem Quando Lembradas;B1101414400000;73.947.392/0001-74;Taiga Filmes e Video Eireli;RJ;Coprodução Brasil Majoritário;150.000,00
2009;Coprodução;Carta Para o Futuro;B1201596700000;05.256.465/0001-21;Urca Filmes Ltda;RJ;Coprodução Brasil Majoritário;50.000,00
2009;Desenvolvimento;Sobre Rodas Latinoamerica;B1301944600000;03.189.055/0001-80;Abbas Filmes Ltda;RJ; -;15.000,00
2009;Desenvolvimento;Sempre Em Outro Lugar; -;02.140.120/0001-10;Bananeira Filmes Ltda;RJ; -;15.000,00
2009;Desenvolvimento;Getúlio;B1402159100000;28.026.565/0001-67;Elimar Produções Artísticas Ltda;RJ; -;14.977,00
2009;Desenvolvimento;A Marcha; -;04.954.928/0001-66;Geral Ltda.;RJ; -;14.087,00
2009;Desenvolvimento;Clandestinos; -;32.056.954/0001-02;Hkauffmann Produção de Imagens Ltda;RJ; -;12.000,00
2009;Desenvolvimento;Tudo Isto Me Parece Um Sonho;B0901040600000;33.737.511/0001-40;Saruê Filmes Ltda;RJ; -;15.000,00
2009;Desenvolvimento;D. Felix e o Tempo Redondo; -;09.038.882/0001-59;TIJD Produções Artísticas Ltda;SP; -;15.000,00
2009;Exibição;-;-;25.467.226/0001-28;Usina Unibanco de Cinema ;MG; -;48.000,00
2008;Coprodução;C.U.B.A.; -;06.267.762/0001-35;AIA Produções Ltda;SP;Coprodução Brasil Majoritário;100.000,00
2008;Coprodução;Garcia;B1101355900000; 03.112.121/0001-13;Cine Latina Estudio EIRELI - EPP;SP;Coprodução Brasil Minoritário;100.000,00
2008;Coprodução;América!;B1201604900000;66.876.707/0001-74;Dezenove Som e Imagens Produções Ltda - EPP;SP;Coprodução Brasil Minoritário;150.000,00
2008;Coprodução;Muita Calma Nessa Hora;B1001282000000;"01.475.173/0001-29; 09.558.964/0001-24";Idéias Ideais Design & Produções Ltda/Casé Filmes Ltda.;RJ;Coprodução Brasil Majoritário;140.000,00
2008;Coprodução;As Doze Estrelas;B1101385900000;54.110.648/0001-40;Lapfilme;SP;Coprodução Brasil Majoritário;140.000,00
2008;Coprodução;Reus;B1101438100000;04.980.287/0001-14;Panda Filmes;RS;Coprodução Brasil Minoritário;70.000,00
2008;Coprodução;Do Começo Ao Fim;B0901103700000;"31.606.247/0001-80; 03.838.776/0001-73";Pequena Central de Produções Artísticas Ltda/Hare Filmes Produções Ltda - ME;SP/RJ;Coprodução Brasil Majoritário;140.000,00
2008;Coprodução;O Grande Kilapy;B1301996600000;44.154.342/0001-31;Raiz;SP;Coprodução Brasil Minoritário;100.000,00
2008;Coprodução;O Sexo dos Anjos;B1201596000000;64.534.456/0001-14;Stopline Media Brazil S.A.;SP;Coprodução Brasil Minoritário;90.000,00
2008;Coprodução;Dawson Isla 10;B1001303400000;34.366.831/0001-01;Vpc Cinema Video Produções Artísticas e Distribuidora de Filmes Ltda.;BA;Coprodução Brasil Minoritário;150.000,00
2008;Delivery;Hotel Atlântico;B0901117100000;61.374.229/0001-80;Planifilmes Ltda;SP;Delivery Brasil Majoritário;7.660,00
2008;Delivery;31 Minutos;B1201568300000;02.863.008/0001-07;Total Entertainment Ltda;RJ;Delivery Brasil Minoritário;10.000,00
2008;Delivery;Que Culpa Tiene El Tomate; -;03.360.320/0001-40;TV Zero Cinema Ltda;RJ;Delivery Brasil Minoritário;12.500,00
2008;Desenvolvimento;Não Linear; -;02.140.120/0001-10;Bananeira Filmes Ltda;RJ; -;12.000,00
2008;Desenvolvimento;Amor Sem Fronteiras;B1800089700000;73.619.637/0001-34;Filmes Do Equador Ltda.;RJ; -;12.000,00
2008;Desenvolvimento;O Mulato; -;01.120.593/0001-92;Fita Gomada Produções Artísticas Ltda ME;RJ; -;12.000,00
2008;Desenvolvimento;Solimões; -;32.056.954/0001-02;Hkauffmann Produção de Imagens Ltda;RJ; -;12.000,00
2008;Desenvolvimento;Cicatrices del Mundo; -;27.920.016/0001-79;Mpc & Associados;RJ; -;12.000,00
2008;Desenvolvimento;Maresia;B1402855900000;03.766.122/0001-81;Solar Filmes Ltda - ME;RJ; -;12.000,00
2008;Desenvolvimento;Ao Relento;B1301943500000;52.858.982/0001-50;Superfilmes;SP; -;12.000,00
