PAIS_ORIGEM;TITULO_ORIGINAL;CPB
BRASIL;"""VAI CHORAR COMO EU""";B1101460000000
BRASIL;"""VIDA QUE SEGUE...""";B1402191800000
BRASIL;"""VOCÊ ME FAZ TÃO BEM""";B0700637300000
BRASIL;"""VOCÊ NÃO SABE O QUE É O AMOR""";B1101500600000
BRASIL;"""VOLTA""";B1700123000000
BRASIL;"""ÓRFÃOS"" - O FILME";B1700233900000
BRASIL;#;B1201631800000
BRASIL;#;B2200390500000
BRASIL;# 26;B0600566100000
BRASIL;# APAIXONADINHO;B1402206700000
BRASIL;#3DICAS;B1600146500000
BRASIL;#AC AO VIVO;B1500132300000
BRASIL;#AINDAMAISAPAIXONADINHOS;B1700062300000
BRASIL;#AOVIVO MAIS DE 100 MIL PESSOAS JÁ ESTÃO NA AVENIDA PAULISTA NO ATO QUE PEDE #FORATEMER E #DIRETASJÁ;B1600657700000
BRASIL;#BRASILINCONSERTO;B2000234400000
BRASIL;#COPANARUA;B1500093800000
BRASIL;#DEIXAELA;B2300211800000
BRASIL;#EAGORAOQUE;B2100243500000
BRASIL;#ENEMNOFUTURA;B1500770700000
BRASIL;#EOF MIXTAPE - EPISÓDIO 01: MATÉRIA DE HOJE;B2500397600000
BRASIL;#ERADOSGIGANTES;B1700338200000
BRASIL;#EUFAÇOPORQUEAMO;B1600224200000
BRASIL;#EUVOCÊTODASNÓS;B1700063800000
BRASIL;#FALAGALERA;B1700424900000
BRASIL;#FALAPRAGENTE;B1600457500000
BRASIL;#FALASÉRIO!;B2500287100000
BRASIL;#FASHION;B1101526500000
BRASIL;#FEIQUE;B1700389600000
BRASIL;#FUCKALLPOSERS;B1700501600000
BRASIL;#GAROTAS;B1500311000000
BRASIL;#IGUALDADE;B1600017600000
BRASIL;#JUNTAQUEÉMELHOR;B1700380000000
BRASIL;#JURI;B1900003000000
BRASIL;#JUSTICEIRA19;B2000525700000
BRASIL;#KIANMARTIN;B1600326000000
BRASIL;#MECHAMADEBRUNA;B1600534500000
BRASIL;#MECHAMADEBRUNA - 2ª TEMPORADA;B1700474600000
BRASIL;#MECHAMADEBRUNA - 3ª TEMPORADA;B1800489100000
BRASIL;#MECHAMADEBRUNA - 4A TEMPORADA;B1900548000000
BRASIL;#MECHAMADEBRUNA - TELEFILME;B1800072200000
BRASIL;#MECHAMADEBRUNA - VERDADES E MENTIRAS;B1700066700000
BRASIL;#MOVIMENTOUBUNUTU;B2100268600000
BRASIL;#MÚSICAEMCASA;B2000158700000
BRASIL;#NINFAS;B2400364600000
BRASIL;#NOFILTER;B1500565300000
BRASIL;#NOIR;B2400364500000
BRASIL;#NOLHODARUA;B1700068600000
BRASIL;#NUDES;B1800244200000
BRASIL;#NÃOVOUCALAR;B1900042000000
BRASIL;#OFUTUROÉFEMININO;B1900089900000
BRASIL;#PARTIU;B1900129800000
BRASIL;#PARTIUBRASIL;B1700178200000
BRASIL;#PARTIUFAMA;B2200223300000
BRASIL;#PARTIUSHOPPING - 1ª TEMPORADA;B1500408700000
BRASIL;#PAZNASESCOLAS;B2300320000000
BRASIL;#POPLIFE;B1700089600000
BRASIL;#PRASEMPREFENOMENO;B1101522900000
BRASIL;#PRECISAMOSFALARSOBREISSO - CARTA PARA ALÉM DOS MUROS;B2000493600000
BRASIL;#PROJETOEMPREENDER;B1402260300000
BRASIL;#PROJETOEMPREENDER INTERPROGRAMAS;B1402249300000
BRASIL;#PROVOCA;B2000462700000
BRASIL;#PROVOCA;B2100227100000
BRASIL;#QUEM LUTA OCUPA;B1700181400000
BRASIL;#RESPEITAASMINA;B2000037700000
BRASIL;#SAL;B1500133900000
BRASIL;#SALVEROSA;B2500337500000
BRASIL;#SANEAMENTOÉBÁSICO | PRA ONDE VAI O SEU COCÔ?;B2100461800000
BRASIL;#SAÚDE;B1900098200000
BRASIL;#SAÚDE - QUARTA TEMPORADA;B2000065200000
BRASIL;#SAÚDE - QUINTA TEMPORADA;B2000170600000
BRASIL;#SAÚDE - SEXTA TEMPORADA;B2000485100000
BRASIL;#SAÚDE - TERCEIRA TEMPORADA;B1900493900000
BRASIL;#SAÚDE SEGUNDA TEMPORADA;B1900305200000
BRASIL;#SENSACIONAL;B1500793600000
BRASIL;#SEXO;B2000288300000
BRASIL;#TÁTUDOBEM?;B2400480000000
BRASIL;#UBERXTÁXIS;B1800354400000
BRASIL;#VAMOQVAMO;B1600299700000
BRASIL;#VCNOCOMBATE;B1700478900000
BRASIL;#VEMPRARUA;B1500093900000
BRASIL;''TOURO'' - NATTY HILLS;B1900477000000
BRASIL;(DES)(NU)(DAR);B1101437000000
BRASIL;(DES)CONEXA;B2100370000000
BRASIL;(DES)CONGELAR;B2100282400000
BRASIL;(DES)CONTROLE;B2500365100000
BRASIL;(DES)ENCONTRO;B2100373800000
BRASIL;(DES)ENCONTROS;B1001259100000
BRASIL;(DES)ENCONTROS (MÉDIA-METRAGEM);B1301969400000
BRASIL;(DES)ENCONTROS - (A SÉRIE);B1301969500000
BRASIL;(DES)ENCONTROS - 2A TEMPORADA;B1800301000000
BRASIL;(DES)VELHECER;B2000178300000
BRASIL;(ERA) BOM DEMAIS;B2500156600000
BRASIL;(F);B0901007900000
BRASIL;(IN)CONFIDENCIAS;B2400151600000
BRASIL;(IN)CONFIDÊNCIAS;B1800202400000
BRASIL;(IN)FINITO PARTICULAR;B1101441900000
BRASIL;(IN)JUSTIÇA;B1500224100000
BRASIL;(IN)UTENSÍLIOS B(U)Y HELIO LEITES;B0600607200000
BRASIL;(IN)VERDADE;B2000493700000
BRASIL;(IN)VISÍVEL;B2400325900000
BRASIL;(IN)VULNERÁVEIS;B2500492000000
BRASIL;(NOVO) NORMAL;B2000490800000
BRASIL;(NUBLADO);B1101396100000
BRASIL;(OVO);B2300343900000
BRASIL;(RE)COMEÇO;B2100094500000
BRASIL;(SUB)URBANA;B2300260700000
BRASIL;+ AMOR;B2000526600000
BRASIL;+ AMOR;B2200353100000
BRASIL;+ ATIVO;B2500474900000
BRASIL;+ BRASILEIROS;B1302058300000
BRASIL;+ BRASILEIROS - 2ª TEMPORADA;B1402389700000
BRASIL;+ DOCS;B2400515700000
BRASIL;+ FILMES;B1301933200000
BRASIL;+ PRÓXIMO;B1800453700000
BRASIL;+ SAÚDE;B1800251300000
BRASIL;+ SÉRIES;B2500520200000
BRASIL;+1! NO INTERIOR;B1600151400000
BRASIL;+1!FILMES VS 10OCUPADOS;B1600223000000
BRASIL;+40 ANOS DO CLUBE DO SAMBA;B2500206200000
BRASIL;+DIREITOS +HUMANOS;B1402386400000
BRASIL;+FIT;B1900337000000
BRASIL;,ÁGUAS GIGANTES;B2500482800000
BRASIL;-10 A VIDA NÃO É UM JOGO;B2100423700000
BRASIL;...ANTES. UMA VIAGEM PELA PRÉ-HISTÓRIA DO BRASIL;B0600587500000
BRASIL;...EU SOU MUITO BOM... E MUITO RUIM;B1402739500000
BRASIL;...NÉVOA, ERVAS E TAMBORES...;B2500377300000
BRASIL;...PARA ENTRAR NA HISTÓRIA;B0500441000000
BRASIL;.ESPERA.;B1402591300000
BRASIL;.ONION;B1600492000000
BRASIL;/CHAT;B2400308300000
BRASIL;/LOST+FOUND;B2200066100000
BRASIL;0 KM;B0600613400000
BRASIL;0010111 DIGITAL;B1402228300000
BRASIL;002 SURF;B1001285800000
BRASIL;007 1/2 NO CARNAVAL;B0600533500000
BRASIL;00:01;B1001246700000
BRASIL;02 DE JULHO, O ANO QUE CHEGUEI;B1800575300000
BRASIL;02 DE JULHO: A RETOMADA;B2400226700000
BRASIL;02: CONJUNTO RESIDENCIAL;B0500437700000
BRASIL;05:28;B0800924400000
BRASIL;06 TIROS, 60ML;B1101439200000
BRASIL;085;B2300141500000
BRASIL;1 ANO, 6 MESES E ALGUNS DIAS;B1001318500000
BRASIL;1 BRASILEIRO;B1800053900000
BRASIL;1 METRO E 65;B1500554900000
BRASIL;1 MILHÃO DE SEMENTES;B1900174500000
BRASIL;1 PA PA PA;B1800045600000
BRASIL;1 REAL;B1402239900000
BRASIL;1 REMO UMA BUSCA;B1500793800000
BRASIL;1 SUB ENTENDIDO;B1201635300000
BRASIL;1, 2 E...;B1201559200000
BRASIL;1, 2, 3;B2100401700000
BRASIL;1, 2, 3 AGORA É SUA VEZ;B1201691400000
BRASIL;1,2,3 ERA UMA VEZ!;B1301851600000
BRASIL;1,2,3 TESTANDO.;B2500276900000
BRASIL;1,2,3! ÊXTASE!;B0900987500000
BRASIL;1,20 NÃO!;B1600199600000
BRASIL;1,99 UM SUPERMERCADO QUE VENDE PALAVRAS;B0400055700000
BRASIL;10 ADVERTÊNCIAS E 01 BENÇÃO;B0901017100000
BRASIL;10 ANOS DA POLÍTICA NACIONAL DE RESÍDUOS SÓLIDOS;B2100185400000
BRASIL;10 ANOS DA SÃO PAULO COMPANHIA DE DANÇA;B1700479100000
BRASIL;10 ANOS DE CAJU, VOL. 1;B2300378600000
BRASIL;10 ANOS DE CAJU, VOL. 2;B2300387600000
BRASIL;10 ANOS DE CORRIDA DE AVENTURA;B1600067300000
BRASIL;10 ANOS DE MÚSICA ELETRÔNICA NO BRASIL;B2300271500000
BRASIL;10 ANOS DE PAPO;B2500240200000
BRASIL;10 ANOS DE TRIUNFO;B1800225500000
BRASIL;10 ANOS DO PROJETO CORREDORES ECOLÓGICOS NA BAHIA;B1900471500000
BRASIL;10 CARROS;B2300523200000
BRASIL;10 CENTAVOS;B0500431700000
BRASIL;10 CENTAVOS PARA O NÚMERO DA BESTA;B1700538300000
BRASIL;10 CONTO;B0600552400000
BRASIL;10 DIAS DE ORAÇÃO;B1500130300000
BRASIL;10 DIAS DE ORAÇÃO;B1600070700000
BRASIL;10 HORAS PARA O NATAL;B2000488900000
BRASIL;10 ILHAS E UM MUNDO;B1101353300000
BRASIL;10 LUAS;B2100145700000
BRASIL;10 MINUTOS LONGE DE VOCÊ;B1500641500000
BRASIL;10 SEGUNDOS;B2500362600000
BRASIL;10 SEGUNDOS PARA VENCER;B1800380700000
BRASIL;10 SEGUNDOS PARA VENCER SÉRIE;B1800611900000
BRASIL;10 X 10;B1800324800000
BRASIL;10.000 RPM;B2600012200000
BRASIL;10/03- A HISTÓRIA DE DAVID SANTOS;B2300429600000
BRASIL;100 % JARDIM ÂNGELA;B1301767800000
BRASIL;100 ANOS ASSIS VALENTE;B1301951100000
BRASIL;100 ANOS DE CARLOS DRUMMOND DE ANDRADE;B0700767400000
BRASIL;100 ANOS DE ELIZETH CARDOSO;B2100388000000
BRASIL;100 ANOS DE FREVO DO SERTÃO AO CAIS;B0900994700000
