PAIS_ORIGEM;TITULO_ORIGINAL;ROE
ALEMANHA;BUNCH OF KUNS;E2000181700000
ALEMANHA;BUSY WORLD OF RICHARD SCARRY;E2200071400000
ALEMANHA;BUZZ;E1300000100000
ALEMANHA;C(H)OEURS;E1500788600000
ALEMANHA;CALL GIRL UNDERCOVER;E1300000100000
ALEMANHA;CAMAROTE.21;E1600666300000
ALEMANHA;CAPTIVE;E1600420400000
ALEMANHA;CARNAGE;E1300000100000
ALEMANHA;CARNAGE;E1500425200000
ALEMANHA;CARNAGE (GOD OF CARNAGE);E1300000100000
ALEMANHA;CASANOVA VARIATIONS;E1600488100000
ALEMANHA;CASINO ROYALE;E1700194900000
ALEMANHA;CASSANDRA CROSSING;E1300000100000
ALEMANHA;CASTRO;E1300000100000
ALEMANHA;CATCH THAT KID;E1700169200000
ALEMANHA;CATEGORY 7 THE END OF THE WORLD;E1300000100000
ALEMANHA;CAT´S MEOW;E1300000100000
ALEMANHA;CAVE OF FORGOTTEN DREAMS;E1600191600000
ALEMANHA;CEMETERY OF SPLENDOUR;E1600102500000
ALEMANHA;CENTRAL AIRPORT THF;E2000081600000
ALEMANHA;CHAILLY CONDUCTS MAHLER - SYMPHONY NO. 7;E1500456300000
ALEMANHA;CHALET GIRL;E1500687000000
ALEMANHA;CHAPLIN;E1500783600000
ALEMANHA;CHARLIE II;E1300000100000
ALEMANHA;CHARLIE WILSON'S WAR;E1300000100000
ALEMANHA;CHARLIE'S ANGELS;E1300000100000
ALEMANHA;CHARLIE'S ANGELS;E1900153700000
ALEMANHA;CHARLIE'S ANGELS (2019);E2500017300000
ALEMANHA;CHARLOTTE'S WEB;E1500107200000
ALEMANHA;CHASSEURS DE DRAGONS;E1500682600000
ALEMANHA;CHERRY BLOSSOMS - HANAMI;E1300000100000
ALEMANHA;CHERRY BLOSSOMS - HANAMI;E1600556700000
ALEMANHA;CHICK COREA AND FRIENDS;E2300032500000
ALEMANHA;CHICKEN WITH PLUMS;E1500917700000
ALEMANHA;CHINESE MAN;E1300000100000
ALEMANHA;CHINESISCHES ROULETTE;E1300000100000
ALEMANHA;CHRISTIANE F. - WIR KINDER VOM BAHNHOF ZOO;E2200225000000
ALEMANHA;CHRISTMAS MAGIC;E1300000100000
ALEMANHA;CHRISTMOOSE CAROL;E1300000100000
ALEMANHA;CIDADE DE DEUS;E2100235500000
ALEMANHA;CINDERELLA BALLET;E1402638900000
ALEMANHA;CINEKINO;E2000123200000
ALEMANHA;CITADEL, THE;E1800368500000
ALEMANHA;CITY OF ANGELS;E1300000100000
ALEMANHA;CITY OF STEEL, CITY OF LIFE;E1300000100000
ALEMANHA;CLASSIC OPERAS;E1300000100000
ALEMANHA;CLOSE TO JESUS - JOSEPH;E1300000100000
ALEMANHA;CLOSE TO JESUS - JUDAS;E1300000100000
ALEMANHA;CLOSE TO JESUS - MARY MAGDALENE;E1300000100000
ALEMANHA;CLOSE TO JESUS - THOMAS;E1300000100000
ALEMANHA;CLOUD 9;E1300000100000
ALEMANHA;CLOUD ATLAS;E1300000100000
ALEMANHA;CLOUD ATLAS;E1500412300000
ALEMANHA;CLUB ZERO;E2400091400000
ALEMANHA;COACH CARTER;E1300000100000
