REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
784;SENTIMENTAL FILME LTDA;05.326.727/0001-87;22630;SENTIMENTAL ETAL LTDA;16.104.588/0001-63;CONTROLE;24/05/2021
797;ÍRIS CINEMATOGRÁFICA LTDA;73.315.293/0001-70;55066;I M A FERREIRA PRODUCOES;45.633.984/0001-86;COLIGAÇÃO;20/09/2023
808;BPP PRODUÇÕES AUDIOVISUAIS LTDA-ME;02.229.175/0001-09;37111;FLORESTA FILMES LTDA - ME;28.099.914/0001-70;COLIGAÇÃO;14/04/2023
813;PINDORAMA FILMES LTDA;04.453.786/0001-53;45931;CIAVATTA PANTOJA CRIAÇÕES LTDA;08.713.887/0001-77;COLIGAÇÃO;03/10/2025
823;MODO CRIATIVO PROPAGANDA E MARKETING LTDA;04.390.922/0001-03;40051;PILOTO PUBLICIDADE LTDA;09.557.627/0001-12;COLIGAÇÃO;25/06/2024
827;UNILEVER BRASIL LTDA;61.068.276/0001-04;25714;UNILEVER BRASIL GELADOS LTDA.;11.806.723/0001-07;CONTROLE;12/06/2024
827;UNILEVER BRASIL LTDA;61.068.276/0001-04;2227;UNILEVER BRASIL INDUSTRIAL LTDA.;01.615.814/0001-01;CONTROLE;16/05/2024
828;CINEMA BRASIL DIGITAL - ESCRITÓRIO DE PLANEJ. EMPR. AUD. LTDA;68.317.445/0001-33;24588;CINEMA BRASIL DISTRIBUIDORA - ESCRITÓRIO DE PLANEJAMENTO PARA DISTRIBUIÇÃO DE PRODUTOS AUDIOVISUAIS LTDA -ME;18.354.911/0001-82;COLIGAÇÃO;12/01/2023
829;ADALBERTO PENNA PRODUCOES CINEMATOGRAFICAS LTDA;00.563.081/0001-38;59503;JPZ PRODUCOES CINEMATOGRAFICAS LTDA;03.240.188/0001-33;COLIGAÇÃO;18/09/2024
835;BSB CINEMA PRODUCOES LTDA;00.817.115/0001-73;59788;KEILLA PINHEIRO FILMES LTDA;31.692.146/0001-79;COLIGAÇÃO;09/10/2024
839;TELEVISAO ANHANGUERA S/A;01.534.510/0001-01;18886;GRAFICA E EDITORA O POPULAR LTDA;00.286.526/0001-80;COLIGAÇÃO;29/10/2025
843;CONDIÇÃO PERFEITA PRODUÇÕES ARTÍSTICAS LTDA;97.426.035/0001-29;29320;BRAVO FILMES LTDA;31.937.964/0001-94;COLIGAÇÃO;11/05/2020
844;VEREDAS COMUNICAÇÃO E ARTE LTDA.;00.605.488/0001-80;6445;ZABUMBA AUDIOVISUAL E EXPRESSOES CULTURAIS EIRELI;52.097.649/0001-76;COLIGAÇÃO;24/01/2025
848;GULLANE ENTRETENIMENTO S.A.;01.378.559/0001-12;59500;DI AUDIOVISUAL LTDA;36.693.128/0001-25;COLIGAÇÃO;18/09/2024
848;GULLANE ENTRETENIMENTO S.A.;01.378.559/0001-12;59942;GULLANE + DISTRIBUIDORA AUDIOVISUAL & EDITORA LITEROMUSICAL LTDA;51.234.365/0001-11;COLIGAÇÃO;27/01/2025
848;GULLANE ENTRETENIMENTO S.A.;01.378.559/0001-12;59941;PIEMONTE AUDIOVISUAL LTDA;29.151.261/0001-94;COLIGAÇÃO;09/01/2025
850;OLHOS DE CÃO PRODUÇÕES CINEMATOGRÁFICAS LTDA;71.733.695/0001-69;2322;RISCO FILMES LTDA;03.563.229/0001-22;COLIGAÇÃO;18/04/2024
857;FABRIKA FILMES LTDA;03.218.295/0001-65;40119;FABRIKA TELECOM E COMUNICAÇÃO LTDA;04.589.419/0001-81;CONTROLE;02/07/2025
860;INSTITUTO MOREIRA SALLES;58.397.563/0001-45;51912;INSTITUTO UNIBANCO;52.041.183/0001-97;COLIGAÇÃO;23/08/2022
865;CINÉTICA FILMES E PRODUÇÕES LTDA.;01.946.155/0001-88;18750;DOBLE V PRODUCOES LTDA;10.712.207/0001-42;COLIGAÇÃO;03/10/2025
870;MAC PRODUÇÕES EM VÍDEO E COMERCIO LTDA;39.201.314/0001-98;31487;MACROVISION PRODUÇÕES COMERCIO E SERVIÇOS DE VIDEO LTDA ME;07.976.253/0001-44;COLIGAÇÃO;08/12/2020
870;MAC PRODUÇÕES EM VÍDEO E COMERCIO LTDA;39.201.314/0001-98;37360;N. S. COUTINHO PRODUCOES EM VIDEO E EVENTOS LTDA;26.727.670/0001-06;COLIGAÇÃO;03/05/2023
886;GLAZ ENTRETENIMENTO S.A.;02.140.164/0001-40;11726;NEOPLASTIQUE ENTRETENIMENTO LTDA;08.296.780/0001-70;CONTROLE;24/05/2024
890;FILMART PRODUÇÕES ARTISTICAS LTDA;64.044.886/0001-58;1194;GRIFA PRODUÇÕES CINEMATOGRÁFICAS, AUDIOVISUAIS E ARTÍSTICAS LTDA.;01.486.085/0001-22;COLIGAÇÃO;24/02/2025
890;FILMART PRODUÇÕES ARTISTICAS LTDA;64.044.886/0001-58;45019;GRIFA FILMES LTDA;33.982.904/0001-19;COLIGAÇÃO;28/12/2024
927;ROB FILMES LTDA.;14.173.637/0001-94;17748;ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM;31.887.052/0001-55;COLIGAÇÃO;19/09/2024
927;ROB FILMES LTDA.;14.173.637/0001-94;15576;ROB DIGITAL LTDA;02.516.931/0001-72;COLIGAÇÃO;14/05/2025
931;TAUS PRODUCOES AUDIOVISUAIS EIRELI;57.312.878/0001-80;23713;HD BIZ PRODUÇÕES AUDIOVISUAIS LTDA-ME;02.939.844/0001-28;COLIGAÇÃO;11/02/2021
931;TAUS PRODUCOES AUDIOVISUAIS EIRELI;57.312.878/0001-80;20451;ATIVIDADES CULTURAIS PARATODOS;08.541.650/0001-56;COLIGAÇÃO;06/01/2017
935;VCB COMUNICAÇÕES S.A.;00.859.826/0001-00;936;STV COMUNICAÇÕES SA;94.175.114/0001-16;COLIGAÇÃO;24/10/2014
936;STV COMUNICAÇÕES SA;94.175.114/0001-16;935;VCB COMUNICAÇÕES S.A.;00.859.826/0001-00;COLIGAÇÃO;31/08/2016
940;CINEDISTRI PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;05.283.625/0001-21;273;CINEARTE PRODUÇÕES CINEMATOGRÁFICAS LTDA;44.182.046/0001-44;COLIGAÇÃO;21/03/2023
940;CINEDISTRI PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;05.283.625/0001-21;274;ANIMA PRODUÇÕES AUDIOVISUAIS LTDA;01.175.644/0001-83;COLIGAÇÃO;05/03/2018
941;PANDA FILMES LTDA;04.980.287/0001-14;55093;LUIZ ALBERTO RODRIGUES PRODUCOES CINEMATOGRAFICAS.;45.291.426/0001-80;COLIGAÇÃO;21/09/2023
941;PANDA FILMES LTDA;04.980.287/0001-14;12580;FUNDAÇÃO CINEMA RS- FUNDACINE;03.300.207/0001-70;COLIGAÇÃO;29/09/2022
941;PANDA FILMES LTDA;04.980.287/0001-14;32730;PÉ NA ESTRADA FILMES LTDA;23.707.667/0001-24;COLIGAÇÃO;23/07/2021
947;TERRA BRASILIS PROMOCOES E MARKETING LTDA;73.832.644/0001-10;1066;CENTRO DE CULTURA INFORMACAO E MEIO AMBIENTE;00.468.786/0001-76;COLIGAÇÃO;21/03/2025
947;TERRA BRASILIS PROMOCOES E MARKETING LTDA;73.832.644/0001-10;307;TOTAL ENTERTAINMENT LTDA;02.863.008/0001-07;COLIGAÇÃO;02/08/2023
947;TERRA BRASILIS PROMOCOES E MARKETING LTDA;73.832.644/0001-10;29266;TF INTERNATIONAL PRODUTORA DE FILMES LTDA;21.866.996/0001-92;COLIGAÇÃO;27/11/2025
950;TRÊS VEZES PRODUÇÕES LTDA;05.093.529/0001-10;951;A NOVA CDI - CASA DOS INDEPENDENTES LTDA;02.913.172/0001-81;COLIGAÇÃO;24/08/2022
951;A NOVA CDI - CASA DOS INDEPENDENTES LTDA;02.913.172/0001-81;950;TRÊS VEZES PRODUÇÕES LTDA;05.093.529/0001-10;COLIGAÇÃO;28/12/2012
973;TRÓPICOS ARTE E COMUNICAÇÃO LTDA. ME;01.702.147/0001-96;54877;JOAQUIM LIMA GOLDENBERG ***********;42.018.539/0001-18;COLIGAÇÃO;13/09/2023
978;MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA;74.114.471/0001-67;105;DISTRIBUIDORA DE FILMES S/A RIOFILME;68.610.302/0001-15;COLIGAÇÃO;03/09/2025
991;SHATER PRODUÇÕES ARTÍSTICAS LTDA;32.096.794/0001-25;5107;FLOR DE COBRE PRODUÇÕES ARTISTICAS E CINEMATOGRÁFICAS LTDA;07.149.298/0001-45;COLIGAÇÃO;03/12/2010
999;FAUZI A MANSUR CINEMATOGRÁFICA;49.922.966/0001-75;13694;ALFA CINEMA E VÍDEO LTDA;55.469.316/0001-19;COLIGAÇÃO;08/04/2019
1010;RDA PRODUTORA E DISTRIBUIDORA DE FILMES LTDA;01.447.724/0001-40;40655;POROROCA PRODUCAO DE FILMES LTDA;26.762.154/0001-04;COLIGAÇÃO;02/05/2022
1012;RODAMUNDO FILMES LTDA;23.148.018/0001-30;53732;CAJUEIRO FILMES LTDA;49.978.732/0001-40;COLIGAÇÃO;19/06/2023
1018;27 PRODUÇÕES LTDA;05.370.290/0001-89;364;FAST FILM COMERCIAL IMPORTADORA E EXPORTADORA LTDA;67.696.112/0001-08;COLIGAÇÃO;24/11/2017
1019;SETCOM - SET DE COMUNICAÇÃO LTDA;04.736.316/0001-05;19126;URUCUM SERVIÇOS CINEMATOGRÁFICOS LTDA - ME;07.002.649/0001-90;COLIGAÇÃO;27/07/2023
1036;REPÚBLICA PUREZA FILMES LTDA.;01.369.211/0001-69;22808;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;05.249.852/0001-30;COLIGAÇÃO;13/02/2025
1061;UNS E OUTROS PRODUCOES E FILMES LTDA;04.595.226/0001-33;60523;UNS-PRODUCOES ARTISTICAS LIMITADA-S/C;30.117.246/0001-09;COLIGAÇÃO;19/12/2024
1066;CENTRO DE CULTURA INFORMACAO E MEIO AMBIENTE;00.468.786/0001-76;29266;TF INTERNATIONAL PRODUTORA DE FILMES LTDA;21.866.996/0001-92;COLIGAÇÃO;27/11/2025
1066;CENTRO DE CULTURA INFORMACAO E MEIO AMBIENTE;00.468.786/0001-76;947;TERRA BRASILIS PROMOCOES E MARKETING LTDA;73.832.644/0001-10;COLIGAÇÃO;16/09/2021
1066;CENTRO DE CULTURA INFORMACAO E MEIO AMBIENTE;00.468.786/0001-76;60486;GREEN NATION CONSULTORIA EM MEIO AMBIENTE, COMUNICACAO E LICENCIAMENTO LTDA;26.887.742/0001-74;COLIGAÇÃO;17/12/2024
1067;REGINALDO FARIAS PRODUÇÕES ARTÍSTICAS LTDA;39.527.494/0001-00;15768;FARIA E VASCONCELOS LTDA;86.900.214/0001-30;COLIGAÇÃO;06/05/2022
1067;REGINALDO FARIAS PRODUÇÕES ARTÍSTICAS LTDA;39.527.494/0001-00;27886;BECO DAS FLORES PRODUCOES ARTISTICAS LTDA;17.793.185/0001-31;COLIGAÇÃO;11/01/2023
1067;REGINALDO FARIAS PRODUÇÕES ARTÍSTICAS LTDA;39.527.494/0001-00;59347;BRUTAL FILMES LTDA.;55.953.247/0001-14;COLIGAÇÃO;09/09/2024
1070;CAMARADA FILMES LTDA - ME.;79.052.494/0001-08;59388;SOFF CINE ENTRETENIMENTO LTDA;57.014.080/0001-51;COLIGAÇÃO;11/09/2024
1070;CAMARADA FILMES LTDA - ME.;79.052.494/0001-08;37228;CINECOM ENTRETENIMENTO LTDA;28.153.563/0001-39;COLIGAÇÃO;14/12/2023
1077;SET PRODUÇÕES E EVENTOS LTDA - EPP;02.924.831/0001-85;1078;EXEMPLUS COMUNICAÇÃO E MARKETING LTDA;72.638.372/0001-59;COLIGAÇÃO;10/09/2024
1077;SET PRODUÇÕES E EVENTOS LTDA - EPP;02.924.831/0001-85;600;CARA PRETA COMUNICACAO E MARKETING LTDA - EPP;24.922.445/0001-97;COLIGAÇÃO;20/04/2020
1078;EXEMPLUS COMUNICAÇÃO E MARKETING LTDA;72.638.372/0001-59;600;CARA PRETA COMUNICACAO E MARKETING LTDA - EPP;24.922.445/0001-97;COLIGAÇÃO;20/04/2020
1078;EXEMPLUS COMUNICAÇÃO E MARKETING LTDA;72.638.372/0001-59;1077;SET PRODUÇÕES E EVENTOS LTDA - EPP;02.924.831/0001-85;COLIGAÇÃO;16/07/2025
1082;NEANDERTHAL MB CINEMA S/C LTDA.;04.971.555/0001-31;14123;KINEMOTUS FGB CINEMA TV LTDA.;09.250.931/0001-12;COLIGAÇÃO;24/01/2025
1083;CIRCUITO CINEARTE LTDA;01.425.583/0001-65;41991;ARTEPLEX DISTRIBUIDORA LTDA;31.694.954/0001-75;COLIGAÇÃO;20/02/2025
1083;CIRCUITO CINEARTE LTDA;01.425.583/0001-65;1944;CINEMA ARTEPLEX LTDA.;04.969.463/0001-17;COLIGAÇÃO;14/08/2025
1083;CIRCUITO CINEARTE LTDA;01.425.583/0001-65;2733;ESPAÇO DE CINEMA JUIZ DE FORA LTDA;02.715.607/0001-83;COLIGAÇÃO;26/02/2025
1083;CIRCUITO CINEARTE LTDA;01.425.583/0001-65;27912;CINEMAS USINA LIBERDADE LTDA;42.898.015/0001-69;CONTROLE;02/09/2025
1083;CIRCUITO CINEARTE LTDA;01.425.583/0001-65;3758;ESPAÇO CULTURAL DE CINEMA DE SALVADOR LTDA;06.953.374/0001-08;COLIGAÇÃO;25/11/2021
1083;CIRCUITO CINEARTE LTDA;01.425.583/0001-65;47328;CINESALA EXIBIÇÕES E EVENTOS LTDA;19.361.857/0001-65;COLIGAÇÃO;04/12/2020
1093;OMNIMÍDIA PRODUÇÕES CINEMATOGRÁFICAS E INFORMÁTICA LTDA;00.984.133/0001-40;62910;SILVERTECH CONSULTORIA E ASSESSORIA EM TECNOLOGIA LTDA;35.112.474/0001-00;COLIGAÇÃO;19/08/2025
1098;ACESA PRODUÇÕES I LTDA;00.499.424/0001-42;14491;LUMINA PRODUÇÕES LTDA;05.053.742/0001-07;COLIGAÇÃO;17/12/2019
1100;AMAZONIA PUBLICIDADE LTDA;84.626.571/0001-26;14314;CANAL 21 COMUNICAÇÕES DO PARANÁ LTDA;03.372.546/0001-61;COLIGAÇÃO;04/03/2013
1100;AMAZONIA PUBLICIDADE LTDA;84.626.571/0001-26;4662;REDE DE COMUNICACAO CIDADE LTDA;34.459.933/0001-63;COLIGAÇÃO;05/10/2010
1103;SPECTRA MIDIA PRODUÇÕES LTDA;03.380.530/0001-09;3338;SPECTRA NOVA PRODUÇÕES, EDIÇÕES E COMÉRCIO LTDA.;06.152.145/0001-94;COLIGAÇÃO;30/08/2018
1138;TV ALPHAVILLE SISTEMA DE TELEVISAO POR ASSINATURA LTDA;65.030.132/0001-01;16951;MULTITEL COMUNICACOES LTDA;02.681.202/0001-71;COLIGAÇÃO;22/04/2021
1138;TV ALPHAVILLE SISTEMA DE TELEVISAO POR ASSINATURA LTDA;65.030.132/0001-01;51852;BRASIL SERVICOS DE TELECOMUNICACOES LTDA;07.756.651/0001-55;COLIGAÇÃO;12/08/2022
1140;INFFINITO NUCLEO DE ARTE E CULTURA;02.723.125/0001-75;48450;AARTI TECNOLOGIA E CONTEUDO LTDA;31.852.808/0001-20;COLIGAÇÃO;19/05/2021
1140;INFFINITO NUCLEO DE ARTE E CULTURA;02.723.125/0001-75;18383;INFFINITO ENTRETENIMENTO E COMUNICAÇÕES LTDA;13.188.290/0001-90;COLIGAÇÃO;11/04/2023
1140;INFFINITO NUCLEO DE ARTE E CULTURA;02.723.125/0001-75;1206;INFFINITO EVENTOS E PRODUÇÕES LTDA;04.303.816/0001-45;COLIGAÇÃO;11/04/2023
1141;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;05.508.188/0001-05;5739;RG ENTRETENIMENTO LTDA;07.874.360/0001-61;COLIGAÇÃO;31/08/2023
1163;BIG SUR PRODUÇÕES ARTÍSTICAS LTDA.;01.355.449/0001-35;29429;THE END EDIÇÃO E POS-PRODUÇÃO LTDA;17.214.052/0001-63;COLIGAÇÃO;24/11/2022
1184;TFCF LATIN AMERICAN CHANNELS DO BRASIL LTDA;03.347.577/0001-62;256;FOX FILM DO BRASIL LTDA;33.110.420/0001-80;COLIGAÇÃO;23/09/2025
1184;TFCF LATIN AMERICAN CHANNELS DO BRASIL LTDA;03.347.577/0001-62;653;ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.;00.637.277/0001-20;COLIGAÇÃO;08/02/2024
1184;TFCF LATIN AMERICAN CHANNELS DO BRASIL LTDA;03.347.577/0001-62;18398;THE WALT DISNEY COMPANY (BRASIL) LTDA.;73.042.962/0001-87;COLIGAÇÃO;24/09/2025
1194;GRIFA PRODUÇÕES CINEMATOGRÁFICAS, AUDIOVISUAIS E ARTÍSTICAS LTDA.;01.486.085/0001-22;45019;GRIFA FILMES LTDA;33.982.904/0001-19;COLIGAÇÃO;28/12/2024
1194;GRIFA PRODUÇÕES CINEMATOGRÁFICAS, AUDIOVISUAIS E ARTÍSTICAS LTDA.;01.486.085/0001-22;890;FILMART PRODUÇÕES ARTISTICAS LTDA;64.044.886/0001-58;COLIGAÇÃO;26/07/2024
1196;FABRICA IMAGEM E CONTEUDO PRODUÇÕES LTDA;73.222.689/0001-72;52567;REPUBLICA PUREZA OLINDA LTDA;48.943.809/0001-83;COLIGAÇÃO;07/01/2025
1206;INFFINITO EVENTOS E PRODUÇÕES LTDA;04.303.816/0001-45;1140;INFFINITO NUCLEO DE ARTE E CULTURA;02.723.125/0001-75;COLIGAÇÃO;07/10/2022
1206;INFFINITO EVENTOS E PRODUÇÕES LTDA;04.303.816/0001-45;18383;INFFINITO ENTRETENIMENTO E COMUNICAÇÕES LTDA;13.188.290/0001-90;COLIGAÇÃO;11/04/2023
1206;INFFINITO EVENTOS E PRODUÇÕES LTDA;04.303.816/0001-45;48450;AARTI TECNOLOGIA E CONTEUDO LTDA;31.852.808/0001-20;COLIGAÇÃO;19/05/2021
1214;CPC - CENTRO DE PRODUÇÃO CULTURAL LTDA.;03.784.294/0001-88;24818;NO PROBLEM PRODUÇÕES ARTÍSTICAS LTDA;15.201.428/0001-70;COLIGAÇÃO;25/10/2023
1229;EMPRESA CINE TEATRO TAMOIO LTDA;33.924.739/0001-49;2606;UCI-ORIENT LTDA;01.562.356/0001-81;COLIGAÇÃO;30/03/2022
1229;EMPRESA CINE TEATRO TAMOIO LTDA;33.924.739/0001-49;2869;FEIRA PLEXCINE LTDA.;04.547.950/0001-91;COLIGAÇÃO;22/09/2025
1229;EMPRESA CINE TEATRO TAMOIO LTDA;33.924.739/0001-49;1660;ORIENT FILMES - DISTRIBUIDORA DE FILMES LTDA;14.714.331/0001-06;COLIGAÇÃO;20/10/2020
1229;EMPRESA CINE TEATRO TAMOIO LTDA;33.924.739/0001-49;2849;ITAIGARA PLEXCINE LTDA.;06.107.805/0001-15;COLIGAÇÃO;07/06/2018
1229;EMPRESA CINE TEATRO TAMOIO LTDA;33.924.739/0001-49;1240;CINEMAS PARIS ORIENT LTDA;86.985.587/0001-50;COLIGAÇÃO;30/08/2018
1229;EMPRESA CINE TEATRO TAMOIO LTDA;33.924.739/0001-49;27979;CARIRI PLEXCINE LTDA;19.805.153/0001-34;COLIGAÇÃO;02/10/2020
1239;AB PRODUÇÕES DE VÍDEO LTDA;37.074.960/0001-06;32476;J. A. BUCAR NETO COMUNICAÇÃO DIGITAL - EPP;22.437.695/0001-06;COLIGAÇÃO;06/05/2021
1240;CINEMAS PARIS ORIENT LTDA;86.985.587/0001-50;2606;UCI-ORIENT LTDA;01.562.356/0001-81;COLIGAÇÃO;30/03/2022
1240;CINEMAS PARIS ORIENT LTDA;86.985.587/0001-50;2869;FEIRA PLEXCINE LTDA.;04.547.950/0001-91;COLIGAÇÃO;22/09/2025
1240;CINEMAS PARIS ORIENT LTDA;86.985.587/0001-50;1229;EMPRESA CINE TEATRO TAMOIO LTDA;33.924.739/0001-49;COLIGAÇÃO;23/09/2016
1240;CINEMAS PARIS ORIENT LTDA;86.985.587/0001-50;27979;CARIRI PLEXCINE LTDA;19.805.153/0001-34;COLIGAÇÃO;02/10/2020
1240;CINEMAS PARIS ORIENT LTDA;86.985.587/0001-50;1660;ORIENT FILMES - DISTRIBUIDORA DE FILMES LTDA;14.714.331/0001-06;COLIGAÇÃO;20/10/2020
1240;CINEMAS PARIS ORIENT LTDA;86.985.587/0001-50;2849;ITAIGARA PLEXCINE LTDA.;06.107.805/0001-15;COLIGAÇÃO;07/06/2018
1249;MULTICABO TELEVISAO LTDA;02.279.785/0001-09;33760;CABLE BAHIA LTDA;04.110.695/0001-15;COLIGAÇÃO;18/08/2021
1263;USINA DE CINEMA LTDA.;25.467.226/0001-28;3324;ANDERSON FARIA PRODUÇÕES CINEMATOGRÁFICAS LTDA;07.101.253/0001-09;COLIGAÇÃO;04/03/2013
1268;CABO SERVIÇOS DE TELECOMUNICAÇÕES S.A.;02.952.192/0001-61;30354;VIDEOMAR REDE NORDESTE S/A;63.356.042/0001-80;COLIGAÇÃO;07/06/2024
1283;TG VIDEO E CINEMA LTDA;00.389.477/0001-00;15223;FUBÁ FILMES LTDA;10.503.368/0001-26;COLIGAÇÃO;03/10/2025
1288;PAULO PÉLICO - ME;01.301.355/0001-83;6392;CASA JABUTICABA DE CINEMA E TEATRO LTDA;03.039.811/0001-94;COLIGAÇÃO;14/12/2022
1288;PAULO PÉLICO - ME;01.301.355/0001-83;14705;ARTE PRODUÇÃO E ADMINISTRAÇÃO DE EMPREENDIMENTOS CULTURAIS LTDA;06.814.372/0001-38;COLIGAÇÃO;08/12/2022
1290;KAYBEE SATELLETE COMMUNICATIONS COMERCIO E SERVICOS LTDA;02.006.978/0001-96;39285;PORTOSOL TELECOMUNICACOES LTDA;10.406.066/0001-30;COLIGAÇÃO;10/05/2024
1292;SISTEMA OESTE DE COMUNICACAO LTDA;00.713.377/0001-98;23817;PROGRAMADORA CANAL TCM LTDA;04.209.895/0001-20;COLIGAÇÃO;18/03/2024
1295;INSTITUTO BRASILEIRO DE AUDIOVISUAL;02.605.336/0001-03;38210;ALFÂNDEGA FILMES PRODUÇÕES ARTÍSTICAS LTDA;28.111.513/0001-99;COLIGAÇÃO;11/07/2023
1310;TAGTST VÍDEO DESIGN LTDA;04.773.699/0001-83;34470;TAG VIDEO DESIGN LTDA - ME;10.538.291/0001-20;COLIGAÇÃO;17/11/2021
1315;PAN EVENTOS E PROJETOS CULTURAIS LTDA;01.021.227/0001-86;24312;PANCULTURAL EVENTOS E PROJETOS CULTURAIS LTDA;10.511.402/0001-04;COLIGAÇÃO;30/08/2018
1319;YOU BRASIL CONTEUDO E MARKETING LTDA;04.301.346/0001-80;27942;CASA AMARELA FILMES PRODUÇÕES CINEMATOGRÁFICAS LTDA;20.520.970/0001-25;COLIGAÇÃO;29/07/2024
1335;KN CONTEUDO PRODUCOES SOCIEDADE UNIPESSOAL LTDA;02.208.389/0001-90;59195;PLUSTV PRODUÇÕES LTDA;54.756.083/0001-72;COLIGAÇÃO;03/12/2024
1335;KN CONTEUDO PRODUCOES SOCIEDADE UNIPESSOAL LTDA;02.208.389/0001-90;24152;KN VIDEO PRODUCOES LTDA;05.826.683/0001-54;COLIGAÇÃO;06/10/2022
1337;SPECTRUS VIDEO E MULTIMIDIA LTDA;72.004.591/0001-86;29021;SPECTRUS PRODUCOES DIGITAIS E CINEMATOGRAFICAS LTDA - ME;50.272.624/0001-36;COLIGAÇÃO;22/04/2020
1343;TV OMEGA LTDA.;02.131.538/0001-60;54871;TV MIDIA PUBLICIDADE COMERCIAL LTDA;05.000.314/0001-08;COLIGAÇÃO;12/09/2023
1343;TV OMEGA LTDA.;02.131.538/0001-60;16673;TELETV SERVIÇOS INTERATIVOS LTDA;07.926.156/0001-47;COLIGAÇÃO;08/01/2021
1350;ABRIL COMUNICAÇÕES SA;44.597.052/0001-62;3186;ABRIL RADIODIFUSAO S.A.;03.555.171/0001-75;CONTROLE;24/01/2025
1352;ETCÉTERA PRODUÇÕES ARTÍSTICAS LTDA.;01.692.358/0001-95;23069;ETCÉTERA AUDIOVISUAL LTDA;17.110.726/0001-80;COLIGAÇÃO;30/10/2023
1366;KATHI DA ROSA LEAL - ME;03.285.361/0001-10;21851;AF PRODUÇÃO DE SONS E IMAGENS LTDA ME;09.385.553/0001-84;COLIGAÇÃO;27/02/2023
1374;CASA NA ÁRVORE FILMES LTDA;04.316.333/0001-85;32837;CASA NA ARVORE VIDEO LTDA;82.114.604/0001-23;COLIGAÇÃO;18/03/2025
1380;TELEVISAO GOYA LTDA;01.279.835/0001-95;13949;RADIO E TELEVISAO CAPITAL LTDA;02.579.308/0001-69;COLIGAÇÃO;10/07/2025
1380;TELEVISAO GOYA LTDA;01.279.835/0001-95;4297;TV INDEPENDENCIA OESTE DO PARANA LTDA;81.057.994/0001-84;COLIGAÇÃO;28/03/2025
1381;ENG 9 PRODUÇÕES RENTAL SERVIÇOS LTDA;02.653.096/0001-12;44268;THE MOSANER CONTENT LTDA - EPP;15.385.473/0001-21;COLIGAÇÃO;24/01/2025
1381;ENG 9 PRODUÇÕES RENTAL SERVIÇOS LTDA;02.653.096/0001-12;17089;THE MOSANER FILMES LTDA - EPP.;11.286.816/0001-40;COLIGAÇÃO;16/02/2022
1386;MULTIMIX PRODUÇÕES ARTÍSTICAS LTDA.;31.396.336/0001-49;63855;ESTÚDIOS SANTA LOCAÇÃO LTDA;63.777.636/0001-64;COLIGAÇÃO;05/12/2025
1386;MULTIMIX PRODUÇÕES ARTÍSTICAS LTDA.;31.396.336/0001-49;23881;EXPRESSÃO COLATERAL EDIÇÕES E EVENTOS EIRELI;07.491.067/0001-15;COLIGAÇÃO;10/12/2020
1389;MARTINELLI FILMS - CINEMA E COMUNICAÇÃO LTDA;03.767.502/0001-30;55371;ROKKO MALONE - CINEMA E COMUNICAÇÃO LTDA;50.358.961/0001-40;COLIGAÇÃO;03/10/2023
1395;PG - PRODUÇÕES DE CINEMA VÍDEO E TV LTDA;01.161.933/0001-23;19866;K&C - PROGRAMAÇÃO VISUAL S/S LTDA;60.523.941/0001-31;COLIGAÇÃO;03/07/2024
1398;HUTÚZ CULTURAL LTDA.;02.732.339/0001-08;39316;INFAVELA PROMOÇÕES E MARKETING LTDA;20.464.762/0001-56;COLIGAÇÃO;08/07/2024
1398;HUTÚZ CULTURAL LTDA.;02.732.339/0001-08;18823;CENTRAL UNICA DAS FAVELAS DO RIO DE JANEIRO;06.052.228/0001-01;COLIGAÇÃO;08/12/2020
1401;CASA E COMPANHIA ARIANNE DUTRA DE ARTE E CULTURA LTDA;03.930.647/0001-00;44334;ANDREA DA ROSA AVANCINI PRODUÇÕES ARTÍSTISCAS LTDA;14.289.952/0001-81;COLIGAÇÃO;22/09/2025
1403;ACCORDE FILMES LTDA.;05.270.790/0001-49;45769;FRONTERA FILMES LTDA - ME;20.625.881/0001-43;COLIGAÇÃO;16/07/2025
1420;ETC SOLUÇÕES AUDIOVISUAIS LTDA;05.058.400/0001-71;56825;COBRA PRODUCOES ARTISTICAS LTDA;33.149.505/0001-71;COLIGAÇÃO;08/12/2023
1421;A S PRODUÇÕES CULTURAIS LTDA.;73.703.068/0001-00;1673;AS TV PRODUÇÕES CINEMATOGRÁFICAS LTDA.;05.543.472/0001-04;COLIGAÇÃO;07/06/2018
1456;REDE 21 COMUNICACOES S.A.;58.832.528/0001-07;53221;PRH9 PRODUÇÕES S/A;02.396.693/0001-09;COLIGAÇÃO;25/04/2023
