DIRETOR;TITULO_ORIGINAL;ROE
ADAM BERNSTEIN;BAD APPLE;E1300000100000
ADAM BERNSTEIN;BREAKING BAD - SEASON 2;E1300000100000
ADAM BERNSTEIN;COSTIERA - SEASON 1;E2500398400000
ADAM BERNSTEIN;IT'S PAT;E1300000100000
ADAM BERNSTEIN;MERCY #01;E1300000100000
ADAM BERNSTEIN;OZ - SEASON 1;E1300000100000
ADAM BERNSTEIN;OZ - SEASON 3;E1300000100000
ADAM BERNSTEIN;OZ - SEASON 4;E1300000100000
ADAM BERNSTEIN;OZ - SEASON 5;E1300000100000
ADAM BERNSTEIN;OZ SEASON 4;E1300000100000
ADAM BERNSTEIN;OZ V;E1300000100000
ADAM BERNSTEIN;OZ VI;E1300000100000
ADAM BERNSTEIN;SIX WAYS TO SUNDAY;E1300000100000
ADAM BERNSTEIN;SLEEPING WITH THE ENEMY;E1300000100000
ADAM BERNSTEIN;WORST WEEK;E1300000100000
ADAM BHALA LOUGH;LIL' WAYNE: THE CARTER;E1300000100000
ADAM BHALA LOUGH;THE MOTIVATION;E1300000100000
ADAM BHALA LOUGH;THE MOTIVATION;E1600776100000
ADAM BHALA LOUGH;THE MOTIVATION 2: THE CHRIS COLE STORY;E1600335500000
ADAM BONFANTI;LAST TIME FOREVER;E1300000100000
ADAM BOOZER;WITH A KITE;E1500333300000
ADAM BRODIE;SCARE TACTICS SEASON 4;E1300000100000
ADAM BROOKS;DEFINITELY;E1300000100000
ADAM BROOKS;DEFINITELY, MAYBE;E1300000100000
ADAM BROOKS;DEFINITELY, MAYBE;E1700355700000
ADAM BROOKS;DEFINITLY, MAYBE;E1300000100000
ADAM BROOKS;THE INVISIBLE CIRCUS;E1300000100000
ADAM BULLMORE;RUDE TUBE;E1300000100000
ADAM CAROLLA, NATE ADAMS;WINNING: THE RACING LIFE OF PAUL NEWMAN;E1500793400000
ADAM CARREL;RE_FRESH;E1300000100000
ADAM CHILTON;SEA SICK;E1300000100000
ADAM COLINS;SUNSET STRIP;E1300000100000
ADAM COOPER;SLEEPING DOGS;E2400049300000
ADAM CROASDELL;ONE NIGHT STAND WITH NE YO;E1300000100000
ADAM CUMISKY;EMMA BARNETT MEETS…;E2300089700000
ADAM DAVIDSON;LA BREA - 2ª TEMPORADA;E2300351300000
ADAM DAVIDSON;LIE TO ME - SEASON 1;E1300000100000
ADAM DAVIDSON;MONK  SEASON 1;E1300000100000
ADAM DAVIDSON;ROME;E1500104100000
ADAM DAVIDSON, DANIEL SACKHEIM;LIE TO ME SEASON 3;E1300000100000
ADAM DAVISSON;KINGDOM;E1600144500000
ADAM DE LA PEÑA;CODE MONKEYS;E1300000100000
ADAM DEGROSS;POST MALONE - BETTER NOW;E1900189300000
ADAM DIVELLO;HILLS, THE;E1300000100000
ADAM DIVELLO;JUST JOKING;E1300000100000
ADAM DIVELLO;THE CITY - SEASON I - PARTE II;E1300000100000
ADAM DIVELLO;THE CITY - SEASON II;E1300000100000
ADAM DIVELLO;THE CITY- SEASON I;E1300000100000
ADAM DIVELLO;WHITNEY LOOKS BACK: FROM THE HILLS TO THE CITY;E1300000100000
ADAM DUBIN;METALLICA - NOTHING ELSE MATTERS;E1402430000000
ADAM DURITZ;COUNTING CROWS - ACCIDENTALLY IN LOVE;E1402674900000
ADAM DURITZ;COUNTING CROWS - AMERICAN GIRLS;E1402675000000
ADAM DURITZ;COUNTING CROWS - MR. JONES;E1402690000000
ADAM DURITZ;COUNTING CROWS - ON ALMOST ANY SUNDAY MORNING;E1402689900000
ADAM DURITZ;COUNTING CROWS - SHE DON'T WANT ANYBODY NEAR;E1402690100000
ADAM DURITZ;COUNTING CROWS - YOU CAN'T COUNT ON ME;E1402690200000
ADAM ELLIOT;MARY & MAX;E1300000100000
ADAM ELLIOT;MARY AND MAX;E1300000100000
ADAM ELLIOT;MARY AND MAX;E1600443800000
ADAM ELLIOT;MEMOIR OF A SNAIL;E2500156200000
ADAM EPSTEIN;EXTREME MOVIE;E1300000100000
ADAM ERBACHER;INSIDE MAN, THE;E1300000100000
ADAM F. GOLDBERG;DRAGONS: GIFT OF THE NIGHT FURY;E1300000100000
ADAM FERRYSON;FRANK SINATRA - O1'BLUE EYES IS BACK;E1300000100000
ADAM FRIEDMAN;BIOGRAPHY ¿ MICHELANGELO;E1300000100000
ADAM FRIEDMAN;ULTIMATE SENSUAL MASSAGES;E1300000100000
ADAM GIERASCH;FERTILE GROUND;E1300000100000
ADAM GOLDBERG;I LOVE YOUR WORK;E1300000100000
ADAM GOLDBERG;NEXT! - SEASON I;E1300000100000
ADAM GOLDERG;I LOVE YOUR WORK;E1300000100000
ADAM GOODALL;DEACON BLUE - LIVE AT CORNBURY;E1300000100000
ADAM GOODALL;KASABIAN LONDON LIVE SPECIAL;E1300000100000
ADAM GOODALL;LITTLE MIX – GLORY DAYS (THE PLATINUM EDITION);E1700547200000
