TITULO_PROJETO;CHAMADA_PUBLICA;ANO_EDITAL;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_PROGRAMADORA;RAZAO_SOCIAL_PROGRAMADORA;DATA_EXTRATO_CONTRATO_DOU;VALOR_CONTRATO_DOU;DATA_PRIMEIRO_DESEMBOLSO;VALOR_TOTAL_LIBERADO
OS UNDER-UNDERGROUNDS - 2ª TEMPORADA;PRODAV 01;2013;09.028.371/0001-56;TORTUGA STUDIOS PRODUTORA DE FILMES LTDA;09.028.371/0001-56;TORTUGA STUDIOS PRODUTORA DE FILMES LTDA;00.000.000/0000-0-;-;17/04/2019;R$ 2.525.000,00;25/04/2019;R$ 2.525.000,00
OSMAR E A PRIMEIRA FATIA DO PÃO DE FORMA, O FILME;PRODECINE 04;2013;01.287.007/0001-07;44 BICO LARGO COMERCIAL LTDA;01.287.007/0001-07;44 BICO LARGO COMERCIAL LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;05/01/2017;R$ 1.413.190,00;27/01/2017;R$ 1.413.190,00
O CINEMA DAS MULHERES;PRODAV 01;2013;15.048.775/0001-04;LASCENE PRODUCOES ARTISTICAS LTDA - ME;15.048.775/0001-04;LASCENE PRODUCOES ARTISTICAS LTDA - ME;00.000.000/0000-0-;-;21/03/2018;R$ 387.860,00;16/04/2018;R$ 387.860,00
PRA ONDE CORRE O RIO;PRODAV 01;2013;05.728.475/0001-12;CANAL LARANJA PRODUÇÕES LTDA ME;05.728.475/0001-12;CANAL LARANJA PRODUÇÕES LTDA ME;00.000.000/0000-0-;-;17/11/2015;R$ 562.400,00;27/11/2015;R$ 562.400,00
PRAÇA PARIS;PRODECINE 04;2013;73.947.392/0001-74;TAIGA FILMES E VIDEO EIRELI;73.947.392/0001-74;TAIGA FILMES E VIDEO EIRELI;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;15/06/2016;R$ 1.000.000,00;29/06/2016;R$ 1.000.000,00
REPÚBLICA DOS JUÍZES;PRODAV 01;2013;00.205.194/0001-61;HECO PRODUÇÕES LTDA;00.205.194/0001-61;HECO PRODUÇÕES LTDA;00.000.000/0000-0-;-;23/01/2019;R$ 693.599,00;18/02/2019;R$ 693.599,00
RETRATOS DO CÁRCERE;PRODAV 01;2013;04.980.287/0001-14;PANDA FILMES LTDA;04.980.287/0001-14;PANDA FILMES LTDA;00.000.000/0000-0-;-;15/03/2017;R$ 711.241,00;18/04/2017;R$ 711.241,00
RETRATOS URBANOS;PRODAV 01;2013;02.288.320/0001-14;GALERIA CINEMA E VÍDEO PRODUÇÕES LTDA;02.288.320/0001-14;GALERIA CINEMA E VÍDEO PRODUÇÕES LTDA;00.000.000/0000-0-;-;06/02/2019;R$ 650.105,00;14/02/2019;R$ 650.105,00
RIFLE;PRODECINE 03;2013;10.468.552/0001-82;TOKYO FILMES LTDA;10.468.552/0001-82;TOKYO FILMES LTDA;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;28/04/2017;R$ 144.000,00;10/05/2017;R$ 144.000,00
RINGUE;PRODAV 01;2013;02.282.322/0001-04;KINOSSAURUS FILMES LTDA.;02.282.322/0001-04;KINOSSAURUS FILMES LTDA.;00.000.000/0000-0-;-;04/09/2015;R$ 925.600,00;02/10/2015;R$ 925.600,00
SMETAK - DO SILÊNCIO AO CAOS;PRODAV 01;2013;14.487.133/0001-49;B3 CINE VÍDEO LTDA ME;14.487.133/0001-49;B3 CINE VÍDEO LTDA ME;00.000.000/0000-0-;-;31/07/2019;R$ 400.000,00;05/08/2019;R$ 400.000,00
SOBRADINHO;PRODECINE 05;2013;00.845.658/0001-02;COISA DE CINEMA - CINEMA E VÍDEO LTDA ME;00.845.658/0001-02;COISA DE CINEMA - CINEMA E VÍDEO LTDA ME;00.845.658/0001-02;COISA DE CINEMA - CINEMA E VÍDEO LTDA ME;28/09/2015;R$ 300.000,00;15/10/2015;R$ 300.000,00
OURO PARA O BEM DO BRASIL;PRODAV 01;2013;09.260.004/0001-83;TERRA FIRME PRODUÇÕES CINEMATOGRÁFICAS LTDA;09.260.004/0001-83;TERRA FIRME PRODUÇÕES CINEMATOGRÁFICAS LTDA;00.000.000/0000-0-;-;08/11/2017;R$ 200.000,00;20/11/2017;R$ 200.000,00
OUTRAS BRASILEIRAS - SÉRIE DE TV;PRODAV 01;2013;03.247.208/0001-06;AA - AFROREGGAE AUDIOVISUAL S.A.;03.247.208/0001-06;AA - AFROREGGAE AUDIOVISUAL S.A.;00.000.000/0000-0-;-;04/10/2017;R$ 491.364,00;26/10/2017;R$ 491.364,00
PREDILEÇÃO;PRODECINE 02;2013;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;11.660.296/0001-93;MGP ENTRETENIMENTO LTDA;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;27/06/2016;R$ 2.500.000,00;08/03/2018;R$ 2.500.000,00
VOU NADAR ATÉ VOCÊ;PRODECINE 02;2013;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;05.508.188/0001-05;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;05/11/2015;R$ 1.000.000,00;19/04/2017;R$ 1.000.000,00
