TITULO_PROJETO;CHAMADA_PUBLICA;ANO_EDITAL;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_PROGRAMADORA;RAZAO_SOCIAL_PROGRAMADORA;DATA_EXTRATO_CONTRATO_DOU;VALOR_CONTRATO_DOU;DATA_PRIMEIRO_DESEMBOLSO;VALOR_TOTAL_LIBERADO
AMANDA E CAIO;ARRANJOS REGIONAIS;2018;08.677.301/0001-66;LACUNA FILMES LTDA;08.677.301/0001-66;LACUNA FILMES LTDA;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;15/12/2021;R$ 270.000,00;07/04/2022;R$ 270.000,00
A PEDRA E A CACHOEIRA;ARRANJOS REGIONAIS;2018;28.960.596/0001-90;CAMILA DAMASIO NASCIMENTO ME;28.960.596/0001-90;CAMILA DAMASIO NASCIMENTO ME;00.000.000/0000-0-;-;16/02/2022;R$ 286.000,00;07/04/2022;R$ 286.000,00
MARINA;ARRANJOS REGIONAIS;2018;23.238.509/0001-72;L S ARAUJO ARTE E AUDIOVISUAL;23.238.509/0001-72;L S ARAUJO ARTE E AUDIOVISUAL;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;22/12/2021;R$ 1.200.000,00;28/01/2022;R$ 1.200.000,00
SLOW UP!;ARRANJOS REGIONAIS;2018;03.250.728/0001-60;TAKAPY DIGITAL ART LTDA;03.250.728/0001-60;TAKAPY DIGITAL ART LTDA;00.000.000/0000-0-;-;01/11/2022;R$ 390.000,00;11/11/2022;R$ 390.000,00
MEU MELHOR AMIGO - A SÉRIE;ARRANJOS REGIONAIS;2018;13.167.621/0001-06;PÓLEN ESTÚDIO DE ANIMAÇÃO LTDA-EPP;13.167.621/0001-06;PÓLEN ESTÚDIO DE ANIMAÇÃO LTDA-EPP;00.000.000/0000-0-;-;14/10/2021;R$ 120.000,00;26/10/2021;R$ 120.000,00
DANÇA ANFÍBIA;ARRANJOS REGIONAIS;2018;05.760.527/0001-38;NÚCLEO ZERO PUBLICIDADE LTDA;05.760.527/0001-38;NÚCLEO ZERO PUBLICIDADE LTDA;00.000.000/0000-0-;-;12/01/2022;R$ 200.000,00;11/04/2022;R$ 200.000,00
AGRESTE;ARRANJOS REGIONAIS;2018;06.096.915/0001-29;MIRAÇÃO FILMES LTDA;06.096.915/0001-29;MIRAÇÃO FILMES LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;30/06/2021;R$ 530.732,54;06/07/2021;R$ 530.732,54
SOB O SIGNO DA SEREIA;ARRANJOS REGIONAIS;2018;27.816.623/0001-93;BUTIKIN FILMES;27.816.623/0001-93;BUTIKIN FILMES;03.827.382/0001-10;MORO COMUNICAÇÃO EIRELI-ME;06/07/2022;R$ 300.000,00;15/07/2022;R$ 300.000,00
IT'S ALL TRUE EM OURO PRETO;ARRANJOS REGIONAIS;2018;15.340.915/0001-13;VENTURA PRODUÇÕES AUDIOVISUAIS LTDA;15.340.915/0001-13;VENTURA PRODUÇÕES AUDIOVISUAIS LTDA;15.144.532/0001-70;EMBAUBA FILMES LTDA;04/03/2022;R$ 400.000,00;13/04/2022;R$ 400.000,00
M;ARRANJOS REGIONAIS;2018;13.857.597/0001-37;DOCTELA - MÍDIA E COMUNICAÇÃO;13.857.597/0001-37;DOCTELA - MÍDIA E COMUNICAÇÃO;35.536.160/0001-34;INSTITUTO TATURANA;10/08/2022;R$ 200.000,00;18/08/2022;R$ 200.000,00
VIOLETTA;ARRANJOS REGIONAIS;2018;07.570.789/0001-65;BIÔNICA CINEMA E TV LTDA.ME;07.570.789/0001-65;BIÔNICA CINEMA E TV LTDA.ME;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;30/12/2021;R$ 551.234,25;01/04/2022;R$ 551.234,25
MALU E A MÁQUINA;SAV/MINC 02;2018;17.724.039/0001-54;L R M PRODUÇÕES ARTÍSTICAS E DE EVENTOS LTDA;17.724.039/0001-54;L R M PRODUÇÕES ARTÍSTICAS E DE EVENTOS LTDA;00.000.000/0000-0-;-;18/03/2020;R$ 99.999,89;27/03/2020;R$ 99.999,89
NOSSO LOUCO AMOR;FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA;2018;09.028.371/0001-56;TORTUGA STUDIOS PRODUTORA DE FILMES LTDA;09.028.371/0001-56;TORTUGA STUDIOS PRODUTORA DE FILMES LTDA;15.372.472/0001-42;H2O DISTRIBUIDORA DE FILMES S/A;23/10/2019;R$ 2.000.000,00;01/11/2019;R$ 2.000.000,00
NOSSO SONHO;FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA;2018;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;05.256.465/0001-21;URCA FILMES LTDA;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;15/12/2021;R$ 3.000.000,00;30/12/2021;R$ 3.000.000,00
JOVENS POLACAS;COMERCIALIZAÇÃO EM CINEMA;2018;03.760.043/0001-63;AFINAL FILMES LTDA;03.760.043/0001-63;AFINAL FILMES LTDA;05.933.574/0001-36;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;31/07/2019;R$ 199.450,00;05/08/2019;R$ 199.450,00
JÚLIA E A MÁQUINA DO TEMPO;SAV/MINC 10;2018;15.830.015/0001-54;PATIO VAZIO PRODUÇÕES CINEMATOGRÁFICAS, ARTÍSTICAS E CULTURAIS LTDA - ME;15.830.015/0001-54;PATIO VAZIO PRODUÇÕES CINEMATOGRÁFICAS, ARTÍSTICAS E CULTURAIS LTDA - ME;00.000.000/0000-0-;-;23/10/2019;R$ 200.000,00;12/12/2019;R$ 200.000,00
MARCHA CEGA;COMERCIALIZAÇÃO EM CINEMA;2018;18.883.243/0001-80;SALVATORE FILMES LTDA;18.883.243/0001-80;SALVATORE FILMES LTDA;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;12/12/2018;R$ 99.650,00;17/12/2018;R$ 99.650,00
MORMAÇO;COMERCIALIZAÇÃO EM CINEMA;2018;01.125.538/0001-95;DM FILMES E PRODUÇÕES ARTÍSTICAS LTDA;01.125.538/0001-95;DM FILMES E PRODUÇÕES ARTÍSTICAS LTDA;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;10/01/2019;R$ 179.551,00;14/01/2019;R$ 179.551,00
MOTEL DESTINO;CONCURSO PRODUÇÃO PARA CINEMA;2018;02.174.031/0001-94;CINEMA INFLAMAVEL PRODUCOES CINEMATOGRAFICAS LTDA;02.174.031/0001-94;CINEMA INFLAMAVEL PRODUCOES CINEMATOGRAFICAS LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;16/07/2021;R$ 3.500.000,00;11/08/2021;R$ 3.500.000,00
JÚPITER;FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA;2018;06.130.502/0001-13;DONA ROSA PRODUÇÕES ARTÍSTICAS LTDA.;06.130.502/0001-13;DONA ROSA PRODUÇÕES ARTÍSTICAS LTDA.;15.182.829/0001-20;ENCRIPTA S/A;08/04/2019;R$ 396.618,10;16/04/2019;R$ 396.618,10
JUVENAL E O DRAGÃO;SAV/MINC 01;2018;10.433.648/0001-05;STAIRS PRODUCOES AUDIOVISUAIS LTDA;10.433.648/0001-05;STAIRS PRODUCOES AUDIOVISUAIS LTDA;10.433.648/0001-05;STAIRS PRODUCOES AUDIOVISUAIS LTDA;05/02/2020;R$ 3.500.000,00;17/02/2020;R$ 3.500.000,00
KAKAWA;SAV/MINC 04;2018;25.302.358/0001-08;PRODUTORA PORTATIL LTDA. - ME;25.302.358/0001-08;PRODUTORA PORTATIL LTDA. - ME;13.950.406/0001-87;LARANJEIRAS FILMES PRODUÇÕES LTDA;10/09/2020;R$ 421.179,00;11/09/2020;R$ 421.179,00
KASA BRANCA;CONCURSO PRODUÇÃO PARA CINEMA;2018;09.547.615/0001-07;TACACÁ FILMES LTDA;09.547.615/0001-07;TACACÁ FILMES LTDA;11.579.388/0001-43;ESFERA PRODUÇÕES CULTURAIS EIRELI - EPP;22/05/2019;R$ 2.145.132,00;30/05/2019;R$ 2.145.132,00
KAWAIWETÉ INVADIDOS;SAV/MINC 04;2018;13.662.891/0001-93;PARALELEPÍPEDO PRODUÇÕES LTDA;13.662.891/0001-93;PARALELEPÍPEDO PRODUÇÕES LTDA;13.662.891/0001-93;PARALELEPÍPEDO PRODUÇÕES LTDA;18/03/2020;R$ 498.800,00;27/03/2020;R$ 498.800,00
MARIA DO CARITÓ;COMERCIALIZAÇÃO EM CINEMA;2018;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;00.338.948/0001-51;E.H. FILMES LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;13/11/2019;R$ 700.000,00;19/11/2019;R$ 700.000,00
MARIA Q;SAV/MINC 10;2018;33.897.794/0001-97;IPANEMA FILMES LTDA;33.897.794/0001-97;IPANEMA FILMES LTDA;00.000.000/0000-0-;-;06/11/2019;R$ 200.000,00;28/11/2019;R$ 200.000,00
MULHERES ARTISTAS;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;07.860.494/0001-23;TANGERINA ENTRETENIMENTO LTDA;07.860.494/0001-23;TANGERINA ENTRETENIMENTO LTDA;04.334.366/0001-58;NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.;07/07/2021;R$ 400.000,00;18/10/2021;R$ 400.000,00
MULHERES RADICAIS;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;09.180.984/0001-04;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;09.180.984/0001-04;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;14/04/2021;R$ 491.425,50;19/04/2021;R$ 491.425,50
KIRIMURÊ - UMA AVENTURA NA BAÍA DE TODOS OS SANTOS;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;09.583.743/0001-06;MANTRA PRODUCOES AUDIOVISUAIS LTDA;09.583.743/0001-06;MANTRA PRODUCOES AUDIOVISUAIS LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07/04/2021;R$ 399.000,57;04/06/2021;R$ 399.000,57
KOBRA;CONCURSO PRODUÇÃO PARA CINEMA;2018;07.490.019/0001-02;GIRAFA FILMES LTDA;07.490.019/0001-02;GIRAFA FILMES LTDA;29.080.317/0001-67;PAGU DISTRIBUICAO DE FILMES LTDA.;20/03/2019;R$ 450.000,00;28/03/2019;R$ 450.000,00
KUNHÃ KARAI - NARRATIVAS DA TERRA;SAV/MINC 04;2018;07.822.394/0001-02;LINHA DE PRODUÇÃO CINEMA E TELEVISÃO LTDA;07.822.394/0001-02;LINHA DE PRODUÇÃO CINEMA E TELEVISÃO LTDA;04.980.287/0001-14;PANDA FILMES LTDA;25/03/2020;R$ 500.000,00;13/04/2020;R$ 500.000,00
L.O.C.A.;FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA;2018;09.180.984/0001-04;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;09.180.984/0001-04;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;30/10/2019;R$ 4.438.846,48;07/11/2019;R$ 4.438.846,48
MARIGHELLA;FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA;2018;02.525.725/0001-29;O2 CINEMA LTDA;02.525.725/0001-29;O2 CINEMA LTDA;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;23/02/2022;R$ 1.420.000,00;01/04/2022;R$ 1.420.000,00
MASMORRAS & BATATAS;SAV/MINC 08;2018;06.274.259/0001-07;CATAVENTO PRODUÇÕES AUDIOVISUAIS LTDA - ME;06.274.259/0001-07;CATAVENTO PRODUÇÕES AUDIOVISUAIS LTDA - ME;06.274.259/0001-07;CATAVENTO PRODUÇÕES AUDIOVISUAIS LTDA - ME;18/11/2020;R$ 999.980,63;23/11/2020;R$ 999.980,63
MATAPI MERCADO AUDIOVISUAL DO NORTE;SAV/MINC 11;2018;28.442.482/0001-59;L MONTEIRO MAIA EIRELI - EPP;00.000.000/0000-0-;-;00.000.000/0000-0-;-;12/07/2019;R$ 135.000,00;18/07/2019;R$ 135.000,00
MUSIC VÍDEO FESTIVAL 2018;SAV/MINC 11;2018;05.207.056/0001-35;CINNAMON COMUNICAÇÃO E AUDIO VISUAL LTDA-ME;00.000.000/0000-0-;-;00.000.000/0000-0-;-;05/10/2018;R$ 200.000,00;09/10/2018;R$ 200.000,00
MÚSICA PARA QUANDO AS LUZES SE APAGAM;COMERCIALIZAÇÃO EM CINEMA;2018;94.100.302/0001-85;ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.;94.100.302/0001-85;ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.;05.249.852/0001-30;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;27/02/2020;R$ 200.000,00;05/03/2020;R$ 200.000,00
MÚSICA SUBSTANTIVO FEMININO CHIQUINHA GONZAGA;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;06.900.652/0001-69;BSB SERVIÇOS CINEGROUP LTDA;06.900.652/0001-69;BSB SERVIÇOS CINEGROUP LTDA;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;22/09/2021;R$ 500.000,00;28/09/2021;R$ 500.000,00
LAB CINEMA EXPANDIDO - RIO DE JANEIRO: FANTASMAS, CORPOS E MÁSCARAS;SAV/MINC 13;2018;01.125.538/0001-95;DM FILMES E PRODUÇÕES ARTÍSTICAS LTDA;01.125.538/0001-95;DM FILMES E PRODUÇÕES ARTÍSTICAS LTDA;00.000.000/0000-0-;-;30/10/2019;R$ 600.000,00;09/01/2020;R$ 600.000,00
MATO CONECTADO;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;07.168.260/0001-10;CUMBARU PRODUÇÕES ARTÍSTICAS LTDA - ME;07.168.260/0001-10;CUMBARU PRODUÇÕES ARTÍSTICAS LTDA - ME;07.121.705/0001-06;GAMECORP S.A.;22/06/2022;R$ 400.000,00;05/07/2022;R$ 400.000,00
ME CONTARAM;SAV/MINC 10;2018;12.640.382/0001-05;ADRIANO GURGEL ARRUDA;12.640.382/0001-05;ADRIANO GURGEL ARRUDA;00.000.000/0000-0-;-;23/10/2019;R$ 200.000,00;01/11/2019;R$ 200.000,00
MEBÊNGÔKRE ICI;SAV/MINC 03;2018;05.928.108/0001-62;COMPANHIA AMAZONICA DE FILMES S/S LTDA.;05.928.108/0001-62;COMPANHIA AMAZONICA DE FILMES S/S LTDA.;05.928.108/0001-62;COMPANHIA AMAZONICA DE FILMES S/S LTDA.;19/02/2020;R$ 1.000.000,00;26/02/2020;R$ 1.000.000,00
MUSSUM, UM FILME DO CACILDIS;COMERCIALIZAÇÃO EM CINEMA;2018;06.992.833/0001-62;MODO OPERANTE PRODUÇÕES CULTURAIS LTDA. ME;06.992.833/0001-62;MODO OPERANTE PRODUÇÕES CULTURAIS LTDA. ME;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;22/05/2019;R$ 130.800,00;27/05/2019;R$ 130.800,00
MYTHS OF TERNIA;SAV/MINC 06;2018;26.821.865/0001-02;GK CRIATIVIDADE PROGRAMAS DE COMPUTADOR LTDA;26.821.865/0001-02;GK CRIATIVIDADE PROGRAMAS DE COMPUTADOR LTDA;00.000.000/0000-0-;-;22/04/2020;R$ 249.980,00;29/05/2020;R$ 249.980,00
NA BOCA DO LOBO;SAV/MINC 01;2018;07.311.501/0001-38;KARMATIQUE IMAGENS LTDA;07.311.501/0001-38;KARMATIQUE IMAGENS LTDA;07.311.501/0001-38;KARMATIQUE IMAGENS LTDA;19/02/2020;R$ 3.500.000,00;05/03/2020;R$ 3.500.000,00
NA GUERRA DOS OUTROS;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;27.527.464/0001-07;COEVOS FILMES LTDA;27.527.464/0001-07;COEVOS FILMES LTDA;73.560.195/0001-06;CONCEITO A EM AUDIOVISUAL S.A;10/11/2021;R$ 555.939,86;24/11/2021;R$ 555.939,86
NÚCLEO DE QUALIFICAÇÃO AUDIOVISUAL DO NORDESTE;SAV/MINC 13;2018;10.664.463/0001-01;BLUE FILMES E PRODUÇÕES LTDA - ME;10.664.463/0001-01;BLUE FILMES E PRODUÇÕES LTDA - ME;00.000.000/0000-0-;-;23/08/2019;R$ 340.000,00;29/08/2019;R$ 340.000,00
LEALDADE;SAV/MINC 10;2018;22.188.491/0001-89;AZEVEDO & FARIAS PRODUTORA DE VIDEOS LTDA - ME / VISIONÁRIA FILMES;22.188.491/0001-89;AZEVEDO & FARIAS PRODUTORA DE VIDEOS LTDA - ME / VISIONÁRIA FILMES;00.000.000/0000-0-;-;27/12/2019;R$ 200.000,00;13/01/2020;R$ 200.000,00
LEGALIDADE;COMERCIALIZAÇÃO EM CINEMA;2018;90.130.634/0001-51;INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;90.130.634/0001-51;INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;12.126.484/0001-07;BOULEVARD FILMES LTDA;10/04/2019;R$ 200.000,00;16/04/2019;R$ 200.000,00
MEDIDA PROVISÓRIA;FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA;2018;02.605.295/0001-55;LEREBY PRODUÇÕES LTDA;02.605.295/0001-55;LEREBY PRODUÇÕES LTDA;15.372.472/0001-42;H2O DISTRIBUIDORA DE FILMES S/A;22/05/2019;R$ 1.734.648,73;07/06/2019;R$ 1.734.648,73
MEMÓRIAS DE SANGUE: O VAMPIRO QUE DESCOBRIU O BRASIL;SAV/MINC 10;2018;22.327.940/0001-22;ATO3 PRODUCOES ARTISTICAS E EDITORIAIS LTDA - ME;22.327.940/0001-22;ATO3 PRODUCOES ARTISTICAS E EDITORIAIS LTDA - ME;00.000.000/0000-0-;-;04/12/2019;R$ 200.000,00;19/12/2019;R$ 200.000,00
MEMÓRIAS DO BRASIL - 2ª TEMPORADA;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;15.128.758/0001-87;TEM DENDE PRODUCOES LTDA - ME;15.128.758/0001-87;TEM DENDE PRODUCOES LTDA - ME;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;27/01/2021;R$ 1.060.000,00;01/02/2021;R$ 1.060.000,00
MENINA DE ASAS;SAV/MINC 07;2018;13.100.305/0001-17;LUCIANA GOMES DA SILVA DRUZINA - ME;13.100.305/0001-17;LUCIANA GOMES DA SILVA DRUZINA - ME;13.100.305/0001-17;LUCIANA GOMES DA SILVA DRUZINA - ME;11/11/2020;R$ 350.000,00;27/11/2020;R$ 350.000,00
MANAS;CONCURSO PRODUÇÃO PARA CINEMA;2018;07.501.094/0001-21;MARIOLA FILMES E PRODUÇÕES LTDA.;07.501.094/0001-21;MARIOLA FILMES E PRODUÇÕES LTDA.;39.079.678/0001-47;BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP;18/09/2019;R$ 3.000.000,00;25/09/2019;R$ 3.000.000,00
NA RÉDEA CURTA;CONCURSO PRODUÇÃO PARA CINEMA;2018;13.650.474/0001-20;ROSZA FILMES PRODUÇÕES LTDA ME;13.650.474/0001-20;ROSZA FILMES PRODUÇÕES LTDA ME;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;19/06/2019;R$ 2.913.000,00;09/07/2019;R$ 2.913.000,00
NA TRILHA DO SOM;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;05.256.465/0001-21;URCA FILMES LTDA;05.256.465/0001-21;URCA FILMES LTDA;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;16/06/2021;R$ 441.600,00;23/06/2021;R$ 441.600,00
NIHONJIN;SAV/MINC 01;2018;01.161.933/0001-23;PG - PRODUÇÕES DE CINEMA VÍDEO E TV LTDA;01.161.933/0001-23;PG - PRODUÇÕES DE CINEMA VÍDEO E TV LTDA;60.523.941/0001-31;K&C - PROGRAMAÇÃO VISUAL S/S LTDA. - ME;24/06/2020;R$ 3.500.000,00;17/08/2020;R$ 3.500.000,00
O BELICHE VOADOR;SAV/MINC 10;2018;20.282.507/0001-92;MEDIALAB CRIACAO, PRODUCOES CINEMATOGRAFICAS E SOFTWARE LTDA - ME;20.282.507/0001-92;MEDIALAB CRIACAO, PRODUCOES CINEMATOGRAFICAS E SOFTWARE LTDA - ME;00.000.000/0000-0-;-;13/11/2019;R$ 200.000,00;21/11/2019;R$ 200.000,00
O BRILHO DOS MEUS OLHOS;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;18.386.096/0001-33;ACALANTE FILMES LTDA;18.386.096/0001-33;ACALANTE FILMES LTDA;73.560.195/0001-06;CONCEITO A EM AUDIOVISUAL S.A;09/06/2021;R$ 400.000,00;20/07/2021;R$ 400.000,00
O CIRCO VOLTOU;CONCURSO PRODUÇÃO PARA CINEMA;2018;08.991.631/0001-21;99 PRODUCOES ARTISTICAS LTDA;08.991.631/0001-21;99 PRODUCOES ARTISTICAS LTDA;21.054.261/0001-64;LIRA FILMES PRODUÇÕES LTDA ME;27/06/2019;R$ 1.500.000,00;02/07/2019;R$ 1.500.000,00
O CLUBE DAS MULHERES DE NEGÓCIOS;FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA;2018;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;02.140.164/0001-40;GLAZ ENTRETENIMENTO S.A.;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;12/07/2019;R$ 3.000.000,00;18/07/2019;R$ 3.000.000,00
O CLUBE DOS CANIBAIS;COMERCIALIZAÇÃO EM CINEMA;2018;16.894.643/0001-66;TARDO FILMES LTDA ME;16.894.643/0001-66;TARDO FILMES LTDA ME;28.083.221/0001-90;OLHAR DE CINEMA DISTRIBUIDORA DE FILMES LTDA - ME;27/06/2019;R$ 200.000,00;11/07/2019;R$ 200.000,00
O DIVINO EM ALCÂNTARA;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;12.286.408/0001-50;PROCONTENT PRODUCAO LTDA;12.286.408/0001-50;PROCONTENT PRODUCAO LTDA;06.275.598/0001-08;RÁDIO E TV DIFUSORA DO MARANHÃO LTDA;02/08/2023;R$ 300.000,00;21/08/2023;R$ 300.000,00
O DOUTRINADOR - O FILME;COMERCIALIZAÇÃO EM CINEMA;2018;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;12.580.503/0001-62;PARIS PRODUÇÕES CINEMATOGRÁFICAS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;06/02/2019;R$ 1.900.000,00;08/04/2019;R$ 1.900.000,00
O ESPAÇO INFINITO;FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA;2018;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;13.631.016/0001-44;MACHADO FILMES E PRODUÇÕES LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;17/04/2019;R$ 960.000,00;29/04/2019;R$ 960.000,00
O FANTÁSTICO PATINHO FEIO;COMERCIALIZAÇÃO EM CINEMA;2018;26.575.824/0001-83;CALDO DE CANA FILMES E PRODUCOES LTDA;26.575.824/0001-83;CALDO DE CANA FILMES E PRODUCOES LTDA;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;30/10/2019;R$ 200.000,00;07/11/2019;R$ 200.000,00
O IMPÉRIO;CONCURSO PRODUÇÃO PARA CINEMA;2018;05.508.188/0001-05;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;05.508.188/0001-05;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;05.508.188/0001-05;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;18/09/2019;R$ 4.015.000,00;03/10/2019;R$ 4.015.000,00
O JARDIM DE MARIA;SAV/MINC 04;2018;11.501.891/0001-86;ANDARA FILMES LTDA-ME;11.501.891/0001-86;ANDARA FILMES LTDA-ME;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;22/04/2020;R$ 499.800,00;05/06/2020;R$ 499.800,00
O JARDIM DOS GIRASSOIS;FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA;2018;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07.060.648/0001-00;INDIANA PRODUÇÕES CINEMATOGRÁFICAS EIRELI - ME;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;12/06/2019;R$ 4.500.000,00;17/06/2019;R$ 4.500.000,00
O JUÍZO;COMERCIALIZAÇÃO EM CINEMA;2018;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;09.180.984/0001-04;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;18/09/2019;R$ 500.000,00;24/09/2019;R$ 500.000,00
O MEDO E O MAR;CONCURSO PRODUÇÃO PARA CINEMA;2018;03.360.320/0001-40;TV ZERO CINEMA LTDA;03.360.320/0001-40;TV ZERO CINEMA LTDA;03.360.320/0001-40;TV ZERO CINEMA LTDA;23/06/2021;R$ 3.233.603,65;05/07/2021;R$ 3.233.603,65
O MENINO MAIS RICO DO MUNDO;SAV/MINC 03;2018;08.035.343/0001-01;NA LAJE FILMES PRODUÇÕES LTDA;08.035.343/0001-01;NA LAJE FILMES PRODUÇÕES LTDA;08.035.343/0001-01;NA LAJE FILMES PRODUÇÕES LTDA;12/02/2020;R$ 1.000.000,00;12/03/2020;R$ 1.000.000,00
O MÊS QUE NÃO TERMINOU;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;10.519.798/0001-36;NOVA TRINITI COMUNICAÇÃO E PRODUÇÃO ARTÍSTICA LTDA ME;10.519.798/0001-36;NOVA TRINITI COMUNICAÇÃO E PRODUÇÃO ARTÍSTICA LTDA ME;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;11/12/2019;R$ 160.000,00;09/01/2020;R$ 160.000,00
O MICROMUNDO DE WESLLEY;SAV/MINC 08;2018;17.514.352/0001-68;FILMERAMA PRODUÇÕES LTDA - EPP;17.514.352/0001-68;FILMERAMA PRODUÇÕES LTDA - EPP;24.800.280/0001-80;RAPADURA ATÔMICA ESTÚDIO DE ANIMAÇÃO E JOGOS DIGITAIS LTDA;11/11/2020;R$ 1.000.000,00;13/11/2020;R$ 1.000.000,00
O MINI MUNDO DE CLARICE;SAV/MINC 09;2018;23.856.558/0001-79;CAOLHA FILMES EIRELI - ME;23.856.558/0001-79;CAOLHA FILMES EIRELI - ME;00.000.000/0000-0-;-;24/06/2020;R$ 200.000,00;29/06/2020;R$ 200.000,00
O MUNDO DAS ECOVILAS;FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO;2018;07.496.159/0001-98;ALDEIA PRODUÇÕES LTDA;07.496.159/0001-98;ALDEIA PRODUÇÕES LTDA;73.560.195/0001-06;CONCEITO A EM AUDIOVISUAL S.A;23/06/2021;R$ 1.469.874,00;13/07/2021;R$ 1.469.874,00
