TITULO_ORIGINAL;CPB;NUMERO_CONTRATO_FSA
AS AMAZONAS;B2400044600000;04031
AS APARÊNCIAS ENGANAM;B2500446200000;03272
AS APARÊNCIAS ENGANAM;B2500446200000;04561
AS AVENTURAS DE AGAMENON, O REPÓRTER;B1101519200000;0212026400
AS AVENTURAS DE FUJIWARA MANCHESTER;B1600142700000;00045
AS AVENTURAS DE MINUANO KID;B1600713500000;00333
AS AVENTURAS DE POLIANA - O FILME;B2300484200000;04455
AS AVENTURAS DE TITA - 1ª TEMPORADA;B2600030600000;04799
AS AVENTURAS DE TRACAJARÉ;B2400229400000;04724
AS AVENTURAS DO AVIÃO VERMELHO;B1402521900000;0211024200
AS AVENTURAS DO HOMEM CUECA;B1500758100000;00113
AS AVENTURAS DO PEQUENO COLOMBO;B1500572900000;033210
AS BATALHAS DA FÉ;B1600793600000;00517
AS BENZEDEIRAS;B2500486200000;04952
AS BOAS MANEIRAS;B1700450500000;00040
AS BOAS MANEIRAS;B1700450500000;1261
AS CANÇÕES DA MINHA VIDA;B1600730300000;00353
AS CIDADES AZUIS;B1900563800000;1341
AS CORES QUE HABITAMOS;B2100074300000;1381
AS DEZ VANTAGENS DE MORRER DEPOIS DE VOCÊ;B2600035800000;05480
AS DEZ VANTAGENS DE MORRER DEPOIS DE VOCÊ;B2600035800000;05481
AS DORES DO MUNDO: HYLDON;B2500514100000;05036
AS GRANDES ENTREVISTAS DO PASQUIM;B1402274200000;0020
AS GRAVAÇÕES DE TURNER NA BAHIA;B2200203800000;3248
AS HERDEIRAS;B1800293900000;01382
AS INCRÍVEIS ARTIMANHAS DA NUVEM CIGANA;B1600585300000;00355
AS INDÍGENAS DA TERRA;B2300379200000;03047
AS LENDAS DA TURMA DO JAMBU;B1700464900000;00535
AS MICROAVENTURAS DE TITO E MUDA - 1ª TEMPORADA;B1800444900000;1148
AS MICROAVENTURAS DE TITO E MUDA - 2ª TEMPORADA;B1900244200000;1148
AS MIL MULHERES;B1800188300000;00758
AS MINA PIRA;B2200499400000;04044
AS POLACAS;B2400119700000;4310
AS POLACAS;B2400119700000;4743
AS PRIMEIRAS;B2400102000000;04506
AS PROTAGONISTAS;B2100121100000;02079
AS TRAVESSIAS DE LETIERES LEITE;B2500297800000;03795
AS VITRINES;B2400528600000;3245
AS ÓRFÃS DA RAINHA;B2200102500000;03282
AS ÓRFÃS DA RAINHA;B2200102500000;03961
ASA BRANCA - A VOZ DA ARENA;B2500365800000;4860
ASAS DA CIDADE;B2400244300000;04551
ASAS DO JEQUITINHONHA;B2400246200000;04535
ASAS PARA LAUREN;B1700539700000;842
ASDRUBAL TROUXE O TROMBONE;B1700537500000;00810
ASDRUBAL TROUXE O TROMBONE;B1700537500000;00829
ASPIRANTES;B1500843400000;0212020100
ASSALTO NA PAULISTA;B2200223200000;02020
ASSALTO NA PAULISTA;B2200223200000;04111
ASSALTO À BRASILEIRA;B2600050500000;05675
ASSEXYBILIDADE;B2400172100000;04519
ASTROBALDO;B1700053400000;00625
ATLÂNTICO NORTE EXTREMO;B1900120600000;1709
ATO FINAL;B2300374600000;04090
ATO NOTURNO;B2500090700000;04319
ATO NOTURNO;B2500090700000;04744
ATRAS DA SOMBRA;B2000255200000;01867
ATRAVESSA A VIDA;B2000327800000;02268
ATRAVESSA A VIDA;B2000327800000;03415
ATRAVÉS DA SOMBRA;B1500873900000;0212025800
ATÉ O PRIMEIRO DISCO;B1800007000000;00405
ATÉ QUE A MÚSICA PARE;B2300468900000;04147
ATÉ QUE A SBÓRNIA NOS SEPARE;B1301874500000;0211007600
ATÉ QUE A SORTE NOS SEPARE;B1201657700000;0211010400
AUMENTA QUE É ROCK;B2400335000000;01959
AUMENTA QUE É ROCK'N'ROLL;B2400018000000;01959
AURORA 1964;B1800408800000;02015
AURÁ, EU SOU DE LÁ;B1700118500000;00465
AUTO DE RESISTÊNCIA;B1800228200000;01067
AUTO DE RESISTÊNCIA;B1800228200000;1299
AUÊ;B1700118900000;00499
AVE CANUDOS! OS QUE SOBREVIVERAM TE SAÚDAM;B2100446000000;1659
AVE SANGRIA - A BANDA QUE NUNCA  ACABOU;B2500291300000;04863
AVE SECA;B2100011000000;00936
AVENTURA-SE;B2400022700000;04384
AVENTURAS DE AMÍ;B1900158800000;01785
AVENTURAS DE AMÍ - 2º TEMPORADA;B2300552600000;04273
AVÓ DEZANOVE E O SEGREDO DO SOVIÉTICO;B2000332000000;1519
AXOGUN;B1700088200000;00519
AYAHUASCA, EXPANSÃO DA CONSCIÊNCIA;B1800494400000;1502
AZOUGUE NAZARÉ;B1800141000000;1286
AZUL CELESTE;B2300272300000;02320
AZULEJARIA EM MINAS GERAIS - SOB O OLHAR DE ALEXANDRE MANCINI;B2400521900000;03949
AÇUCAR;B1800090200000;1700
BABENCO - ALGUÉM TEM QUE OUVIR O CORAÇÃO E DIZER: PAROU;B2000006500000;02640
BABU E OS BICHOS;B2500526200000;04686
BABY;B2400488300000;04283
BABY;B2400488300000;04284
BABY;B2400488300000;04876
BACURAU;B1900232600000;2094
