TITULO_ORIGINAL;CPB;NUMERO_SALIC
AS NOVAS MISSÕES DO PEIXONAUTA;B1301982700000;090370
AS POLACAS;B2400119700000;170511
AS POLACAS;B2400119700000;170566
AS POLACAS;B2400119700000;231100
AS PORTAS ABERTAS;B2100167200000;140468
AS VERDADES;B2100458300000;170518
AS VITRINES;B2400528600000;150044
ASA BRANCA - A VOZ DA ARENA;B2500365800000;160499
ASSALTO AO BANCO CENTRAL;B1101449600000;090367
ASSALTO NA PAULISTA;B2200223200000;130161
ASSALTO À BRASILEIRA;B2600050500000;231197
ASSALTO À BRASILEIRA;B2600050500000;241293
ASSEXYBILIDADE;B2400172100000;180431
ASTRO, UMA FÁBULA URBANA EM UM RIO DE JANEIRO MÁGICO;B1201670700000;110355
ASTRONAUTA;B2300408400000;180863
ATENÇÃO PARA O REFRÃO;B2600037500000;241209
ATO, ATALHO E VENTO;B1500451800000;120358
ATOL DAS ROCAS;B0500260700000;011943
ATOL DAS ROCAS - RESERVA MARINHA;B1500809300000;090361
ATOS DOS HOMENS;B0700670500000;030264
ATRAVESSA A VIDA;B2000327800000;180388
ATRAVÉS DA JANELA;B0600534900000;973589
ATRAVÉS DA SOMBRA;B1500873900000;090435
ATUALIDADES;B1001202800000;090496
ATUALIDADES SEGUNDA TEMPORADA;B1301823800000;120449
ATÉ ONDE A VISTA ALCANÇA;B2500290700000;240432
ATÉ QUE A MORTE NOS SEPARE;B1201565800000;100568
ATÉ QUE A MORTE NOS SEPARE - 2A TEMPORADA;B1500595400000;130281
ATÉ QUE A MORTE NOS SEPARE - 3ª TEMPORADA;B1800424100000;170251
ATÉ QUE A SBÓRNIA NOS SEPARE;B1301874500000;040322
ATÉ QUE A SORTE NOS SEPARE;B1201657700000;100219
ATÉ QUE A SORTE NOS SEPARE 2;B1302035000000;130065
ATÉ QUE A SORTE NOS SEPARE 3;B1500904200000;140491
ATÉ QUE A VIDA NOS SEPARE;B0400055300000;971758
AUGUSTAS;B1201645500000;060233
AULA NO TRAÇO;B1700596600000;160702
AUMENTA QUE É ROCK'N'ROLL;B2400018000000;160122
AURORA;B2400217100000;160412
AUSÊNCIA;B1500276200000;100566
AUTHENTIC GAMES NO IMPÉRIO DESCONECTADO;B2600062300000;210093
AUTHENTIC REPORTER;B2500069700000;210140
AUTO POSTO - 1ª TEMPORADA;B2000211700000;180925
AUTO POSTO - 2ª TEMPORADA;B2300149000000;210003
AUTOMAÇÃO E INTELIGÊNCIA ARTIFICIAL NO BRASIL;B2600130700000;220831
AUTÊNTICAS;B1800461900000;180333
AUTÊNTICAS - 2ª TEMPORADA;B1900343900000;190147
AVASSALADORAS;B0300009600000;000379
AVASSALADORAS - A SÉRIE;B0600458700000;030349
AVASSALADORAS 2.0;B2400119900000;160025
AVENIDA BEIRA-MAR;B2400336600000;210322
AYRTON MENINICES NO CORAÇÃO DO BRASIL;B2200065100000;190229
AÇUCAR;B1800090200000;150207
AÇÃO ENTRE AMIGOS;B0500286200000;961499
B DE BRASIL - 2A TEMPORADA;B2400373800000;220028
B1;B1001164600000;080069
BABEL SP;B1800433200000;160205
BABENCO - ALGUÉM TEM QUE OUVIR O CORAÇÃO E DIZER: PAROU;B2000006500000;160177
BABY;B2400488300000;180512
BABY & ROSE - 1A TEMPORADA;B1800516800000;180401
BABY & ROSE - 2A TEMPORADA;B1900489400000;190235
BACK TRACK;B1301841300000;120184
BACURAU;B1900232600000;130213
BAHIA DE TODOS OS SAMBAS;B0300023600000;960847
BAIA DOS PESADELOS;B1600459300000;150701
BAILE PERFUMADO;B0400059500000;960239
BAIÃO DE DOIS;B1800593100000;180746
BALA SEM NOME;B2100425000000;130097
BALANGAY: NAS ÁGUAS FILIPINAS;B1900350900000;170628
BALANÇO BLACK;B2100139800000;170010
BALEIAS EM ABROLHOS;B0500438500000;962435
BANDEIRAS;B1800073500000;150508
BANDIDA;B2400093000000;190238
BARRAS INVISIVEIS  - 2.ª TEMPORADA;B2500060200000;220353
BARRAS INVISIVEIS - 1.ª TEMPORADA;B2400293900000;220311
BARRETÃO;B2000038100000;140460
BARÃO VERMELHO - POR QUE A GENTE É ASSIM?;B1700145800000;120258
BATALHA MAKERS BRASIL;B1900131800000;170697
BATALHA: A GUERRA DO VINIL;B0700765700000;040167
BATE CORAÇÃO;B1900498800000;120007
BATEAU MOUCHE - O NAUFRAGIO DA JUSTIÇA;B2400466200000;230562
BATISMO DE SANGUE;B0600599600000;030221
BEACH LIFE;B2500181200000;200038
BEATRIZ;B1500711400000;050453
BELA NOITE PARA VOAR;B0800953500000;000298
BELAIR;B1001191000000;060342
BELEZA DA NOITE;B2200422100000;190324
BELEZA ESCONDIDA;B1500118500000;080571
BELEZA GG;B1800302300000;160513
BELEZA GG -3A.TEMPORADA;B2300408800000;210082
BELEZA GG -SEGUNDA TEMPORADA;B2000474800000;180638
BELEZA S/A;B1301931900000;120279
BELLINI E A ESFINGE;B0500309900000;972595
BELLINI E O DEMÔNIO;B0901126600000;030043
BELO MONTE: UM MUNDO ONDE TUDO É POSSÍVEL;B1600750800000;150219
BEM CASADOS;B1500840400000;110503
BEM-VINDA A QUIXERAMOBIM;B2200285200000;170169
BEM-VINDA VIOLETA;B2300147900000;180432
BENDITO FRUTO;B0400129700000;971348
BENJAMIM;B0400053800000;993387
BENS CONFISCADOS;B0500251200000;012008
BENZINHO;B1800106900000;130200
BENZINHO;B1800106900000;155204
BERENICE PROCURA;B1700353800000;129035
BERENICE PROCURA;B1700353800000;130226
BERNARDES;B1402117800000;120175
BERTHA LUTZ - A MULHER NA CARTA DA ONU;B1900392900000;170332
