REGISTRO_ANCINE;DATA_REGISTRO;RAZAO_SOCIAL;CNPJ;DATA_CONSTITUICAO;UF;MUNICIPIO;CODIGO_MUNICIPIO_IBGE;CLASSIFICACAO_AGENTE_ECONOMICO;NATUREZA_JURIDICA;BRASILEIRO_INDEPENDENTE
1846;08/03/2004;GATA CINE PRODUÇÕES LTDA;03.863.923/0001-65;17/05/2000;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
17874;21/10/2010;GATARIA FILMES LTDA;12.461.217/0001-88;13/07/2010;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
62317;13/06/2025;GATO CEGO PRODUÇÕES LTDA;43.968.567/0001-69;21/10/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Empresária Limitada;SIM
54481;21/08/2023;GATO DE GENGIBRE - PESQUISA E PRODUÇÃO CULTURAL LTDA.;33.160.210/0001-04;27/03/2019;PE;RECIFE;2611606;Brasileiro independente;Sociedade Empresária Limitada;SIM
16993;12/05/2010;GATO DO PARQUE CINEMATOGRÁFICA LTDA;11.687.817/0001-04;08/03/2010;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Simples Limitada;SIM
62806;08/08/2025;GATO FERRUGEM FILMES LTDA;46.644.040/0001-77;02/06/2022;SP;SAO PAULO;3550308;Brasileiro;Sociedade Empresária Limitada;NÃO
48764;24/06/2021;GATO GORDO PRODUCOES LTDA;18.225.093/0001-18;03/06/2013;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
63809;27/11/2025;GATO MALHADO FILMES LTDA;62.011.938/0001-64;31/07/2025;MG;BELO HORIZONTE;3106200;Brasileiro independente;Sociedade Empresária Limitada;SIM
50826;28/03/2022;GATO MIA STUDIO LTDA;45.219.123/0001-56;09/02/2022;CE;FORTALEZA;2304400;Brasileiro independente;Sociedade Empresária Limitada;SIM
37478;23/08/2017;GATOPARDO FILMES E PRODUÇÕES ARTÍSTICAS LTDA - ME;28.087.974/0001-73;03/07/2017;PE;OLINDA;2609600;Brasileiro independente;Sociedade Empresária Limitada;SIM
60155;25/11/2024;GATTO DRONE LTDA.;57.090.394/0001-33;30/08/2024;SP;SANTA BARBARA DOESTE;3545803;Brasileiro independente;Sociedade Empresária Limitada;SIM
61988;14/05/2025;GATU FILMES LTDA;52.195.643/0001-31;15/09/2023;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
48037;29/03/2021;GAULES PRODUCAO AUDIOVISUAL E ESPORTIVA LTDA;37.339.302/0001-07;05/06/2020;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
41374;16/10/2018;GAULIA PRODUCOES ARTISTICAS E CINEMATOGRAFICAS LTDA;11.538.203/0001-52;02/02/2010;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Simples Limitada;SIM
54042;12/07/2023;GAUTIVERSE MEDIA PRODUÇÕES ARTÍSTICAS LTDA;39.149.798/0001-73;28/09/2020;RS;TORRES;4321501;Brasileiro independente;Sociedade Empresária Limitada;SIM
17480;29/07/2010;GAVA PRODUCOES LTDA;08.700.816/0001-30;02/03/2007;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Empresária Limitada;SIM
41692;27/11/2018;GAVIOTA FILMES LTDA;31.331.506/0001-07;24/08/2018;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Simples Limitada;SIM
17831;14/10/2010;GAVULINO PRODUCOES AUDIOVISUAIS E CULTURAIS LTDA;11.581.901/0001-30;18/02/2010;CE;FORTALEZA;2304400;Brasileiro independente;Sociedade Empresária Limitada;SIM
64267;06/02/2026;GAYA LOC ENTRETENIMENTO LTDA;58.489.653/0001-66;17/12/2024;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Empresária Limitada;SIM
824;28/11/2002;GAYA PRODUCOES CINEMATOGRAFICAS LTDA;55.084.750/0001-80;28/10/1985;DF;BRASILIA;5300108;Brasileiro independente;Sociedade Empresária Limitada;SIM
28217;19/11/2014;GAZ PRODUCOES EM CINE E VIDEO LTDA-ME;08.325.648/0001-40;25/09/2006;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
63291;24/09/2025;GAZELA FILMES LTDA;26.513.400/0001-94;09/11/2016;MA;SAO LUIS;2111300;Brasileiro independente;Sociedade Empresária Limitada;SIM
56723;05/12/2023;GB PRODUÇÕES ARTISTICAS LTDA;52.092.469/0001-00;06/09/2023;PR;PONTA GROSSA;4119905;Brasileiro independente;Sociedade Empresária Limitada;SIM
49156;30/07/2021;GB PUBLICIDADE EIRELI;28.244.554/0001-53;23/07/2017;AM;MANAUS;1302603;Brasileiro independente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SIM
44781;13/12/2019;GC PRODUÇAO ARTISTICA E DIGITAL LTDA;35.610.888/0001-69;25/11/2019;SP;ITUPEVA;3524006;Brasileiro independente;Sociedade Empresária Limitada;SIM
51298;25/05/2022;GC SPACIARI PRODUCOES ME;19.409.685/0001-52;13/12/2013;SP;NOVA ODESSA;3533403;Brasileiro independente;Empresário (Individual);SIM
4413;08/07/2005;GCB EMPREENDIMENTOS E PARTICIPAÇÕES LTDA;02.407.790/0001-50;06/01/1998;RJ;RIO DE JANEIRO;3304557;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Sociedade Empresária Limitada;NÃO
48497;26/05/2021;GDM ORGANIZACOES ASSOCIATIVAS SOCIO CULTURAIS E AMBIENTAIS;19.583.669/0001-81;24/01/2014;SP;SAO PAULO;3550308;Brasileiro independente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SIM
50647;04/03/2022;GEAN CARLOS ALMEIDA DOS SANTOS ***********;45.222.561/0001-73;09/02/2022;BA;SALVADOR;2927408;Brasileiro independente;Empresário (Individual);SIM
51029;19/04/2022;GEAN CARLOS SOUZA ***********;20.553.892/0001-65;03/07/2014;SC;JOINVILLE;4209102;Brasileiro independente;Empresário (Individual);SIM
52276;01/11/2022;GEE TECNOLOGIA DA INFORMAÇÃO & TELECOM LTDA;07.246.923/0001-77;25/02/2005;RS;MONTE BELO DO SUL;4312385;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Sociedade Empresária Limitada;NÃO
53700;16/06/2023;GEEK CONTEÚDO LTDA;28.754.054/0001-61;28/09/2017;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
50127;13/12/2021;GEFA COMERCIO E ENTRETENIMENTO LTDA;44.323.768/0001-71;22/11/2021;BA;SERRINHA;2930501;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Sociedade Empresária Limitada;NÃO
60912;04/02/2025;GEISON FERREIRA DA LUZ;22.607.447/0001-66;09/06/2015;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
50008;22/11/2021;GEISON LIMA PASSOS;27.517.874/0001-77;12/04/2017;DF;BRASILIA;5300108;Brasileiro independente;Empresário (Individual);SIM
41505;30/10/2018;GELMI ESTÚDIO DE ARTE LTDA;06.948.493/0001-72;13/07/2004;SP;SAO JOSE DOS CAMPOS;3549904;Brasileiro independente;Sociedade Empresária Limitada;SIM
53269;03/05/2023;GELO PRODUCOES LTDA;22.073.215/0001-75;01/03/2015;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
50845;29/03/2022;GEMEOS FILMES PRODUCOES CINEMATOGRAFICAS LTDA;41.068.641/0001-65;03/03/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Empresária Limitada;SIM
49681;30/09/2021;GENESES GESTAO EMPRESARIAL LTDA;08.636.751/0001-00;31/01/2007;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
22656;29/10/2012;GENESIS FILMES LTDA;14.475.642/0001-51;07/10/2011;DF;BRASILIA;5300108;Brasileiro independente;Sociedade Empresária Limitada;SIM
28789;26/01/2015;GENESIS PRODUÇÕES LTDA;08.988.587/0001-09;05/07/2007;AC;RIO BRANCO;1200401;Brasileiro independente;Sociedade Empresária Limitada;SIM
20670;23/01/2012;GENGIBRE MULTIMIDIA LTDA - ME;10.521.166/0001-07;02/12/2008;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
53161;11/04/2023;GENILSON ABREU DA SILVA ***********;35.676.038/0001-63;02/12/2019;PB;CAMPINA GRANDE;2504009;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
25056;30/08/2013;GENIUS AT WORK PRODUCOES CINEMATOGRAFICAS LTDA;17.819.406/0001-01;13/02/2013;MT;CUIABA;5103403;Brasileiro independente;Sociedade Empresária Limitada;SIM
60515;18/12/2024;GENIVAL DOS SANTOS SILVA TREINAMENTO;19.295.882/0001-98;18/11/2013;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
60266;02/12/2024;GENIVALDO NOGUEIRA PRODUCOES LTDA;58.018.526/0001-89;07/11/2024;PI;RIO GRANDE DO PIAUI;2209005;Brasileiro independente;Sociedade Empresária Limitada;SIM
49545;16/09/2021;GENOVA PRODUÇÕES ARTÍSTICAS LTDA.;10.858.508/0001-89;06/04/2009;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Simples Limitada;SIM
58642;08/07/2024;GENTE COMUNICAÇÃO LTDA;40.734.700/0001-24;05/02/2021;GO;RIO VERDE;5218805;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Sociedade Empresária Limitada;NÃO
50029;24/11/2021;GENTE URBANA PRODUÇÕES CINEMATOGRÁFICAS LTDA;43.728.695/0001-35;01/10/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Empresária Limitada;SIM
54662;04/09/2023;GENTIL REZENDE DA SILVA JUNIOR ***********;44.981.206/0001-15;24/01/2022;SC;FLORIANOPOLIS;4205407;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
53803;22/06/2023;GENUINO FILMS LTDA;22.405.585/0001-62;08/05/2015;SC;FORQUILHINHA;4205456;Brasileiro independente;Sociedade Empresária Limitada;SIM
34248;22/09/2016;GEO CONTEXTO EDITORACAO E COMERCIO LTDA - ME;05.150.892/0001-20;03/07/2002;SP;ITATIBA;3523404;Brasileiro independente;Sociedade Empresária Limitada;SIM
609;27/01/2003;GEOFILMES PRODUÇÕES AUDIOVISUAIS LTDA;02.597.352/0001-00;16/05/1998;SC;FLORIANOPOLIS;4205407;Brasileiro independente;Sociedade Empresária Limitada;SIM
28716;14/01/2015;GEORGE VARANESE NERI ­ ME;19.464.998/0001-03;03/01/2014;BA;VITORIA DA CONQUISTA;2933307;Brasileiro independente;Empresário (Individual);SIM
60440;12/12/2024;GEORGIA NOEL WOLINSKI LTDA;41.078.660/0001-72;03/03/2021;SP;SAO PAULO;3550308;Brasileiro;Sociedade Empresária Limitada;NÃO
14083;22/07/2008;GEORGOIS ARTES LTDA;10.176.123/0001-31;18/07/2008;MS;TRES LAGOAS;5008305;Brasileiro independente;Sociedade Empresária Limitada;SIM
59554;20/09/2024;GEOVANE FONSECA DE CASTRO ***********;40.460.027/0001-81;19/01/2021;RS;RIO GRANDE;4315602;Brasileiro independente;Empresário (Individual);SIM
43247;19/06/2019;GEOVANE OLIVEIRA COUGO;22.850.866/0001-24;15/07/2015;SP;VALINHOS;3556206;Brasileiro independente;Empresário (Individual);SIM
59079;22/08/2024;GEOVANI V P MARTINS;30.962.642/0001-32;18/07/2018;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
56820;08/12/2023;GEOVANNI RICARDO BARATIERI ***********;44.375.274/0001-30;25/11/2021;PR;SANTA HELENA;4123501;Brasileiro independente;Empresário (Individual);SIM
64242;05/02/2026;GERACAO REC PRODUCOES ARTISTICAS LTDA;52.194.518/0001-07;15/09/2023;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Empresária Limitada;SIM
38474;22/12/2017;GERAIS PRODUCOES LTDA;29.220.825/0001-01;06/12/2017;MG;BELO HORIZONTE;3106200;Brasileiro independente;Sociedade Empresária Limitada;SIM
60545;20/12/2024;GERAIS PRODUÇÕES ARTÍSTICAS LTDA;03.859.341/0001-05;06/06/2000;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Simples Limitada;SIM
4234;15/06/2005;GERAL FILMES LTDA;07.390.450/0001-87;12/05/2005;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
49293;17/08/2021;GERALDO FÁBIO DE ASSUNÇÃO;22.638.150/0001-68;12/06/2015;GO;TRINDADE;5221403;Brasileiro independente;Empresário (Individual);SIM
56367;13/11/2023;GERALDO MARCELO SOARES SANCHES LTDA;35.211.209/0001-89;16/10/2019;GO;GOIANIA;5208707;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Sociedade Empresária Limitada;NÃO
12239;13/04/2007;GERAÇÃO DIGITAL COMÉRCIO DE ARTIGOS CINEMATOGRÁFICOS LTDA -ME;07.522.655/0001-79;26/07/2005;RS;PORTO ALEGRE;4314902;Brasileiro independente;Sociedade Empresária Limitada;SIM
14939;04/02/2009;GERAÇÃO PRODUTORA LTDA;27.839.992/0001-00;17/01/1983;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Empresária Limitada;SIM
51138;06/05/2022;GERLANETE BATISTA DE LAVOR ***********;35.261.794/0001-21;22/10/2019;SP;SANTO ANDRE;3547809;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
55137;22/09/2023;GERMANO DE SOUZA GOMES;29.982.637/0001-02;20/03/2018;CE;FORTALEZA;2304400;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
19288;19/07/2011;GERMINAL PRODUCOES E EVENTOS CULTURAIS LTDA;06.893.414/0001-73;26/07/2004;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Simples Limitada;SIM
14256;22/08/2008;GERSON DE SOUZA ARRAIS NETO;08.941.821/0001-34;12/07/2007;GO;GOIANIA;5208707;Brasileiro independente;Empresário (Individual);SIM
55817;20/10/2023;GERSON ELI BOMBACH;10.406.002/0001-39;30/09/2008;SP;PIRACICABA;3538709;Brasileiro independente;Empresário (Individual);SIM
61844;06/05/2025;GERSON LOBO ANDRADE DE SOUZA JUNIOR ***********;42.664.647/0001-68;11/07/2021;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
48591;08/06/2021;GERSON LUIZ DE BRITO MELO ***********;41.437.704/0001-03;02/04/2021;PB;JOAO PESSOA;2507507;Brasileiro independente;Empresário (Individual);SIM
53687;15/06/2023;GESIEL DA SILVEIRA VARGAS;43.266.934/0001-82;25/08/2021;RS;GRAVATAI;4309209;Brasileiro independente;Empresário (Individual);SIM
29623;09/04/2015;GESTO DE CINEMA PRODUCOES AUDIOVISUAIS LTDA - ME;21.108.914/0001-40;10/07/2014;SC;FLORIANOPOLIS;4205407;Brasileiro independente;Sociedade Empresária Limitada;SIM
49647;28/09/2021;GETULIO MENTZ ALBRECHT FILHO;35.650.822/0001-00;28/11/2019;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
55575;16/10/2023;GETULIO SALVIANO LINS DE SA ***********;26.458.736/0001-00;31/10/2016;PB;SOUSA;2516201;Brasileiro independente;Empresário (Individual);SIM
49377;27/08/2021;GEZIANE CLEMENTINO DE SA ***********;23.022.399/0001-07;08/08/2015;RO;ROLIM DE MOURA;1100288;Brasileiro independente;Empresário (Individual);SIM
45886;17/06/2020;GF ANDRADE ENTRETENIMENTO E COMÉRCIO LTDA;23.200.362/0001-21;02/09/2015;BA;SANTO ANTONIO DE JESUS;2928703;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Sociedade Empresária Limitada;NÃO
