Programa de Apoio a Participação de Filmes Brasileiros em Festivais Internacionais - 2010 a 2019;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano do Apoio;Festival;País do Festival;Mês;Filme ;Mostra;Direção;Produtora Brasileira Majoritária *;UF;Metragem;CPB;"Confecção
cópia";"Envio
da cópia";"Apoio
Financeiro"
2010;Festival de Cinema e Cultura da América Latina de Biarritz;França;Setembro/Outubro;"""Diário de uma Busca""";Competição de Documentários;Flavia Castro;Flavia Castro/Tambellini Filmes;RJ;Longa;B1101413800000;X; ;X
2010;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Elvis e Madona""";Competição Longas-Metragens;Marcelo Laffitte;Focus Films/Laffilmes;RJ;Longa;B1001187800000; ; ;X
2010;Festival Internacional de Cinema de Munique;Alemanha;Junho/Julho;"""Avenida Brasília Formosa""";Visiones Latinas;Gabriel Mascaro;Gabriel Mascaro/Plano 9 Produções;PE;Longa;B1101371900000; ; ;X
2010;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro/Fevereiro;"""Avenida Brasília Formosa""";Bright Future;Gabriel Mascaro;Gabriel Mascaro/Plano 9 Produções;PE;Longa;B1101371900000;X;X;X
2010;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Bróder""";Panorama special;Jeferson De;Glaz Entretenimento;RJ;Longa;B1001298800000; ; ;X
2010;Festival Internacional de Cinema de Munique;Alemanha;Junho/Julho;"""O Homem que Engarrafava Nuvens""";Visiones Latinas;Lírio Ferreira;Good Ju-Ju;RJ;Longa;B0901113900000;X;X;X
2010;Festival Internacional de Cinema de Taormina;Itália;Junho;"""Do Começo ao Fim""";Brasile!;Aluizio Abranches;Hare Filmes/Pequena Central;RJ/SP;Longa;B0901103700000;X;X;
2010;Festival de Cannes;França;Maio;"""O Beijo da Mulher Aranha""";Cannes Classics;Hector Babenco;HB Filmes;SP;Longa;B0500446500000; ; ;X
2010;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""180°""";Competição Ópera Prima;Eduardo Vaisman;Limite Produções;RJ;Longa;B1001247700000;X;X;X
2010;Festival de Cannes;França;Maio;"""5 X Favela, Agora por Nós Mesmos""";Special Screenings;Cacá Diegues/Cacau Amaral/Cadu Barcelos/Luciana Bezerra/Luciano Vidigal/Manaíra Carneiro/Rodrigo Felha/Wagner Novais;Luz Mágica Produções;RJ;Longa;B1001180900000;X; ;X
2010;Festival de Cinema e Cultura da América Latina de Biarritz;França;Setembro/Outubro;"""5 X Favela, Agora por Nós Mesmos""";Competição Principal;Cacá Diegues/Cacau Amaral/Cadu Barcelos/Luciana Bezerra/Luciano Vidigal/Manaíra Carneiro/Rodrigo Felha/Wagner Novais;Luz Mágica Produções;RJ;Longa;B1001180900000; ; ;X
