ano,territorio_tipo,territorio_nome,uf,regiao,origem_filme,publico,renda_brl_nominal,lugares_oferecidos,fonte_documento,confiabilidade,indicador,valor,unidade_original,mes,mes_nome
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,118200.1,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,118200.1,CRUZADO,5.0,MAIO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,205030.63,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,205030.63,CRUZADO,5.0,MAIO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,150448.33,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,150448.33,CRUZADO,6.0,JUNHO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,87762.38,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,87762.38,CRUZADO,6.0,JUNHO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,110430.33,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,110430.33,CRUZADO,6.0,JUNHO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,154536.92,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,154536.92,CRUZADO,6.0,JUNHO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,179888.23,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,179888.23,CRUZADO,7.0,JULHO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,128913.58,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,128913.58,CRUZADO,7.0,JULHO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,137433.43,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,137433.43,CRUZADO,7.0,JULHO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,256068.71,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,256068.71,CRUZADO,7.0,JULHO
