TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
A BARCA É NOSSA!;B2300536000000;04/12/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;30,1;;2023;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;EDUARDO GUIMARAES DA SILVA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
A BATALHA DA ÁGUA EM OURO PRETO;B2300387800000;12/09/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;22,2;;2023;;OUTROS MERCADOS;NÃO;BURN PRODUCAO AUDIOVISUAL E COMUNICACAO INTEGRADA LTDA;34.746.431/0001-13;SP;RIBEIRAO PRETO
A BELA AMÉRICA;B2300454300000;17/10/2023;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;102,4;;2023;;SALAS DE EXIBIÇÃO;SIM;REFINARIA PRODUÇÕES LTDA.;05.436.489/0001-62;RJ;RIO DE JANEIRO
A BÍBLIA FOI ESCRITA PARA VOCÊ;B2300254300000;23/06/2023;DEFERIDO;RELIGIOSA;;COMUM;SERIADA EM TEMPORADA ÚNICA;21600;30;2023;2023;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;FUNDAÇÃO JOÃO PAULO II;50.016.039/0001-75;SP;CACHOEIRA PAULISTA
A CABAÇA DA CRIAÇAO;B2300553200000;08/12/2023;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;8,6;;2023;;SALAS DE EXIBIÇÃO;NÃO;ANTONIO GIL MORAES CARDOSO LEAL ***********;43.802.142/0001-85;RN;NATAL
"A CARA DO CRIME ""NÓS INCOMODA""";B2300576800000;26/12/2023;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,3;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MAINSTREET 1999 RECORDS GRAVADORA E EDITORA LTDA;37.582.381/0001-74;RJ;RIO DE JANEIRO
"A CARA DO CRIME 2 ""CANSOU DE PLAYBOY""";B2300576900000;26/12/2023;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,5;;2022;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MAINSTREET 1999 RECORDS GRAVADORA E EDITORA LTDA;37.582.381/0001-74;RJ;RIO DE JANEIRO
"A CARA DO CRIME 3 ""BRINDE À LIBERDADE""";B2300577000000;26/12/2023;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5;;2022;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MAINSTREET 1999 RECORDS GRAVADORA E EDITORA LTDA;37.582.381/0001-74;RJ;RIO DE JANEIRO
A CASA DA ÁRVORE;B2300235900000;15/06/2023;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;80,7;;2023;;SALAS DE EXIBIÇÃO;NÃO;WHITE SWEET TACO PRODUCOES ARTISTICAS LTDA;14.335.966/0001-94;SP;SAO PAULO
A CHAVE TERCEIRA TEMPORADA;B2300399100000;19/09/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;130;5;2023;2023;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LIMA COMUNICAÇÃO LTDA;05.791.137/0001-25;BA;SALVADOR
