TITULO_OBRA;TIPO_OBRA;PERIODO_PRODUCAO;EMPRESA_BRASILEIRA;UF;EMPRESA_ESTRANGEIRA;PAIS;NR_TECNICOS_ARTISTAS_ESTRANGEIROS;LOCAL_FILMAGEM_UF
MASAHARU FUKUYAMA RIO DE JANEIRO 2016;Ficção;18/06/2014 a 29/06/2014;WaSabi JB Comunicação Ltda;RJ;Tv Asahi Corporation;Japão;;
BRAZIL'S Nº1 FAN;Publicitária;26/05/2014 a 08/06/2014;JKR Produções Artísticas Ltda;RJ;Minnow;Reino Unido;;
COCA-COLA COPA;Publicitária;26/05/2014 a 26/07/2014;Ocean Produção de Filmes Ltda;SC;The Lover;Espanha;;
RADIO SHACK;Institucional;27/05/2014 a 31/05/2014;Utopia Films Produção Artística Ltda;RJ;Bully Pictures;EUA;;
DAN MARU;Documentário;09/06/2014 a 15/06/2014;Urutau Filmes Ltda;SP;Fuji Television Network, INC;Japão;;
RTL VI ORANJE;Documentário;06/06/2014 a 15/07/2014;Sol Entertainment Ltda;RJ;Infostrada Productions B.V.;Holanda;;
MI COPA, TU COPA;Documentário;05/06/2014 a 20/07/2014;Ítaca Filmes do Brasil Ltda, ME;RJ;-;-;;
BRAZIL VERSUS...;Publicitária;08/06/2014 a 15/06/2014;Brian M. Sewell Produções Cinematográficas;RJ;Grain Media;Reino Unido;;
PERROS DE GIRA;Reality Show;02/06/2014 a 06/07/2014;Brian M. Sewell Produções Cinematográficas;RJ;Grain Media;Argentina;;
EDUCATING JOEY ESSEX 2;Documentário;08/06/2014 a 15/06/2014;Neon Rio Ltda;RJ;Lime Pictures Limited;Reino Unido;;
WORLD CUP;Documentário;12/06/2014 a 16/07/2014;Sol Entertainment Ltda;RJ;Lucky7even Entertainment GmbH;Alemanha;;
ROAD TO THE OCTAGON - UFC ON FOX 12;Documentário;04/06/2014 a 09/06/2014;Brian M. Sewell Produções Cinematográficas;RJ;PositiveImage Video, Inc.;EUA;;
OUT OF OFFICE;Documentário;08/06/2014 a 19/06/2014;Tenda dos Milagres;BA;Portal A/ Finley Thomas Wise;EUA;;
,,VIETENTOURS GOES TO BRASIL'';Documentário;14/06/2014 a 14/07/2014;Aura Filme Produções Ltda;RJ;Pape I Schürmann Kommunikation & Media;Alemanha;;
LEOS TRAVEL;Documentário;10/06/2014 a 18/06/2014;Ricardo Gonçalves Produções Cinematográficas;SP;CDI Virtual Films Inc.;EUA;;
FIFA WORLD CUP BBC ROAD TRIP 2014;Documentário;05/06/2014 a 16/07/2014;FSR Produções Artísticas Ltda;RJ;BBC Sports;Reino Unido;;
ESPECIAL COPA DO MUNDO;Documentário;21/06/2014 a 26/06/2014;Viralata Produções;RJ;Tokyo Broadcasting System Television, Inc.;Japão;;
SKY RAINFOREST RESCUE;Institucional;06/06/2014 a 13/06/2014;Neon Rio Ltda;RJ;British Sky Broadcasting Limited;Reino Unido;;
COPA90 - COPA DO MUNDO;Documentário;08/06/2014 a 20/07/2014;Spray Filmes S.S. Ltda.;SP;Big Balls Ltd.;Reino Unido;;
FIM DE SEMANA, APOCALIPSE E SINAL;Publicitária;05/06/2014 a 11/06/2014;Zulu Filmes Ltda.;SP;-;-;;
COOL KIDS ON THE BLOCK 2;Documentário;19/06/2014 a 29/06/2014;HK Brasil Produtora Midia & Eventos Ltda;SP;Korean Broadcasting System;Coréia do Sul;;
SONY SAMBA;Institucional;09/06/2014 a 19/06/2014;Mango Films Brasil Ltda;SP;HeyHuman Ltda;Reino Unido;;
O SENTIDO DA VIDA;Documentário;24/06/2014 a 24/06/2016;O2 Cinema Ltda;SP;Jumpcut LDA & Filmanova S.L.;Portugal;;
A TIMELESS GLORY ;Documentário;13/06/2014 a 25/06/2014;Southside Produções Ltda.;SP;Image Nation Abu Dhabi FZ-LLC N;Arábia Saudita;;
DESAFIO SEM LIMITE;Documentário;16/06/2014 a 23/06/2014;HK Brasil Produtora Midia & Eventos Ltda;SP;Munhwa Broadcasting System;Coréia do Sul;;
WORLD REPORT;Documentário;16/06/2014 a 16/06/2014;Leonardo Henrique Pereira Branco;SP;Corporation of the Presiding Bishop of the Church of Jesus Christ of Latter-Day Saints;EUA;;
CRISTIANO RONALDO;Publicitária;14/06/2014 a 14/07/2014;JKR Produções Artísticas Ltda;RJ;Ronnie Films Ltd.;Reino Unido;;
G.E.;Documentário;28/06/2014 a 02/07/2014;Ricardo Gonçalves Produções Cinematográficas;SP;Vagabond Films;EUA;;
MATCH 64;Documentário;18/06/2014 a 16/07/2014;Nation & Nação Produções Artísticas Ltda. ME;SP;Passion Films;Reino Unido;;
AMAZONAS EXTREMO;Documentário;19/06/2014 a 19/07/2014;Francisco Ferreira Pinto Filho (Amazon Film Productions);AM;7 y Acción S.L.;Espanha;;
FASCINATION EARTH-BRAZIL;Documentário;16/07/2014 a 30/07/2014;Guapuruvu Filmes Ltda;RJ;Zweites Deutsches Fernsehen;Alemanha;;
PESQUISA;Publicitária;02/07/2014 a 20/07/2014;Paranoid Brasil Ltda;SP;-;-;;
MAN FINDS FOOD;Institucional;04/07/2014 a 10/07/2014;Ricardo Gonçalves Produções Cinematográficas;SP;CDI Virtual Films Inc.;EUA;;
NAME SWAP;Documentário;15/07/2014 a 19/07/2014;Sol Entertainment Ltda;RJ;M3 Creative;EUA;;
BEST PLACES ON EARTH TO BE A CHILD;Documentário;06/07/2014 a 14/07/2014;Sol Entertainment Ltda;RJ;ZDF Digital Medienproduktion GmbH;Alemanha;;
BEAUTIFULL BRAZIL;Documentário;31/07/2014 a 08/08/2014;Sol Entertainment Ltda;RJ;Factionfilm e K.;Alemanha;;
VIRADA PRIMAVERA;Publicitária;06/07/2014 a 16/07/2014;Stoli Filmes Ltda;SP;-;-;;
EARTH’S NATURAL WONDERS;Documentário;18/07/2014 a 30/07/2014;Francisco Ferreira Pinto Filho (Amazon Film Productions);AM;BBC;Reino Unido;;
O JOGO DOS JOGOS, MATCH OF THE MATCHES;Institucional;09/07/2014 a 16/07/2014;Karaí filmes e produções cinematográficas Ltda;RJ;Triad Berlin Projektgesellschaft mbH;Alemanha;;
MY FIRST AMAZON ADVENTURE;Documentário;08/08/2014 a 27/08/2014;Story Produções Ltda. ME;SP;Mediadante;Catar;;
QUEST_THE MOVIE - PARTE III;Documentário;08/08/2014 a 27/08/2014;Neon Rio Ltda;RJ;Quest Unlimited Ltd;Reino Unido;;
THE ULTIMATE LUXURY - ENZO;Documentário;26/07/2014 a 30/07/2014;CTX Comunicação Audiovisual Ltda;SP;Hill & Knowlton (China) Public Relations Co., Ltda.;China;;
THE 7 WONDERS OF THE WORLD;Publicitária;22/06/2014 a 28/07/2014;JKR Produções Artísticas Ltda;RJ;A Team Media;Coréia do Sul;;
LIFE IN A DAY;Documentário;21/07/2014 a 31/07/2014;Losbragas Produções Ltda.;RJ;Public Record;EUA;;
KOHI SODATSUSEN – A concorrência no mercado cafeeiro brasileiro;Documentário;26/07/2014 a 06/08/2014;Xes Projetos Visuais Ltda;SP;Media Mettle, Inc.;Japão;;
JEEP;Publicitária;18/07/2014 a 04/08/2014;Domo Produções Ltda;SP;Caviar Content;EUA;;
DER GROSSE WARENCHECK;Documentário;27/07/2014 a 30/07/2014;Aura Filme Produções Ltda;RJ;Maximus Film GmbH;Alemanha;;
GROW MANAGE AND PRESERVE;Institucional;21/07/2014 a 24/07/2014;Terra Vermelha Filmes Ltda;RJ;The Edge Picture Company Ltd;Reino Unido;;
ALMA DE ATLETA;Documentário;06/08/2014 a 29/08/2014;Town Network Filmagens Ltda;SP;NHK - Nippon Hoso Kyokai;Japão;;
SHELL;Documentário;25/07/2014 a 05/08/2014;Ricardo Gonçalves Produções Cinematográficas;SP;Vagabond Films;EUA;;
SHELL V POWER NITRO;Publicitária;19/07/2014 a 05/08/2014;Paranoid Brasil Ltda;SP;-;-;;
FOOD PARADISE INTERNATIONAL;Documentário;12/09/2014 a 17/09/2014;Story Produções Ltda. ME;SP;Loud Television;EUA;;
FARMING BRAZIL;Institucional;27/07/2014 a 30/07/2014;Utopia Films Produção Artística Ltda;RJ;People, Ideas & Culture;Reino Unido;;
VISA;Sequência de Títulos;23/08/2014 a 30/08/2014;Francisco Ferreira Pinto Filho (Amazon Film Productions);AM;CDI Virtual Films Inc.;EUA;;
DA DA DA;Publicitária;30/07/2014 a 15/08/2014;Paranoid Brasil Ltda;SP;-;-;;
EXPLORANDO O TESOURO DO PANTANAL;Documentário;30/07/2014 a 15/08/2014;HK Brasil Produtora Midia & Eventos Ltda;SP;Korean Broadcasting System;Coréia do Sul;;
O AMOR ESTA NO AR;Documentário;16/08/2014 a 28/08/2014;Mangaba Produções Ltda;BA;Endemol Nederland BV;Holanda;;
HEYLEN EM DE HERKOMST 2;Documentário;09/08/2014 a 15/08/2014;Provocador Produções Artísticas ME;RJ;Woestijnvis NV;Bélgica;;
SKOL UNDERWATER;Publicitária;14/08/2014 a 25/08/2014;Produtora de Cinema e Filmes Associados Ltda;SP;-;-;;
VERMIST;Documentário;01/09/2014 a 05/09/2014;Mares Produções Ltda;RJ;Tros Broadcasting Company;Holanda;;
DR WHO WORLD PRESS TOUR;Publicitária;04/08/2014 a 05/09/2014;Ocean Produção de Filmes Ltda;SC;Just So;Reino Unido;;
ENERGIA HUMANA - UMA JORNADA DE 9000 KM;Documentário;15/09/2013 a 17/03/2015;Aventuras, Produções e Edições Educativas Ltda;SP;Skeeto Lounge Productions Limited;Reino Unido;;
THE PEOPLE'S HEALTH;Documentário;12/08/2014 a 30/08/2014;Viva Filmes Ltda;RJ;EOS Films Ltd.;Reino Unido;;
AGMUSA;Institucional;10/08/2014 a 23/08/2014;Utopia Films Produção Artística Ltda;RJ;RABBICORN MEDIA GMBH;Alemanha;;
PROJEKT JAGUARSAFARI UND BUNTE FEDERN, SCHLAUES KÖPFCHEN - HYAZINTH ARAS UND CO;Documentário;15/09/2014 a 15/10/2014;Aura Filme Produções Ltda;RJ;Bayerischer Rundfunk;Alemanha;;
ANGLO AMERICAN CAREERS;Institucional;05/09/2014 a 10/09/2014;Utopia Films Produção Artística Ltda;RJ;Merchant Cantos;Reino Unido;;
COLOMBIA - A MOSAIC OF LIFE - JAGUAR SHOOT;Documentário;17/08/2014 a 30/08/2014;Neon Rio Ltda;RJ;Off The Fence Productions;Colômbia;;
"""ONE PLANET (JUNGLES EPISODE)""";Documentário;18/08/2014 a 14/10/2014;Neon Rio Ltda;RJ;British Broadcasting Corporation;Reino Unido;;
KLM TAKING OVER THE WORLD;Institucional;18/08/2014 a 22/08/2014;Sol Entertainment Ltda;RJ;MediaMonks BV.;Holanda;;
ABSOLUT;Publicitária;15/07/2014 a 15/10/2014;Ocean Produção de Filmes Ltda;SC;Prettybird;EUA;;
SKY CIRCUS;Publicitária;15/08/2014 a 15/09/2014;O2 Produções Artísticas e Cinematográficas Ltda.;SP;-;-;;
BELMONDO PAR BELMONDO;Documentário;03/09/2014 a 06/09/2014;W. PRODUCCIONES EVENTOS E ENTRETENIMENTO EIRELI EPP;RJ;Victoria Films;França;;
LIBERTY MUTUAL: TRAFFIC SAFETY;Publicitária;06/09/2014 a 12/09/2014;Parabola Produções Ltda.;SP;HeLo;EUA;;
VSB-Integratet minimill for Tubes;Publicitária;15/09/2014 a 21/09/2014;Aura Filme Produções Ltda;RJ;Bachhausen Visual Production GmbH & Co. KG;Alemanha;;
Reizen Waes (Travel Waes);Documentário;07/09/2014 a 21/09/2014;Connection Filmes e Produções Artísticas LTDA;RJ;De Mensen Ltda;Bélgica;;
Wardrobe;Publicitária;18/08/2014 a18/09/2014;O2 Produções Artísticas e Cinematográficas Ltda.;SP;-;-;;
"""Tata Werneck""""Bruna Marquezine""";Publicitária;20/08/2014 a 15/09/2014;Paranoid Brasil Ltda;SP;-;-;;
Extreme Fisherman;Documentário;23/09/2014 a 05/10/2014;Felipe Teixeira Bueo Caixeta;RJ;IWC MEDIA;Reino Unido;;
"""Especial Disney Live""";Documentário;05/09/2014 a 15/09/2014;Xes Projetos Visuais Ltda;SP;NTV - Nippon Television Network CO;Japão;;
The Bug;Documentário;26/09/2014 a 31/08/2014;Viva Filmes Ltda;RJ;NBCUniversal International, CNBC;Reino Unido;;
"""From Here to There""";Documentário;05/12/2014 a 12/12/2014;Sol Entertainment Ltda;RJ;From Here to There, LLC;EUA;;
Grand Canyon / Icon;Publicitária;04/09/2014 a 20/09/2014;Conspiração Filmes S/A;RJ;-;-;;
Shin Nihon Fudoki;Documentário;20/10/2014 a 30/11/2014;Sango Productions Ltda;SP;Tokyo Video Center Inc.;Japão;;
JAPONESES QUE VIVEM EM TERRAS DISTANTES;Documentário;09/09/2014 a 17/09/2014;Urutau Filmes Ltda;SP;Wave Inc.;Japão;;
"""Brazil Coach""";Documentário;25/09/2014 a 06/10/2014;Neon Rio Ltda;RJ;Nine Network Australia;Austrália;;
Kiseki Taiken! Unbelievable SP;Documentário;07/09/2014 a 15/09/2014;WaSabi JB Comunicação Ltda;RJ;East Entertainment Inc;Japão;;
Chikyu ichban - a comunidade de lençóis maranhenses;Documentário;08/09/2014 a 04/10/2014;BDT Planejamento e Comunicação Ltda;SP;Ortus Japan Inc;Japão;;
"""Grand Canyon Brasil"" ""Maid Marion Brasil""";Publicitária;04/09/2014 a 15/09/2014;Paranoid Brasil Ltda;SP;-;-;;
The Greatest Shows on Earth - Brazil;Documentário;21/09/2014 a 15/10/2014;Davies & Luzzi Ltda/ME;SP;Clock Tower Productions Inc;EUA;;
Descobrindo restaurante japonês no mundo 15;Documentário;10/09/2014 a 30/09/2014;Master Cine Vídeo Ltda;SP;Zippy production/Takashi Masumoto;Japão;;
The Fabric Change: na unlikely collaboration between Monsanto & woman's seamstress co-op in Brazil;Institucional;09/09/2014 a 16/09/2014;Garoa Produtora de Cinema TV e Vídeo Ltda;BA;Rockhouse Motion;EUA;;
Quem Criou;Publicitária;08/09/2014 a 30/09/2014;Produtora de Cinema e Filmes Associados Ltda;SP;-;-;;
"""Atlantic""";Documentário;03/10/2014 a 28/10/2014;Neon Rio Ltda;RJ;BBC Natural Ltda;Reino Unido;;
Familjen Äventyr (Famílias Aventura);Reality Show;09/09/2014 a 29/09/2014;JPB Embaúba Produções Ltda ME;RJ;ART89;Suécia;;
Hitachi: Apresentação da utilização do compressor;Institucional;19/09/2014 a 30/09/2014;Town Network Filmagens Ltda;SP;K Provision.;Japão;;
Descobrindo restaurantes japonês no mundo 15;Documentário;13/09/2014 a 10/10/2014;Master Cine Vídeo Ltda;SP;Zippy production/Takashi Masumoto;Japão;;
Red Rull Interview;Entrevista;22/09/2014 a 01/10/2014;Nation & Nação Produções Artísticas Ltda. ME;SP;Ocean Watch;EUA;;
JAPONESES QUE VIVEM EM TERRAS DISTANTES- Chuí- Rio Grande do Sul;Documentário;19/09/2014 a 06/10/2014;Urutau Filmes Ltda;SP;Wave Inc.;Japão;;
"""VERMISST""";Documentário;23/09/2014 a 27/09/2014;Aura Filme Produções Ltda;RJ;Endemol Deutschland GmbH;Alemanha;;
Todas as manãs do mundo;Documentário;02/10/2014 a 30/10/2014;Canal Azul Consultoria Audiovisual Ltda;SP;-;-;;
Migrations em Danger - Migração em Perigo - episódio no Brasil: Mico-Leão ;Documentário;23/09/2014 a 14/10/2014;Marca D'água Produções Ltda;SP;FL Concepts;França;;
“Earth Natural Wonders”;Documentário;03/10/2014 a 20/10/2014;Neon Rio Ltda;RJ;BBC Science Unit;Reino Unido;;
"""World Report""";Documentário;09/10/2014 a 16/11/2014;Gato Preto Filmes;SP;Corporation of the presiding Bishop of the church of Jesus Christ of latter-day saints;EUA;;
“Every Single Day” ”Eat Loud” ”Laugh Lod” ”New Born” ”Hug Loud”;Publicitária;06/10/2014 a 23/10/2014;Delicatessen Produção de Filmes Ltda;SP;Stink Limited;Reino Unido;;
“Alma de atleta”;Documentário;11/10/2014 a 22/10/2014;Xes Projetos Visuais Ltda;SP;SPONICHI CO. LTD;Japão;;
“Retorno” “Sobrinha e Cunhado” “Esposa e sogra” “Clipe/Apoteose”;Documentário;03/10/2013 a 25/02/2015;Hungry man Brasil Produções Ltda;SP;-;-;;
Fish TV;Documentário;13/11/2014 a 22/11/2014;Amazon Film Productions;AM;Fish on Productions Inc;Canadá;;
In America - 2ª temporada;Ficção;09/10/2014 a 30/10/2014;FR Target Filmes Ltda;RJ;Makingprod, SAS;França;;
EXODUS;Documentário;14/10/2014 a 02/11/2014;O2 Cinema Ltda;SP;Hank Levine Films.;Alemanha;;
""" Manifesto"" e ""Recruitment""";Publicitária;03/10/2014 a 12/10/2014;JKR Produções Artísticas Ltda;RJ;HOGARTH;Reino Unido;;
Pequeno Segredo;Ficção;15/10/2014 a 15/12/2014;Schurmann Produções Cinematográficas LTDA;SP;-;-;;
Meu amigo hindu;Ficção;20/10/2014 a 31/01/2015;HB Filmes LTDA - EPP;SP;-;-;;
BP at its Best;Institucional;13/10/2014 a 20/10/2014;Story Produções Ltda. ME;SP;BP-TV BP International Ltd;Reino Unido;;
UFC Embedded 179;Documentário;18/10/2014 a 30/10/2014;Sol Entertainment Ltda;RJ;Figura Media, LLC;EUA;;
Monstro;Publicitária;25/10/2014 a 25/11/2014;O2 Filmes Publicitários Ltda;SP;-;-;;
Red! Hubert kah;Documentário;23/10/2014 a 26/10/2014;Aura Filme Produções Ltda;RJ;Spin TV;Alemanha;;
Kaiketsui Nai Nai Ansa;Documentário;30/10/2014 a 15/11/2014;Town Network Filmagens Ltda;SP;Zion Creative Visual Work Ltda;Japão;;
Great Amazon - The Water World;Documentário;08/11/2014 a 30/11/2014;Sango Productions Ltda;SP;TBS Vision Inc.;Japão;;
Unnstopable;Documentário;22/10/2014 a 05/11/2014;Cani.Tv Produções;RJ;Finch Company;Austrália;;
Beyond the Horizon;Publicitária;10/11/2014 a 14/11/2014;Maruti Blue Produções e Eventos;RJ;Évimages;França;;
Castelo de Areia;Institucional;27/10/2014 a 12/11/2014;Hungry man Brasil Produções Ltda;SP;-;-;;
Seats for Switzerland;Documentário;22/10/2014 a 28/10/2014;Neon Rio Ltda;RJ;Milchstrasse Filmproduktion GmbH;Alemanha;;
Earth Child Institute;Institucional;25/11/2014 a 01/12/2014;Utopia Films Produção Artística Ltda;RJ;Pretzel Films;Reino Unido;;
La Foret Engloutie;Documentário;23/10/2014 a 07/11/2014;Aura Filme Produções Ltda;RJ;FL Concepts;França;;
Schau in meine Welt;Documentário;02/12/2014 a 09/12/2014;Sol Entertainment Ltda;RJ;Gigaherz GmbH;Alemanha;;
The Perfect Leaf;Documentário;28/10/2014 a 12/11/2014;Connection Filmes e Produções Artísticas LTDA;RJ;Saga Film;Romênia;;
Amazon Special;Documentário;01/11/2014 a 26/11/2014;Alfixit Produções Culturais e Artísticas Ltda;SP;Octagon Co. Ltda;Japão;;
Healthier Forests, Healthier Farms;Institucional;28/10/2014 a 03/11/2014;Garoa Produtora de Cinema TV e Vídeo Ltda;BA;Rockhouse Motion LLC;EUA;;
A Origem do Boto Cor-de-rosa;Documentário;01/11/2014 a 17/11/2014;DUO2.TV LTDA;SP;Yade French Connections;EUA;;
Pioneers in Every Land-Sealed Together;Documentário;03/11/2014 a 13/11/2014;Gato Preto Filmes;SP;Corporation of the presiding Bishop of the church of Jesus Christ of latter-day saints;EUA;;
Food Unwrapped 4 ;Documentário;08/11/2014 a 14/11/2014;Garapa Produções e Serviços Ltda;SP;Ricochet Limited;Inglaterra;;
Lucky Ladies;Reality Show;27/10/2014 a 20/12/2014;Sol Entertainment Ltda;RJ;Endemol Argentina S.A;Argentina;;
Qatar Handball Anthem Music Video;Documentário;07/11/2014 a 13/11/2014;Modo Operante Produções Culturais Ltda;RJ;Pulse Films Ltda;Reino Unido;;
Mission Surprise;Documentário;02/11/2014 a 09/11/2014;Aura Filme Produções Ltda;RJ;Schweizer Radio und Ltda;Suíça;;
Finding Bigfoot;Documentário;16/11/2014 a 30/12/2014;Francisco Ferreira Pinto Filho (Amazon Film Productions);AM;Snake Oil Production;EUA;;
Dil say Dil Tak;Ficção;10/01/2015 a 30/01/2015;Southside Produções Ltda.;SP;Diamond World Productions;Paquistão;;
Besuch von Christian Blankenhorn;Documentário;06/11/2014 a 16/11/2014;Aura Filme Produções Ltda;RJ;InfoNetwork;Alemanha;;
Lua em Sagitário;Ficção;22/11/2014 a 20/12/2014;Tambke Filmes Ltda (Plural Filmes);RJ;Saula Benavente;Argentina;;
""" Magic Oil"" ""Fresh E Dry"" ""Deo"" and ""Dark Passion""";Publicitária;20/11/2014 a 04/12/2014;JKR Produções Artísticas Ltda;RJ;E+P Films GmbH;Alemanha;;
Williams;Documentário;08/11/2014 a 15/11/2014;JKR Produções Artísticas Ltda;RJ;Minnow;Reino Unido;;
Babysitting 2;Ficção;10/10/2014 a 30/03/2015;A. F. Cinema de Vídeo Ltda;SP;Axel Films;França;;
“One Planet (Jungles episode) Part 2”;Documentário;24/11/2014 a16/12/2014;Neon Rio Ltda;RJ;British Broadcasting Corporation;Reino Unido;;
How Did I Get Here Anyway;Documentário;10/12/2014 a 17/12/2014;Gato Preto Filmes;SP;Corporation of the presiding Bishop of the church of Jesus Christ of latter-day saints;EUA;;
Campanha Leroy Merlin 2015;Publicitária;26/11/2014 a 02/12/2014;Conspiração Filmes S/A;RJ;-;-;;
Port Sudeste 2014;Documentário;16/11/2014 a 20/11/2014;Story Produções Ltda. ME;SP;World Television Ltd;Reino Unido;;
If cats disappered from the world;Ficção;21/11/2014 a 22/11/2014;MOVI & ART PRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;Dragonfly Entertainment Inc;Japão;;
Os mistérios da Amazônia;Documentário;15/11/2014 a 10/12/2014;Urutau Filmes Ltda;SP;NHK - Nippon Hoso Kyokai;Japão;;
Santo Antônio e Porto Velho;Institucional;16/11/2014 a 23/11/2014;Mango Films Brasil Ltda;SP;Glenn Blackburn;Reino Unido;;
Child in the Wild;Documentário;02/12/2014 a 16/12/2014;Aura Filme Produções Ltda;RJ;FL Concepts;França;;
Atlantic part 2;Documentário;10/01/2015 a 23/01/2015;Neon Rio Ltda;RJ;BBC Natural History Unit;Reino Unido;;
Adoção;Publicitária;02/12/2014 a 22/12/2014;Paranoid Brasil Ltda;SP;-;-;;
T.Rowe Price;Publicitária;23/01/2014 a 31/01/2014;Domo Produções Ltda;SP;Chelsea Pictures Ltda;EUA;;
Internet.ORG;Documentário;25/11/2014 a 08/12/2014;Ricardo Gonçalves Produções Cinematográficas;SP;Vagabond Films;EUA;;
Holiday stars, germans around the world;Documentário;23/11/2014 a 29/11/2014;Aura Filme Produções Ltda;RJ;Endemol Deutschland GmbH;Alemanha;;
2014 Korean Song Festival in Brazil;Documentário;27/11/2014 a 02/12/2014;Aura Filme Produções Ltda;RJ;Global Korean Network;Coréia do Sul;;
Skype;Publicitária;10/12/2014 a 31/12/2014;Ocean Produção de Filmes Ltda;SC;Station Film;EUA;;
O Boto - o golfinho de água doce;Documentário;29/11/2014 a 11/12/2014;Aura Filme Produções Ltda;RJ;Bayerischer Rundfunk;Alemanha;;
Tegenlicht;Documentário;25/11/2014 a 30/11/2014;Aura Filme Produções Ltda;RJ;VPRO;Holanda;;
Fishing Adventurer;Documentário;24/01/2015 a 02/02/2015;Amazon Film Productions;AM;Fishing Adventurer Productions 5 Inc;Canadá;;
Chibata;Drama;15/12/2014 a 20/12/2014;Fibra Eletrônica Ind.com.ltda - Fibra Cine Video;RJ;-;-;;
Coca-Cola mini garrafinhas;Publicitária;28/11/2014 a 14/12/2014;Ocean Produção de Filmes Ltda;SC;The Lover;Espanha;;
A week with Alain the Botton;Documentário;06/11/2014 a 15/12/2014;PERIN FILMES LTDA;AM;VPRO;Holanda;;
Great Nature: Mistério do Rio Negro;Documentário;08 de dezembro a 28 de fevereiro de 2015;Town Network Filmagens Ltda;SP;AZMAX CO. LTD;Japão;;
Sekai no hikyo ni totsuida nihonjin tsuma;Documentário;12/12/2014 a 22/12/2014;Xes Projetos Visuais Ltda;SP;Grinta INC.;Japão;;
”Journey to the Snake Island” ;Documentário;07/12/2014 a 15/12/2014;Neon Rio Ltda;RJ;Tent City Productions, LLC;EUA;;
CHIKYU ICHIBAN - OS PANTANEIROS ;Documentário;15/12/2014 a 13/01/2015;BDT PLANEJAMENTO E COMUNICAÇÃO LTDA;SP;NHK - NIPPON HOSO KYOKAI;Japão;;
Police 24hs;Documentário;10/12/2014 a 25/12/2014;Alfixit Produções Culturais e Artísticas Ltda;SP;Taiga Productions Co., Ltd;Japão;;
Airbnb;Publicitária;05/01 a 05/02/2015;Zohar Cinema e Comunicação Ltda;RJ;Reset;EUA;;
Un Train Pas comme des autres ;Documentário;03/01/2015 a 21/01/2015;Neon Rio Ltda;RJ;STEP BY STEP Productions;França;;
Fishing Adventurer;Documentário;24/01/2015 a 02/02/2015;Amazon Film Productions;AM;Fishing Adventurer Productions 5 Inc;Canadá;;
Dear Summer;Publicitária;15/01 a 30/01/2015;Ocean Produção de Filmes Ltda;SC;Partizan;EUA;;
Great Nature: Mistério do Rio Negro;Documentário;10/01/2015 a 28/02/2015;Town Network Filmagens Ltda;SP;AZMAX CO. LTD;Japão;;
Mulheres Empreendedoras - Coca-Cola;Institucional;04/01/2015 a 17/01/2015;Mango Films Brasil Ltda;SP;Marmalade Films and Media;Reino Unido;;
Verrückt nach Meer 5;Documentário;19/01/2015 a 25/01/2015;Sol Entertainment Ltda;RJ;Bewegte Zeiten;Alemanha;;
Airbnb;Publicitária;05/01 a 05/02/2015;Zohar Cinema e Comunicação Ltda;RJ;Reset;EUA;;
Journey to the Snake Island Part 2;Documentário;12/01/2015 a 12/04/2015;Neon Rio Ltda;RJ;Tent City Productions, LLC;EUA;;
Journey to the Snake Island Part 2;Documentário;12/01/2015 a 12/04/2015;Neon Rio Ltda;RJ;Tent City Productions, LLC;EUA;;
Dill say, Dill tak;Ficção;10/01/2015 a 10/07/2015;Red Line Filmes;RJ;Diamond World Productions;Paquistão;;
Renault Fluence ;Publicitária;15/12/2014 a 06/01/2015;Zohar Cinema e Comunicação Ltda;RJ;-;-;;
Les Anges de la télé-réalité;Reality Show;05/01/2015 a 17/03/2015;Sol Entertainment Ltda;RJ;La Grosse Equipe;França;;
Sky Secret Agent;Publicitária;05/01/2015 a 05/02/2015;O2 Filmes Publicitários Ltda;SP;-;-;;
