TITULO_OBRA;TIPO_OBRA;PERIODO_PRODUCAO;EMPRESA_BRASILEIRA;UF;EMPRESA_ESTRANGEIRA;PAIS;NR_TECNICOS_ARTISTAS_ESTRANGEIROS;LOCAL_FILMAGEM_UF
"""Meine fremde Heimat""";Documentário;01/10/2018 a 10/10/2018;AURA FILME PRODUÇÕES LTDA;RJ;SRF Schweizer Radio und Fernsehen;Suíça;4;
AACD São Paulo Interview;Institucional;23/09/2018 a 26/09/2018;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;Figura Media LLC;Estados Unidos;2;
Humtington Medicina Video;Institucional;19/09/2018 a 21/09/2018;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;Figura Media LLC;Estados Unidos;5;
TODOS OS MORTOS;Ficção;09/10/2018 a 13/11/2018;DEZENOVE SOM E IMAGENS PRODUÇÕES LTDA - EPP;SP;-;-;2;
"""Konica Minolta Brazil""";Institucional;12/09/2018 a 16/09/2018;UTOPIA FILMES PRODUÇÃO ARTÍSTICA LTDA;RJ;DA Vision LTD;Japão;1;
"""Emerging Markets""";Documentário;19/09/2018 a 30/09/2018;SOL ENTERTAINMENT LTDA;RJ;Enca;África do Sul;3;
"""Full Throttle""";Documentário;06/11/2018 a 12/11/2018;DAVIES & LUZZI LTDA- ME;SP;Summerlin Films Ltd;Reino Unido;13;
DIVERSE TRAVEL STORIES;Documentário;27/09/2018 a 05/10/2018;TERRA VERMELHA FILMES LTDA. EPP;RJ;Doc Hearts Ltd;Reino Unido;2;
Vans Brazil;Documentário;21/09/2018 a 29/09/2018;D+ PROJETOS ARTÍSTICOS LTDA.;RJ;Alldayeveryday Productions LLC;Estados Unidos;2;
GLOBAL WOMEN'S RIGHT;Documentário;25/09/2018 a 09/10/2018;OZY FILMES E PRODUÇÕES LTDA;SP;Soc Films;Paquistão;6;
Locações lendárias (série para Travel Channel);Série;01/10/2018 a 30/10/2018;NEON RIO LTDA;RJ;-;-;6;
"""Portal Telemedicina - Case Study""";Documentário;25/09/2018 a 03/10/2018;DEZ E VINTE PRODUÇÕES CINEMATOGRÁFICAS LTDA - ME;SP;Lonelyleap LLC;Estados Unidos;3;
ICONS - The Story of the 20th Century (Icones - A Historia do Século XX);Documentário;09/10/2018 a 16/10/2018;TR SOMOGYI PRODUÇÕES;RJ;72 Films;Reino Unido;4;
Lunar - Jaguar Jungle;Documentário;01/10/2018 a 05/11/2018;TACACÁ FILMES LTDA;RJ;Offspring Films;Reino Unido;10;
J&J Credo 75;Documentário;30/09/2018 a 04/10/2018;QUARTETO EVENTOS E PRODUÇÕES EIRELLI - ME;RJ;MonkeyPaws Films, Inc;Estados Unidos;2;
Peoples of the Sea: Season 2 Brazil;Documentário;16/11/2018 a 11/12/2018;DEZ E VINTE PRODUÇÕES CINEMATOGRÁFICAS LTDA - ME;SP;Decoupages;França;2;
PROJETO FAMILIA - SAUDE MATERNIDADE;Institucional;13/10/2018 a 22/10/2018;BDT PLANEJAMENTO E COMUNICAÇÃO LTDA;SP;Vividjam, Inc.;Japão;2;
"""The Amazing Race - Temporada 2018""";Programa de TV;25/10/2018 a 21/11/2018;DOMO PRODUÇÕES LTDA;SP;World Race Productions Inc.;Estados Unidos;124;
