"""Valores Recolhidos por Programadora - Art. 39 da MP 2.228-1/01 - Em Reais (R$) - 2003 a 2017""";;
;;
"""Ano de Recolhimento""";"""Programadora Estrangeira""";"""Valor (R$)"""
"""2009""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""4008562,55"""
"""2009""";"""TV5 MONDE""";"""9645,27"""
"""2009""";"""VENUS TV, INC.""";"""192,29"""
"""2008""";"""AEI COLLINGHAM HOLDINGS CO. LTD""";"""1144,76"""
"""2008""";"""ALL TV COMMUNICATIONS S.A.""";"""9984,35"""
"""2008""";"""AMC NETWORKS LATIN AMERICA LLC""";"""163237,12"""
"""2008""";"""AXN LATIN AMERICA INC""";"""106520,23"""
"""2008""";"""BLOOMBERG L.P.""";"""67,72"""
"""2008""";"""BRASIL DISTRIBUTION, L.L.C.""";"""8085525,22"""
"""2008""";"""BUENA VISTA INTERNATIONAL, INC""";"""506098,61"""
"""2008""";"""CROWN MEDIA INTERNATIONAL, LLC""";"""363,26"""
"""2008""";"""DIRECTV LATIN AMERICA, LLC""";"""437,84"""
"""2008""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""2003360,23"""
"""2008""";"""DLA, INC.""";"""317657,12"""
"""2008""";"""EUROCHANNEL""";"""49113,45"""
"""2008""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""1763900,95"""
"""2008""";"""IMAGEN SATELITAL S. A .""";"""3546,73"""
"""2008""";"""MTV NETWORKS LATIN AMERICA INC.""";"""352100,82"""
"""2008""";"""NHK GLOBAL MEDIA SERVICE""";"""498,37"""
"""2008""";"""PLAYBOY TV LATIN AMERICA LLC""";"""185715,81"""
"""2008""";"""PPV SERVICES, LLC""";"""1091,95"""
"""2008""";"""PRAMER SCA""";"""14689,31"""
"""2008""";"""SPARROWHAWK INTERNATIONAL CHANNELS LIMITED""";"""8061,32"""
"""2008""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""3063502,03"""
"""2008""";"""TV5 MONDE""";"""9163,3"""
"""2008""";"""VENUS TV, INC.""";"""16072,5"""
"""2008""";"""WARNER BROS INTERNATIONAL TELEVISION DISTRIBUTION, INC.""";"""3195,55"""
"""2007""";"""ACCESO CODIFICADO S/A""";"""1822,5"""
"""2007""";"""AEI COLLINGHAM HOLDINGS CO. LTD""";"""52834,28"""
"""2007""";"""ALL TV INTERNATIONAL SOCIEDAD ANONIMA""";"""2700"""
"""2007""";"""AMC NETWORKS LATIN AMERICA LLC""";"""128722,13"""
"""2007""";"""AXN LATIN AMERICA INC""";"""247503,47"""
"""2007""";"""BLOOMBERG L.P.""";"""1813,41"""
"""2007""";"""BRASIL DISTRIBUTION, L.L.C.""";"""7065756,52"""
"""2007""";"""BUENA VISTA INTERNATIONAL, INC""";"""6359,82"""
"""2007""";"""CROWN MEDIA INTERNATIONAL, LLC""";"""2541,5"""
"""2007""";"""DIRECTV LATIN AMERICA, LLC""";"""21241,46"""
"""2007""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""1786734,27"""
"""2007""";"""DLA, INC.""";"""45522,72"""
"""2007""";"""EUROCHANNEL""";"""63558,28"""
"""2007""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""1825179,48"""
"""2007""";"""IMAGEN SATELITAL S. A .""";"""4553,02"""
"""2007""";"""MTV NETWORKS LATIN AMERICA INC.""";"""371029,09"""
"""2007""";"""NHK GLOBAL MEDIA SERVICE""";"""11565,26"""
"""2007""";"""PLAYBOY TV LATIN AMERICA LLC""";"""49580,5"""
"""2007""";"""PPV SERVICES, LLC""";"""494,2"""
"""2007""";"""PRAMER SCA""";"""18853,18"""
"""2007""";"""SPARROWHAWK INTERNATIONAL CHANNELS LIMITED""";"""20985,92"""
"""2007""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""2675395,87"""
"""2007""";"""TV5 MONDE""";"""9312,3"""
"""2007""";"""VENUS TV, INC.""";"""5945,15"""
"""2007""";"""WARNER BROS INTERNATIONAL TELEVISION DISTRIBUTION, INC.""";"""29764,26"""
"""2006""";"""AEI COLLINGHAM HOLDINGS CO. LTD""";"""11305,01"""
"""2006""";"""ALL TV INTERNATIONAL SOCIEDAD ANONIMA""";"""2206,01"""
"""2006""";"""AMC NETWORKS LATIN AMERICA LLC""";"""88038,84"""
"""2006""";"""AXN LATIN AMERICA INC""";"""8878,95"""
"""2006""";"""BLOOMBERG L.P.""";"""2073,4"""
"""2006""";"""BRASIL DISTRIBUTION, L.L.C.""";"""6684074,92"""
"""2006""";"""BUENA VISTA INTERNATIONAL, INC""";"""206922,03"""
"""2006""";"""CARSON INTERNATIONAL LTD.""";"""6554,9"""
"""2006""";"""CROWN MEDIA INTERNATIONAL, LLC""";"""16168,88"""
"""2006""";"""DIRECTV LATIN AMERICA, LLC""";"""52640,53"""
"""2006""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""1543709,68"""
"""2006""";"""EUROCHANNEL""";"""75357,93"""
"""2006""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""1303895,38"""
"""2006""";"""IMAGEN SATELITAL S. A .""";"""39472,76"""
"""2006""";"""MTV NETWORKS LATIN AMERICA INC.""";"""258191,4"""
"""2006""";"""NHK GLOBAL MEDIA SERVICE""";"""8404,3"""
"""2006""";"""PLAYBOY TV LATIN AMERICA LLC""";"""179480,87"""
"""2006""";"""PRAMER SCA""";"""24113,59"""
"""2006""";"""RAINBOW HEIGHTS INTERNATIONAL LTD.""";"""5656,05"""
"""2006""";"""SOUND TRACK CHANNEL LLC""";"""3581,79"""
"""2006""";"""THE SEARCH LLC""";"""6377,96"""
"""2006""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""2288474,4"""
"""2006""";"""TV5 MONDE""";"""13741,87"""
"""2006""";"""VENUS TV, INC.""";"""52306,63"""
"""2005""";"""AEI COLLINGHAM HOLDINGS CO. LTD""";"""106902,37"""
"""2005""";"""AMC NETWORKS LATIN AMERICA LLC""";"""131228,19"""
"""2005""";"""AXN LATIN AMERICA INC""";"""233487,29"""
"""2005""";"""BLOOMBERG L.P.""";"""75,4"""
"""2005""";"""BRASIL DISTRIBUTION, L.L.C.""";"""6020743,64"""
"""2005""";"""BUENA VISTA INTERNATIONAL, INC""";"""202460,69"""
"""2005""";"""CARSON INTERNATIONAL LTD.""";"""39204,85"""
"""2005""";"""CROWN MEDIA INTERNATIONAL, LLC""";"""37863,39"""
"""2005""";"""DIRECTV LATIN AMERICA, LLC""";"""821699,94"""
"""2005""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""1617320,44"""
"""2005""";"""EUROCHANNEL""";"""99281,6"""
"""2005""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""1543793,91"""
"""2005""";"""IMAGEN SATELITAL S. A .""";"""182519,78"""
"""2005""";"""LOCOMOTION CHANNEL""";"""25216,32"""
"""2005""";"""MTV NETWORKS LATIN AMERICA INC.""";"""367149,51"""
"""2005""";"""NHK GLOBAL MEDIA SERVICE""";"""5938,13"""
"""2005""";"""PLAYBOY TV LATIN AMERICA LLC""";"""332307,44"""
"""2005""";"""PRAMER SCA""";"""3803,73"""
"""2005""";"""RAINBOW HEIGHTS INTERNATIONAL LTD.""";"""33359,8"""
"""2005""";"""SOUND TRACK CHANNEL LLC""";"""23104,78"""
"""2005""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""2388234,93"""
"""2005""";"""TV5 MONDE""";"""7598,96"""
"""2005""";"""VENUS TV, INC.""";"""49804"""
