Listagem de Projetos Contemplados e Valores - Editais de Coprodução Internacional - 2005 a 2016;;;;;;;;;;
;;;;;;;;;;
Ano do Edital;Edital;Modalidade;CPB;Título;Direção;CNPJ;Empresa Produtora Brasileira;UF;Empresa Coprodutora Estrangeira;Investimento
2009;Brasil-Portugal;Coprodução Minoritária Brasileira;B1301996600000;O Grande Kilapy;Zezé Gambôa;44.154.342/0001-31;Raiz Produções;SP;Davi e Golias;"""$150.000,00"""
2009;Brasil-Portugal;Coprodução Minoritária Brasileira;B1001318000000;União Ibérica;Miguel Gonçalves Mendes;02.525.725/0001-29;O2 Filmes;SP;Jumpcut - Associação Cultural;"""$150.000,00"""
2010;Brasil-Portugal;Coprodução Majoritária Brasileira;B1402125800000;A Estrada 47 (A Montanha);Vicente Ferraz;01.713.311/0001-60;Três Mundos Produções;RJ;Stopline Films Lda;"""$150.000,00"""
2010;Brasil-Portugal;Coprodução Majoritária Brasileira;B1101445400000;O País Do Desejo;Paulo Caldas;02.140.120/0001-10;Bananeira Filmes;RJ;Fado Filmes;"""$150.000,00"""
2010;Brasil-Portugal;Coprodução Minoritária Brasileira; -;Operação Zebra;Antônio Ferreira;05.832.663/0001-96;Intro Pictures;SP; -;"""$150.000,00"""
2010;Brasil-Portugal;Coprodução Minoritária Brasileira;B1201639800000;Tabu;Miguel Gomes;01.378.559/0001-12;Gullane;SP;O Som e a Fúria;"""$150.000,00"""
2011;Brasil-Portugal;Coprodução Majoritária Brasileira;B1402159100000;Getúlio;João Jardim;28.026.565/0001-67;Copacabana Filmes e Produções;RJ;Midas Filmes Lda;"""$150.000,00"""
2011;Brasil-Portugal;Coprodução Majoritária Brasileira;B1301938400000;Jogo das Decapitações;Sergio Bianchi;68.160.241/0001-31;Agravo Produções Cinematográficas;SP;Persona Non Grata Pictures;"""$150.000,00"""
2011;Brasil-Portugal;Coprodução Minoritária Brasileira;B1600773600000;O Ornitólogo;João Pedro Rodrigues;01.473.536/0001-97;Ananã Produções;RJ;Blackmaria Filmes;"""$150.000,00"""
2011;Brasil-Portugal;Coprodução Minoritária Brasileira;B1402296700000;Yvone Kane;Margarida Cardoso;27.920.016/0001-79;Mpc Filmes;RJ;Filmes do Tejo II;"""$150.000,00"""
2013;Brasil-Portugal;Coprodução Majoritária Brasileira;B1800000800000;O Grande Circo Místico ;Cacá Diegues;73.586.513/0001-08;Luz Mágica Produções;RJ;Fado Filmes;"""$150.000,00"""
2013;Brasil-Portugal;Coprodução Majoritária Brasileira;B1700051600000;Vazante ;Daniela Thomas;66.876.707/0001-74;Dezenove Som e Imagens;SP;Ukbar Filmes;"""$150.000,00"""
2013;Brasil-Portugal;Coprodução Minoritária Brasileira;B1800445100000;Diamantino;Gabriel Abrantes;09.409.976/0001-97;Syndrome Films;RJ;Maria & Mayer;"""$150.000,00"""
2013;Brasil-Portugal;Coprodução Minoritária Brasileira;B1402275800000;Os Maias - (Alguns) Episódios Românticos;João Botelho;72.062.029/0001-09;Raccord Produções;RJ;"""Ar de Filmes, Lda.""";"""$150.000,00"""
2014;Brasil-Portugal;Coprodução Majoritária Brasileira;B1700092500000;Joaquim;Marcelo Gomes;02.669.022/0001-74;Rec Produtores Associados;PE;Ukbar Filmes;"""$150.000,00"""
2014;Brasil-Portugal;Coprodução Majoritária Brasileira; -;Um Animal Amarelo ;Felipe Bragança;01.125.538/0001-95;Duas Mariola Filmes;RJ;O Som e a Fúria;"""$150.000,00"""
2014;Brasil-Portugal;Coprodução Minoritária Brasileira;B1600340900000;Cinzento e Negro;Luis Filipe Rocha;73.586.513/0001-08;Luz Mágica Produções;RJ;Fado Filmes;"""$150.000,00"""
2014;Brasil-Portugal;Coprodução Minoritária Brasileira;B1800187200000;Seara de Vento;Sérgio Tréfaut;05.436.489/0001-62;Refinaria Filmes;RJ;Faux;"""$150.000,00"""
2015;Brasil-Portugal;Coprodução Majoritária Brasileira; -;Isolar;Leonardo Sette;08.587.501/0001-28;CinemaScópio;PE;Rosa Filmes;"""$150.000,00"""
2015;Brasil-Portugal;Coprodução Majoritária Brasileira;B1700405200000;Praça Paris;Lucia Murat;73.947.392/0001-74;Taiga Filmes e Vídeo;RJ;Fado Filmes;"""$150.000,00"""
2015;Brasil-Portugal;Coprodução Minoritária Brasileira;B1900057300000;Caminhos Magnéticos;Edgar Pêra;15.588.308/0001-77;Persona Non Grata Pictures;SP;Bando a Parte;"""$150.000,00"""
2015;Brasil-Portugal;Coprodução Minoritária Brasileira;B1800422100000;John África na Terra dos Leões;Filipa Reis/João Miller Guerra;12.658.679/0001-90;Desvia;PE;Terra Treme Filmes;"""$150.000,00"""
2011;Brasil-Uruguai;Coprodução Majoritária Brasileira;B1500798600000;Valeu Boi;Gabriel Mascaro;12.658.679/0001-90;Desvia;PE;Malbicho Cine;"""$50.000,00"""
2011;Brasil-Uruguai;Coprodução Minoritária Brasileira;B1700431000000;Outra história do mundo;Guillermo Casanova;01.713.311/0001-60;Três Mundos Produções;RJ;Lavorágine Films SRL;"""$150.000,00"""
2012;Brasil-Uruguai;Coprodução Majoritária Brasileira;B1600420900000;A Mulher do Pai;Cristiane Oliveira;08.267.476/0001-03;Okna Produções;RS;Godelir S.A;"""$50.000,00"""
2012;Brasil-Uruguai;Coprodução Minoritária Brasileira;B1402391300000;Os Inimigos da Dor;Arauco Hernández;06.137.016/0001-27;Primo Filmes;SP;Solé Malcuori Micaela - Hendler Schutz Daniel;"""$150.000,00"""
2013;Brasil-Uruguai;Coprodução Majoritária Brasileira;B1500399400000;Prova de Coragem;Roberto Gervitz;86.777.331/0001-58;M. Schmiedt Produções;RS;Coral Cine S.R.L;"""$50.000,00"""
2013;Brasil-Uruguai;Coprodução Minoritária Brasileira; -;Porno para Iniciantes;Carlos Ameglio;07.477.471/0001-34;Bossa Nova Films;SP;Salado Media S.A.;"""$150.000,00"""
2014;Brasil-Uruguai;Coprodução Majoritária Brasileira;B1500591500000;A Floresta que se move;Vinícius Coimbra;00.338.948/0001-51;EH! Filmes;RJ;Salado Media S.A.;"""$50.000,00"""
2014;Brasil-Uruguai;Coprodução Minoritária Brasileira; -;Menino Janela Também Queria Ter Um Submarino;Alex Piperno;12.658.679/0001-90;Desvia;PE;La Pobladora Cine;"""$150.000,00"""
2015;Brasil-Uruguai;Coprodução Majoritária Brasileira;B1800106900000;Benzinho;Gustavo Pizzi;15.318.729/0001-88;Baleia Filmes;RJ;Mutante Cine SRL;"""$50.000,00"""
2015;Brasil-Uruguai;Coprodução Minoritária Brasileira; -;Réus II;Eduardo Piñero/Pablo Fernández;07.822.394/0001-02;Linha de Produção;RS;Sueko Films;"""$150.000,00"""
;;;;;;;;;;
Fonte: ANCINE.;;;;;;;;;;
Elaboração: Coordenação de Edição e Publicação de Conteúdo - CEC/SAM/ANCINE. Publicado em 28/08/2019.;;;;;;;;;;
Notas:;;;;;;;;;;
Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;
Os valores referentes aos projetos de coprodução majoritária brasileira são fornecidos pelo Instituto do Cinema e do Audiovisual de Portugal - ICA. ;;;;;;;;;;
