Valores Captados por Projeto Incentivado - Em Reais (R$) - 2002 a Julho de 2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ano de Captação;Salic;Nome do Projeto;CNPJ do Proponente;Proponente;UF;Tipo ou segmento;Gênero;"Lei 8.313/91
(Lei Rouanet)";"Art. 1º 
Lei 8.685/93";"Art. 1º A
Lei 8.685/93";"Art. 3º 
Lei 8.685/93*";"Art. 3º A
Lei 8.685/93*";"Art. 39 
MP 2228-1/01*";Funcines;Total Captado no Ano
2002;24284;Como Fazer um Filme de Amor;52.858.982/0001-50;CINEMATOGRÁFICA SUPERFILMES LTDA;SP;Produção Cinematográfica;Ficção;0;151.402,00;0;0;0;0;0;151.402,00
2002;23669;Como Fazer um Filme de Amor (Telefilme);52.858.982/0001-50;CINEMATOGRÁFICA SUPERFILMES LTDA;SP;Produção Televisiva;Ficção;90.000,00;0;0;0;0;0;0;90.000,00
2002;993770;Conexão Brasil;00.487.854/0001-44;SIRINO E SILVESTRE LTDA-ME;PR;Produção Cinematográfica;Ficção;35.400,11;0;0;0;0;0;0;35.400,11
2002;30186;Crime Delicado (Ex: Uma ou Duas Coisas Sobre Ela);02.902.219/0001-01;DRAMA FILMES LTDA.;SP;Produção Cinematográfica;Ficção;0;100.000,00;0;0;0;0;0;100.000,00
2002;993262;Cristina Quer Casar (Ex Amor à Vista);66.657.727/0001-54;NIA PRODUCOES ARTISTICAS EIRELI;SP;Produção Cinematográfica;Ficção;0;32.339,00;0;489.504,78;0;0;0;521.843,78
2002;12044;Cultura e Cidadania Uma TV Aberta às Escolas;02.196.013/0001-03;ASSOCIACAO DE COMUNICACAO EDUCATIVA ROQUETTE PINTO;RJ;Produção Televisiva;Programa TV;1.300.000,00;0;0;0;0;0;0;1.300.000,00
2002;973214;Cultura em ação: Resgatando a Formação Étnica do Vale;94.705.894/0001-69;FUNDAÇÃO OSWALDO CARLOS VAN LEEUWEN;RS;Produção Televisiva;Programa TV;34.200,00;0;0;0;0;0;0;34.200,00
2002;24005;Cárcere e a Rua (O) - Ex: Quatro Histórias do Cárcere;94.100.302/0001-85;ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.;RS;Produção Cinematográfica;Documentário;36.000,00;50.000,00;0;0;0;0;0;86.000,00
2002;23523;De Passagem;44.154.342/0001-31;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;SP;Produção Cinematográfica;Ficção;0;301.100,00;0;0;0;0;0;301.100,00
2002;23799;DEGOLA FATAL - GLAUBER MORTO (A);03.984.281/0001-52;RIO DE CINEMA PRODUÇÕES CULTURAIS;RJ;Produção Cinematográfica;Documentário;20.000,00;0;0;0;0;0;0;20.000,00
2002;13777;Desmundo - Distribuição;69.126.670/0001-55;A.F. CINEMA E VÍDEO LTDA;SP;Distribuição Cinematográfica;Ficção;0;601.046,00;0;0;0;0;0;601.046,00
2002;23732;DEUS CONTRA TODOS;53.952.263/0001-67;PHOS PRODUÇÃO DE FILMES LTDA.;SP;Exibição Cinematográfica; -;108.000,00;0;0;0;0;0;0;108.000,00
2002;993620;Deus é Brasileiro;01.233.122/0001-90;RIO VERMELHO FILMES LTDA;RJ;Produção Cinematográfica;Ficção;1.435.000,00;450.000,00;0;799.999,67;0;0;0;2.684.999,67
2002;11891;Doces Bárbaros (Os);02.298.684/0001-85;BLUE FOX PRODUÇÕES LTDA.;RJ;Produção Cinematográfica;Documentário;100.000,00;0;0;0;0;0;0;100.000,00
2002;177;Documentário Doutores da Alegria.;57.643.793/0001-84;MAMO FILMES LTDA;SP;Produção Cinematográfica;Documentário;79.400,00;0;0;0;0;0;0;79.400,00
2002;23753;Dois Perdidos Numa Noite Suja Comercialização;27.527.464/0001-07;COEVOS FILMES LTDA;RJ;Produção Cinematográfica;Ficção;0;31.309,00;0;0;0;0;0;31.309,00
2002;11870;Dom;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;RJ;Produção Cinematográfica;Ficção;0;661.314,00;0;0;0;0;0;661.314,00
2002;993730;Dom Hélder Câmara - O Santo Rebelde;26.480.434/0001-20;ANDREA MAGALHÃES GLORIA EIRELI - ME;DF;Produção Cinematográfica;Documentário;0;201.707,00;0;0;0;0;0;201.707,00
2002;971920;Dono do Mar (O);61.374.229/0001-80;PLANIFILMES LTDA;SP;Produção Cinematográfica;Ficção;400.000,00;673.800,00;0;0;0;0;0;1.073.800,00
2002;24303;Dono do Mar Distribuição (O);61.374.229/0001-80;PLANIFILMES LTDA;SP;Distribuição Cinematográfica;Ficção;0;86.200,00;0;0;0;0;0;86.200,00
2002;14572;Duendes 2;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;RJ;Produção Cinematográfica;Ficção;0;1.400.004,00;0;2.800.000,00;0;0;0;4.200.004,00
2002;973937;DURVAL DISCOS;64.047.665/0001-33;ÁFRICA FILMES LTDA;SP;Produção Cinematográfica;Ficção;0;180.000,00;0;0;0;0;0;180.000,00
2002;23968;DVD O MELHOR DOS CONCERTOS MPBR;04.610.219/0001-63;DIVAS PRODUCOES ARTISTICAS LTDA ;RJ;Videofonográfica;Documentário;560.000,00;0;0;0;0;0;0;560.000,00
2002;40059;ELIANA E O SEGREDO DOS GOLFINHOS;02.696.796/0001-94;EMB PROMOTORA E CONTROLADORA S.A.;SP;Produção Cinematográfica;Ficção;0;100.000,00;0;0;0;0;0;100.000,00
2002;993805;Em Busca dos Dinossauros-Documentário;00.468.786/0001-76;CENTRO DE CULTURA INFORMACAO E MEIO AMBIENTE;RJ;Produção Televisiva;Documentário;180.000,00;0;0;0;0;0;0;180.000,00
2002;984920;Escola Darcy Ribeiro;02.605.336/0001-03;INSTITUTO BRASILEIRO DE AUDIOVISUAL;RJ;Infra-estrutura Técnica Audiovisual; -;1.029.116,25;0;0;0;0;0;0;1.029.116,25
2002;12063;Escola Mágica (A);03.218.296/0001-00;Multiversal Produções Ltda;RS;Produção Televisiva;Ficção;632.000,00;0;0;0;0;0;0;632.000,00
2002;310;Espelho D'água - Uma Viagem no Rio São Francisco;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;RJ;Produção Cinematográfica;Ficção;350.000,00;0;0;0;0;0;0;350.000,00
2002;380;Estória de Trancoso;01.111.024/0001-80;ALBATROZ CINEMATOGRÁFICA LTDA;SP;Produção Cinematográfica;Ficção;0;100.000,00;0;0;0;0;0;100.000,00
2002;231;Eu Amo Meu Coração - Filme Por Um Fio - (Ex: O Coração pede Socorro - Parte III);61.658.951/0001-47;GEORGE JONAS INTERNACIONAL COMUNICATIONS LTDA;SP;Produção Cinematográfica;Ficção;375.000,00;0;0;0;0;0;0;375.000,00
2002;960193;Expresso Brasil;12.869.491/0001-90;Polo de Consultoria e Marketing Ltda;SP;Produção Cinematográfica;Documentário;356.000,00;0;0;0;0;0;0;356.000,00
2002;23525;EXPRESSO PARA AANHANGABA (II);43.120.385/0001-33;GRIFFITH PRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;Produção Televisiva;Ficção;60.000,00;0;0;0;0;0;0;60.000,00
2002;993662;Extremo Sul;86.777.331/0001-58;M. SCHMIEDT PRODUÇÕES LTDA;RS;Produção Cinematográfica;Documentário;0;186.000,00;0;0;0;0;0;186.000,00
2002;23871;FALA TU (Ex-Rap no Rio);04.939.205/0001-98;MATIZAR PRODUÇÕES ARTÍSTICAS LTDA;RJ;Produção Cinematográfica;Documentário;0;150.000,00;0;0;0;0;0;150.000,00
2002;12080;Fica Comigo Esta Noite;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;RJ;Produção Cinematográfica;Ficção;0;659.050,00;0;0;0;0;0;659.050,00
2002;23521;Filhas do Vento;37.981.206/0001-50;ASACINE PRODUÇÕES EIRELI;DF;Produção Cinematográfica;Ficção;150.000,00;0;0;0;0;0;0;150.000,00
2002;993613;Fora do Figurino;01.301.355/0001-83;PAULO PÉLICO - ME;SP;Produção Cinematográfica;Documentário;0;63.000,00;0;0;0;0;0;63.000,00
2002;961527;Gaijin Ama-me Como Sou ( Ex.: Gaijin II );00.193.157/0001-80;SCENA FILMES LTDA;RJ;Produção Cinematográfica;Ficção;1.580.000,00;0;0;0;0;0;0;1.580.000,00
2002;14563;Gaijin Ama-me Como Sou (Gaijin II Distribuição);00.193.157/0001-80;SCENA FILMES LTDA;RJ;Distribuição Cinematográfica;Telefilme;0;1.355.700,00;0;709.607,45;0;0;0;2.065.307,45
2002;983501;Garotas do ABC - Aurélia Schwarzenega;66.876.707/0001-74;DEZENOVE SOM E IMAGENS PRODUÇÕES LTDA - EPP;SP;Produção Cinematográfica;Ficção;0;634.156,00;0;0;0;0;0;634.156,00
2002;993681;Garrincha - Estrela Solitária ( Ex.: Estrela Solitária );01.219.300/0001-29;FAM PRODUÇÕES LTDA - ME - (BAIXADO);MG;Produção Cinematográfica;Ficção;500.000,00;530.000,00;0;0;0;0;0;1.030.000,00
2002;359;Gatão de Meia Idade;00.101.698/0001-31;YPEARTS AUDIOVISUAL EIRELI - ME;RJ;Produção Cinematográfica;Ficção;0;37.500,00;0;0;0;0;0;37.500,00
2002;993562;Gregório de Mattos (Ex -Gema Quem Gemer);30.510.135/0001-68;CRYSTAL CINEMATOGRÁFICA LTDA;RJ;Produção Cinematográfica;Ficção;35.000,00;0;0;0;0;0;0;35.000,00
2002;23514;Harmada;31.447.584/0001-71;SATURNA PRODUÇÕES ARTÍSTICAS LTDA.;RJ;Produção Cinematográfica;Ficção;68.000,00;0;0;0;0;0;0;68.000,00
2002;983531;HISTÓRIA DO JORNALISMO BRASILEIRO;31.179.864/0001-46;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;RJ;Produção Cinematográfica;Documentário;332.595,00;0;0;0;0;0;0;332.595,00
