Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2024;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira ;UF2;Distribuidora;Máximo de Salas;Público acumulado;Renda (R$) acumulada;
2011;B0901050500000;Corumbiara;Vincent Carelli;Documentário;Vídeo Nas Aldeias;PE;-;-;Panda Filmes;1;280;1.476,00;
2011;B0800963900000;Crítico;Kleber Mendonça Filho;Documentário;Cinemascópio;PE;-;-;Vitrine Filmes;4;473;3.171,82;
2011;B1001303400000;Dawson Isla 10;Miguel Littin;Ficção;Vpc Cinemavídeo;BA;-;-;Imagem;11;3.545;31.921,67;
2011;B1001305900000;De Pernas Pro Ar;Roberto Santucci;Ficção;Morena Filmes;RJ;-;-;Downtown/Paris;346;3.506.552;31.033.778,76;
2011;B1101515400000;Desaparecidos;David Schurman;Ficção;Schurmann Filmes;SP;-;-;Schürmann;21;9.821;101.249,85;
2011;B1101459300000;Desassossego;Felipe Bragança;Ficção;Duas Mariola Filmes;RJ;-;-;Vitrine Filmes;5;358;1.535,00;
2011;B1001315900000;Desenrola;Rosane Svartman;Ficção;Raccord Produções;RJ;Globo Filmes;RJ;Downtown/Riofilme;138;331.423;2.673.784,14;
2011;B1101413800000;Diário De Uma Busca;Flavia Castro;Documentário;Flavia Castro/Tambellini Filmes; -/RJ;-;-;Videofilmes;6;3.658;34.061,00;
2011;B1001205900000;Domingos;Maria Ribeiro;Documentário;Forte Filmes/Prole De Adão Produção Artísticas;RJ/RJ;-;-;Gávea Filmes E Produções;4;735;5.221,50;
2011;B1001192900000;Duas Mulheres;João Mário Grilo;Ficção;Taiga Filmes E Vídeo;RJ;-;-;Pipa Produções;2;232;1.725,00;
2011;B1101442800000;E Aí Hendrix?;Pedro Paulo Carneiro/Roberto Lamounier;Documentário;Tvc Produções/Tvgd Produções;RJ/RJ;-;-;Polifilmes;1;141;1.184,72;
2011;B1001187800000;Elvis E Madona;Marcelo Laffitte;Ficção;Focus Films/Laffilmes;RJ/RJ;Mariana Bezerra Cavalcanti;-;Pipa Produções;38;11.340;87.287,23;
2011;B1101365800000;Embargo;António Ferreira;Ficção;Diler & Associados;RJ;-;-;Raiz Distribuidora;1;344;3.242,05;
2011;B1101415000000;Estamos Juntos;Toni Venturi;Ficção;Aurora Filmes/Olhar Imaginário;SP/SP;Aurora Filmes;SP;Imagem;43;33.187;266.545,55;
2011;B1001340200000;Estrada Para Ythaca;Guto Parente/Luiz Pretti/Pedro Diógenes/Ricardo Pretti;Ficção;Alumbramento;CE;Guto Parente/Luiz Pretti/Pedro Diógenes/Ricardo Pretti;-;Vitrine Filmes;7;841;5.402,50;
2011;B1101389300000;Estrada Real Da Cachaça;Pedro Urano;Documentário;Grupo Novo De Cinema E Tv;RJ;-;-;Vitrine Filmes;6;1.083;6.788,50;
2011;B0800959600000;Eu Eu Eu José Lewgoy;Cláudio Kahns;Documentário;Tatu Filmes;SP;-;-;Polifilmes;1;236;2.168,50;
2011;B1101422700000;Família Braz – Dois Tempos;Dorrit Harazim;Documentário;Conspiração Filmes;RJ;Videofilmes;RJ;Videofilmes;10;2.907;30.090,50;
2011;B1101413400000;Família Vende Tudo;Alain Fresnot;Ficção;A.F. Cinema;SP;-;-;Playarte;154;112.116;1.009.124,29;
2011;B1001284500000;Filhos De João, Admirável Mundo Novo Baiano;Henrique Dantas;Documentário;Hamaca Filmes;BA;Docdoma Filmes;BA;Pipa Produções;22;20.559;155.523,08;
2011;B1001190900000;Inversão;Edu Felistoque;Ficção;Olympus Filme;SP;-;-;Califórnia;3;136;885,00;
2011;B1101457300000;Jardim Das Folhas Sagradas;Pola Ribeiro;Ficção;Studio Brasil Cinema E Televisão;BA;-;-;Polifilmes;16;16.831;129.699,44;
2011;B1001317800000;Leite E Ferro;Claudia Priscilla;Documentário;Paleo Tv/Válvula Produções;SP/SP;-;-;Polifilmes;3;364;3.359,00;
2011;B1001276700000;Lixo Extraordinário;Karen Harley/João Jardim/Lucy Walker;Documentário;O2 Filmes;SP;-;-;Downtown;28;52.472;405.917,34;
2011;B1001321100000;Lope;Andrucha Waddington;Ficção;Conspiração Filmes;RJ;Teleimage;SP;Warner;25;32.790;337.065,00;
2011;B1001259500000;Malu De Bicicleta;Flávio Ramos Tambellini;Ficção;Tambellini Filmes;RJ;-;-;Downtown/Riofilme;33;19.083;161.823,59;
2011;B0901034700000;Mamonas Para Sempre;Cláudio Kahns;Documentário;Tatu Filmes;SP;-;-;Europa;34;20.344;162.100,25;
2011;B1001294000000;Marcha Da Vida;Jessica Sanders;Documentário;Conspiração Filmes/Filmland Internacional;RJ/SP;-;-;Europa;21;4.089;37.245,51;
2011;B1101490400000;Meu País;André Ristum;Ficção;Gullane/Sombumbo Filmes;SP/SP;Imovision;SP;Imovision;43;39.841;450.479,50;
2011;B1201546800000;Morro Do Céu;Gustavo Spolidoro;Documentário;Gusgus Cinema;RS;Abepec/Fundação Piratini - Tve Rs/Gustavo Spolidoro;SP/RS/-;Vitrine Filmes;5;367;1.692,00;
2011;B1101368000000;Mulatas! Um Tufão Nos Quadris;Walmor Pamplona;Documentário;Carioca Filmes;RJ;-;-;Carioca;3;233;1.605,75;
2011;B1101378300000;Natimorto;Paulo Machline;Ficção;Academia De Filmes/Camisa Treze Cultural;SP/SP;-;-;Camisa Treze;5;3.194;33.071,50;
2011;B1001344800000;No Olho Da Rua;Rogério Corrêa;Ficção;Leão Filmes;SP;Movi & Art/Cinegrama Filmes;SP/SP;Leão Filmes;6;8.141;13.808,50;
2011;B1001205400000;Não Se Pode Viver Sem Amor;Jorge Durán;Ficção;Deserto Filmes;RJ;-;-;Pandora Filmes;11;7.618;52.633,87;
2011;B1101438800000;Não Se Preocupe, Nada Vai Dar Certo;Hugo Carvana;Ficção;Mac Comunicacão;RJ;Globo Filmes/Telecine/Lereby/Teleimage;RJ/RJ/RJ/SP;Imagem;121;141.213;1.256.209,11;
2011;B1101373600000;O Céu Sobre Os Ombros;Sérgio Borges;Ficção;Orobó Filmes;MG;-;-;Vitrine Filmes;11;4.008;30.527,66;
2011;B1101397500000;O Filme Dos Espíritos;André Marouço/Michel Dubret;Ficção;Mundo Maior Filmes;SP;-;-;Paris;160;320.489;3.092.649,38;
2011;B1101427400000;O Homem Do Futuro;Cláudio Torres;Ficção;Conspiração Filmes;RJ;-;-;Paramount;291;1.211.083;11.498.810,00;
2011;B1101424800000;O Mineiro E O Queijo;Helvécio Ratton;Documentário;Quimera Filmes;MG;-;-;Espaço Filmes;9;5.166;52.846,15;
2011;B1101456100000;O Palhaço;Selton Mello;Ficção;Bananeira Filmes;RJ;-;-;Imagem;267;1.243.069;11.903.278,18;
2011;B1001318100000;O Samba Que Mora Em Mim;Georgia Guerra-Peixe;Documentário;Bossa Nova Films;SP;Georgia Guerra-Peixe;-;Pandora Filmes;7;1.886;16.095,16;
2011;B1001320600000;O Último Voo Do Flamingo;João Ribeiro;Ficção;Videofilmes;RJ;-;-;Videofilmes;7;1.686;14.159,50;
2011;B1101461100000;Onde Está A Felicidade?;Carlos Alberto Riccelli;Ficção;Coração Da Selva;SP;Pulsar Cinema;SP;Fox;170;181.680;1.643.220,39;
2011;B1101491200000;Os 3;Nando Olival;Ficção;Della Rosa Produções;SP;Estação Lumiére Criação, Produções Artísticas E Cinematográficas/Teleimage;SP/SP;Warner;26;22.681;207.465,00;
2011;B1101472100000;Os Monstros;Guto Parente/Luiz Pretti/Pedro Diógenes/Ricardo Pretti;Ficção;Alumbramento;CE;-;-;Vitrine Filmes;5;428;2.122,50;
2011;B1101460700000;Os Residentes;Thiago Mata Machado;Ficção;Katásia Filmes;MG;-;-;Vitrine Filmes;4;949;5.159,10;
2011;B1001193400000;Pacific;Marcelo Pedroso;Documentário;Símio Filmes;PE;-;-;Vitrine Filmes;6;634;2.921,50;
2011;B1101497100000;Palavra Cantada 3D;Carlos Eduardo Magalhães/Marcelo Siqueira;Videomusical;Palavra Cantada Produções Musicais;SP;-;-;Cinemark Brasil;53;21.842;291.939,00;
2011;B1101460100000;Ponto Final;Marcelo Taranto;Ficção;Mt Filmes;RJ;-;-;Pipa Produções;2;193;1.741,00;
2011;B1101435200000;Porta A Porta – A Política Em Dois Tempos;Marcelo Brennand;Documentário;Zefiro Filmes;PE;-;-;Zéfiro Produções;ND;ND;ND;
2011;B1101510800000;Prova De Artista;José Joffily;Documentário;Coevo Filmes;RJ;-;-;Formosa Filmes;9;1.388;11.362,55;
2011;B1101431800000;Qualquer Gato;Tomas Portella;Ficção;Tietê Produções;RJ;Globo Filmes;RJ;Disney;206;1.194.628;10.742.238,99;
2011;B1001224800000;Quebradeiras;Evaldo Mocarzel;Documentário;Casa Azul Produções;SP;-;-;Raiz Distribuidora;1;38;391,00;
2011;B1101411000000;Quebrando O Tabu;Fernando Grostein Andrade;Documentário;Spray Filmes;SP;-;-;Espaço Filmes;16;24.971;254.802,99;
2011;B1001296100000;Reidy, A Construção Da Utopia;Ana Maria Magalhães;Documentário;Nova Era Produções;RJ;-;-;Espaço Filmes;11;4.320;47.300,36;
2011;B1101443200000;Riscado;Gustavo Pizzi;Ficção;Cavideo Produções;RJ;-;-;Filmes Do Estação;8;4.357;37.717,05;
2011;B1101461600000;Rock Brasília - Era De Ouro;Vladimir Carvalho;Documentário;Ligocki Entretenimento/Vladimir Carvalho;DF/DF;Canal Brasil;RJ;Downtown;60;34.886;340.724,75;
2011;B1101498800000;Rádio Nacional;Paulo Roscio;Documentário;Business Telecom;RJ;-;-;Business Telecom;4;798;3.958,00;
2011;B1101397900000;Sequestro;Jorge Wolney Atalla;Documentário;Yukon Filmworks;SP;Midmix Entretenimento/Filmland Internacional;RJ/SP;Downtown;2;648;8.114,00;
2011;B1001307300000;Simples Mortais;Mauro Giuntini;Ficção;Plateau Filmes;DF;Asacine Produções;DF;Polifilmes;4;1.015;8.385,00;
2011;B1001324700000;Solidão E Fé;Tatiana Lohmann;Documentário;Miração Filmes;SP;-;-;Miração Filmes;3;828;3.201,59;
2011;B1101428500000;Tancredo Neves - A Travessia;Silvio Tendler;Documentário;Intervídeo Digital;RJ;-;-;Downtown;4;2.411;26.376,50;
2011;B0901098400000;Todo Mundo Tem Problemas Sexuais;Domingos De Oliveira;Ficção;4004 - Produções De Arte;RJ;Teatro Ilustre Produções Artísticas;RJ;Filmes Do Estação;34;70.673;613.486,67;
2011;B1001314100000;Top Models – Um Conto De Fadas Brasileiro;Richard Luiz;Documentário;In-Mod Instituto Nacional De Moda E Design/Luminosidade;SP/SP;-;-;Espaço Filmes;9;870;8.759,00;
2011;B1101426200000;Trabalhar Cansa;Juliana Rojas/Marco Dutra;Ficção;Dezenove Som E Imagens;SP;-;-;Polifilmes;10;6.969;69.866,25;
2011;B0901101100000;Transcendendo Lynch;Marcos Andrade;Documentário;Quantum Produções Artísticas;RJ;-;-;Espaço Filmes;10;1.303;11.638,00;
2011;B1101425400000;Transeunte;Eryk Rocha;Ficção;Videofilmes;RJ;-;-;Videofilmes;5;2.072;16.757,42;
2011;B1101519400000;Um Assalto De Fé;Cibele Amaral;Ficção;34 Filmes/Ipam - Instituto De Pesquisa Ação E Mobilização;DF/DF;-;-;Ab Filmes/Festival Filmes;5;4.386;43.839,91;
2011;B1101350700000;Uma Professora Muito Maluquinha;César Rodrigues;Ficção;Diler & Associados;RJ;-;-;Downtown/Riofilme;48;67.904;537.596,12;
2011;B1001330400000;Vips;Toniko Melo;Ficção;O2 Filmes;SP;-;-;Universal;180;593.855;5.881.648,00;
2011;B1101366300000;Vips - Histórias Reais De Um Mentiroso;Mariana Caltabiano;Documentário;Mariana Caltabiano Criações;SP;Teleimage;SP;Imovision;2;927;10.980,00;
2011;B1001193200000;Walachai;Rejane Zilles;Documentário;Zilles Produções Culturais;RJ;Okna Produções/Artesanato Digital Produções/Traquitana Filmes;RS/RJ/RJ;Ciclorama Filmes;8;1.262;11.903,08;
2011;B0800959200000;À Margem Do Lixo;Evaldo Mocarzel;Documentário;Casa Azul Produções;SP;-;-;Raiz Distribuidora;5;233;1.493,53;
2012;B1201568300000;31 Minutos – O Filme;Álvaro Díaz/Pedro Peirano;Ficção;Total Entertainment;RJ;-;-;H2O Films/Riofilme;129;59.052;428.958,47;
2012;B1201617100000;5 X Pacificação;Cadu Barcelos/Luciano Vidigal/Rodrigo Felha/Wagner Novais;Documentário;Luz Mágica Produções;RJ;-;-;H2O Films/Riofilme;16;6.296;40.665,50;
2012;B1101537900000;A Música Segundo Tom Jobim;Dora Jobim/Nelson Pereira Dos Santos;Documentário;Regina Filmes;RJ;-;-;Sony;21;74.901;863.590,25;
2012;B1201572300000;A Novela Das Oito;Odilon Rocha;Ficção;Geração Conteúdo/Odilon Rocha;SP/-;-;-;Universal;21;5.147;50.074,00;
2012;B1101510400000;Antônio Conselheiro – O Taumaturgo Dos Sertões;José Walter Lima;Ficção;Vpc Cinemavídeo;BA;-;-;Vpc Cinemavídeo;6;1.856;14.074,50;
2012;B1201569200000;Argus Montenegro E A Instabilidade Do Tempo Forte;Pedro Isaias Lucas;Documentário;Artéria Filmes;RS;Okna Produções;RS;Okna Produções;2;447;2.207,00;
2012;B1101519200000;As Aventuras De Agamenon, O Repórter;Victor Lopes;Ficção;Globo Filmes;RJ;Tambellini Filmes/Aranha Redatores/M Madureira Redatores/Sambascope Produções;RJ/RJ/RJ/RJ;Downtown/Paris/Riofilme;244;937.980;9.335.915,91;
2012;B1201670700000;Astro, Uma Fábula Urbana Em Um Rio De Janeiro Mágico;Paula Trabulsi;Ficção;Asas;SP;Bossa Nova Films;SP;Elo Company;7;681;8.576,42;
2012;B1201657700000;Até Que A Sorte Nos Separe;Roberto Santucci;Ficção;Gullane;SP;Globo Filmes/Telecine;RJ/RJ;Downtown/Paris/Riofilme;425;3.417.510;34.712.891,76;
2012;B1101537800000;Billi Pig;José Eduardo Belmonte;Ficção;Bananeira Filmes;RJ;Film Noise/Globo Filmes;SP/RJ;Imagem;211;257.664;2.483.318,24;
2012;B1201623700000;Boca;Flavio Frederico;Ficção;Kinoscópio;SP;Tc Filmes;SP;Vinny Filmes;26;11.959;125.472,38;
2012;B1201627800000;Brichos - A Floresta É Nossa;Paulo Munhoz;Animação;Tecnokena;PR;-;-;Signopus;26;16.593;134.098,41;
2012;B1201586300000;Cara Ou Coroa;Ugo Giorgetti;Ficção;Sp Filmes De São Paulo;SP;Bossa Nova Films/Sp Filmes De São Paulo/Secretaria Municipal De Cultura De São Paulo/Locall;SP/SP/SP/SP;Espaço Filmes;14;7.719;83.655,05;
2012;B1101504000000;Circular;Adriano Esturilho/Aly Muritiba/Bruno De Oliveira/Diego Florentino/Fábio Allon;Ficção;Grafo Audiovisual/Processo Multiartes;PR/PR;-;-;Grafo Audiovisual;4;2.068;17.365,10;
2012;B1201641300000;Clementina De Jesus - Rainha Quelé;Werinton Kermes;Documentário;Werinton Kermes;SP;-;-;Werinton Kermes;ND;ND;ND;
2012;B1201663500000;Cocoricó Conta Clássicos;Fernando Gomes;Ficção;Tv Cultura;SP;-;-;Mobz;13;2.770;34.233,47;
2012;B1201564400000;Constantino;Otavio Cury;Documentário;In Brasil Cultural/Outros Filmes;SP/SP;-;-;Outros Filmes Produções;1;472;2.933,50;
2012;B1201613900000;Construção;Carolina Sá;Documentário;Doralice Filmes/Samba Filmes;RJ/RJ;-;-;Espaço Filmes;6;909;10.547,19;
2012;B1201676700000;Contos Gauchescos;Henrique De Freitas Lima;Ficção;Cinematográfica Pampeana;RS;-;-;Empresa Cinematográfica Pampeana;6;970;8.524,81;
2012;B1101524900000;Coração Do Samba;Theresa Jessouroun;Documentário;Kinofilmes;RJ;Ebc Tv Brasil/Tv Zero Cinema;DF/RJ;Kinofilmes Produções;1;291;3.233,00;
2012;B1101420100000;Corações Sujos;Vicente Amorim;Ficção;Mixer Films;SP;Globo Filmes/Lereby;RJ/RJ;Downtown;35;42.297;452.177,72;
2012;B1201630700000;Curitiba Zero Grau;Eloi Pires Ferreira;Ficção;Camarada Filmes/Tigre Produções Cinematográficas;PR/PR;-;-;Tigre Produções Cinematográficas;8;19.674;47.125,51;
2012;B1201676800000;De Pernas Pro Ar 2;Roberto Santucci;Ficção;Morena Filmes;RJ;Globo Filmes/Marcelo Saback/Paulo Cursino;RJ/-/-;Downtown/Paris/Riofilme;718;4.846.273;50.312.134,36;
2012;B1201541400000;Dia De Preto;Daniel Mattos/Marcial Renato/Marcos Felipe;Ficção;Maxie Demian;RJ;Cinerama Brasilis;RJ;Maxie Demian;6;283;2.015,00;
2012;B1201686700000;Dino Cazzola – Uma Filmografia De Brasília;Andrea Prates/Cleisson Vidal;Documentário;Terra Firme Produtora;SP;-;-;Terra Firme;3;548;5.776,00;
2012;B1201652600000;Disparos;Juliana Reis;Ficção;Escrevendo & Filmes;RJ;Diversid´Arte Produções;RJ;H2O Films;16;5.255;49.491,55;
2012;B1101535300000;Dois Coelhos;Afonso Poyart;Ficção;Black Maria;SP;-;-;Imagem;236;336.460;3.315.434,89;
2012;B1201586400000;E A Vida Continua;Paulo Figueiredo;Ficção;Verouvir Produções/Versátil Digital Filmes;SP/SP;-;-;Paris;139;370.842;3.880.872,74;
2012;B1201586000000;E Aí, Comeu?;Felipe Joffily;Ficção;Casé Filmes;RJ;-;-;Downtown/Paris/Riofilme;514;2.578.599;26.078.324,43;
2012;B1201642000000;Era Uma Vez Eu, Verônica;Marcelo Gomes;Ficção;Rec Produtores Associados;PE;Dezenove Som E Imagens;SP;Imovision;13;20.956;212.485,09;
2012;B1201682400000;Espia Só;Saturnino Rocha;Documentário;Guarujá Produções;RS;-;-;Ciclorama Filmes;4;322;1.692,00;
2012;B1101528200000;Eu Receberia As Piores Notícias Dos Seus Lindos Lábios;Beto Brant/Renato Ciasca;Ficção;Drama Filmes;SP;-;-;Sony/Riofilme;32;47.366;538.578,75;
2012;B1201564700000;Expedicionários;Otavio Cury;Documentário;In Brasil Cultural/Outros Filmes;SP/SP;-;-;Outros Filmes Produções;2;104;546,50;
2012;B1201573200000;Febre Do Rato;Claudio Assis;Ficção;Belavista Cinema E Produção/Polo De Imagem;RJ/SP;Perdidas Ilusões/República Pureza Filmes;PE/RJ;Imovision;10;29.073;247.282,58;
2012;B1201646900000;Futuro Do Pretérito: Tropicalismo Now!;Francisco Cesar Filho/Ninho Moraes;Documentário;Anhangabau Produções;SP;Ana De Oliveira;-;Vitrine Filmes;3;730;7.064,11;
2012;B1201558400000;Girimunho;Clarissa Campolina/Helvécio Marins Jr.;Ficção;Anavilhana;MG;Dezenove Som E Imagens;SP;Vitrine Filmes;10;5.163;34.818,90;
2012;B1201647100000;Gonzaga - De Pai Para Filho;Breno Silveira;Ficção;Conspiração Filmes/D+Filmes;RJ/RJ;Globo Filmes/Guel Produtora;RJ/RJ;Downtown/Paris/Riofilme;407;1.460.494;14.654.783,80;
2012;B1201553500000;Heleno;José Henrique Fonseca;Ficção;Rt Features/Zola Filmes;SP/RJ;-;-;Downtown/Riofilme;64;91.798;1.009.429,37;
2012;B1101414400000;Histórias Que Só Existem Quando Lembradas;Julia Murat;Ficção;Taiga Filmes E Vídeo;RJ;-;-;Vitrine Filmes;6;8.836;81.785,73;
2012;B0700792400000;Hotxuá;Gringo Cardia/Leticia Sabatella;Documentário;Pedra Corrida Produções;RJ;-;-;Caliban;4;4.493;40.278,50;
2012;B1201543900000;Ibitipoca, Droba Pra Lá;Felipe Scaldini;Documentário;Ferro Velho Filmes;MG;-;-;Lume Produções Cinematográficas;1;816;5.318,76;
2012;B1201674600000;Infância Clandestina;Benjamin Ávila;Ficção;Academia De Filmes;SP;-;-;Imovision;17;32.908;379.217,12;
2012;B1201650700000;Luto Em Luta;Pedro Serrano;Documentário;Like Filmes;SP;-;-;Like Filmes;ND;ND;ND;
2012;B1001290000000;Luz Nas Trevas - A Volta Do Bandido Da Luz Vermelha;Ícaro Martins/Helena Ignez;Ficção;Mercúrio Produções;SP;Canal Brasil;RJ;Mercúrio Produções;10;9.489;42.378,90;
2012;B1201673600000;Marcelo Yuka No Caminho Das Setas;Daniela Broitman;Documentário;Videoforum Filmes;SP;-;-;Tucumán;9;2.546;14.303,68;
2012;B1201622800000;Marighella;Isa Grinspum Ferraz;Documentário;Texto & Imagem;SP;Tc Filmes/Carlos Augusto Marighella;SP/-;Downtown;12;5.439;52.679,30;
2012;B1201616800000;Menos Que Nada;Carlos Gerbase;Ficção;Prana Filmes;RS;-;-;Prana Filmes;9;1.640;11.253,90;
2012;B1201663700000;Muito Além Do Peso;Estela Renner;Documentário;Maria Farinha Filmes;SP;-;-;Ideias Maria Farinha;10;2.744;29.153,99;
2012;B1201589400000;Mulher À Tarde;Affonso Uchôa;Ficção;Affonso Uchôa;MG;88 Produções;MG;Affonso Uchôa;3;321;1.488,50;
2012;B1101473200000;Mãe E Filha;Petrus Cariry;Ficção;Iluminura Filmes;CE;-;-;Lume Produções Cinematográficas;3;670;4.277,55;
2012;B1201571900000;Na Estrada - On The Road;Walter Salles;Ficção;Videofilmes;RJ;-;-;Playarte;118;289.507;3.310.019,59;
2012;B1101457200000;O Contestado – Restos Mortais;Sylvio Back;Documentário;Usina De Kyno;PR;-;-;Espaço Filmes;6;2.647;30.907,22;
2012;B1201628500000;O Diário De Tati;Mauro Farias;Ficção;Bang Filmes;RJ;Globo Filmes/Vinny Filmes;RJ/SP;Vinny Filmes;102;206.991;1.788.157,70;
2012;B1101527800000;O Homem Que Não Dormia;Edgard Navarro;Ficção;Truque;BA;-;-;Pandora Filmes;6;4.047;30.791,34;
2012;B1101512800000;O Liberdade;Cintia Langie/Rafael Andreazza;Documentário;Moviola Filmes;RS;-;-;Moviola Filmes;1;527;3.009,00;
2012;B1101377500000;O Manuscrito Perdido;José Barahona;Documentário;Refinaria Filmes;RJ;-;-;Refinaria Produções;2;145;1.012,00;
2012;B0700640600000;Onde A Coruja Dorme;Marcia Derraik/Simplicio Neto;Documentário;Tv Zero Produções;RJ;-;-;Riofilme;8;3.649;34.380,50;
2012;B1201681100000;Os Penetras;Andrucha Waddington;Ficção;Conspiração Filmes;RJ;Globo Filmes/Lereby/Teleimage;RJ/RJ/SP;Warner;330;2.548.441;25.613.581,00;
2012;B1201554600000;Paralelo 10;Silvio Da-Rin;Documentário;Diálogo Comunicação;RJ;-;-;Gávea Filmes E Produções;6;2.210;13.480,21;
2012;B1101509000000;Paraísos Artificiais;Marcos Prado;Ficção;Zazen Produções;RJ;-;-;Zazen;232;402.852;3.963.582,33;
2012;B1201656300000;Peixonauta: Agente Secreto Da O.S.T.R.A;Celia Serra/Kiko Mistrorigo;Animação;Tv Pinguim;SP;-;-;Ab Filmes/Polifilmes;48;7.412;71.933,36;
2012;B1201566400000;Ponto Org;Patrícia Moran;Ficção;Anderson Faria Produções Cinematográficas;MG;Dezenove Som E Imagens/Patrícia Moran;SP/MG;Usina Digital;ND;ND;ND;
2012;B1201571700000;Quem Se Importa?;Mara Mourão;Documentário;Mamo Filmes;SP;-;-;Imovision;5;7.811;92.849,73;
2012;B1201567700000;Raul, O Início, O Fim E O Meio;Evaldo Mocarzel/Walter Carvalho;Documentário;A.F. Cinema/Elixir Entretenimento;SP/SP;-;-;Paramount;36;170.471;1.883.285,00;
2012;B1201540200000;Reis E Ratos;Mauro Lima;Ficção;Uns Produções E Filmes;RJ;Globo Filmes/Guel Produtora;RJ/RJ;Warner;172;128.396;1.239.304,00;
2012;B1201571600000;Romance De Formação;Julia De Simone;Documentário;Matizar;RJ;-;-;Espaço Filmes;5;1.387;15.015,00;
2012;B1101495900000;Sagrado Segredo;André Luiz Oliveira;Documentário;André Luiz Oliveira/Asacine Produções;DF/DF;Gaia Filmes;DF;Polifilmes/Asacine;5;499;4.723,27;
2012;B1201554700000;Santos, 100 Anos De Futebol Arte;Lina Chamie;Documentário;Espn Brasil;SP;Canal Azul;SP;Canal Azul;2;691;7.719,00;
2012;B1201652400000;Soberano 2 – A Heróica Conquista Do Mundial De 2005;Carlos Nader/Mauricio Arruda;Documentário;G7 Cinema;SP;-;-;G7 Cinema;51;13.609;161.692,46;
2012;B1101513200000;Sudoeste;Eduardo Nunes;Ficção;3 Tabela Filmes/Superfilmes/Tropical Storm Entertainment;RJ/SP/RJ;-;-;Vitrine Filmes;3;2.805;24.476,50;
2012;B1201686200000;São Paulo Companhia De Dança;Evaldo Mocarzel;Documentário;Casa Azul Produções;SP;Raiz Produções;SP;Casa Azul;1;39;415,00;
2012;B1201659300000;Testemunha 4;Marcelo Grabowsky;Documentário;Mirada Filmes;RJ;Marcelo Grabowsky;-;Mirada Filmes;1;162;1.756,00;
2012;B1201593600000;Totalmente Inocentes;Rodrigo Bittencourt;Ficção;Atitude Produções/Migdal Filmes;RJ/RJ;Globo Filmes/Rf Cine Tv/Rodrigo Bittencourt;RJ/RJ/-;Downtown/Paris/Riofilme;153;523.577;5.372.762,07;
2012;B1201600900000;Tropicália;Marcelo Machado;Documentário;Bossa Nova Films;SP;Record Entretenimento/Rede Record De Televisão;SP/SP;Imagem;39;70.995;793.467,49;
2012;B1001312000000;Um Homem Qualquer;Caio Vecchio;Ficção;Encruzilhada Filmes;SP;-;-;Pipa Produções;9;1.093;8.811,98;
2012;B1101467000000;Uma Longa Viagem;Lucia Murat;Documentário;Lucia Murat/Taiga Filmes E Vídeo; -/RJ;Ebc Tv Brasil;DF;Vitrine Filmes;8;6.769;63.640,26;
2012;B1101513100000;Vale Dos Esquecidos;Maria Raduan;Documentário;Rt Features/Tucura Filmes;SP/SP;-;-;Espaço Filmes;3;424;5.151,00;
2012;B1201567200000;Violeta Foi Para O Céu;Andrés Wood;Ficção;Bossa Nova Films;SP;-;-;Imovision;11;37.243;362.595,26;
2012;B1201667100000;Virando Bicho;Alexandre Carvalho/Silvia Fraiha;Documentário;Fraiha Produções;RJ;-;-;Fraiha Produções;24;980;10.098,24;
2012;B1101526700000;Vou Rifar Meu Coração;Ana Rieper;Documentário;Amado Arte&Produção/Ana Rieper;RJ/RJ;-;-;Vitrine Filmes;18;11.081;92.521,82;
2012;B1201547400000;Xingu;Cao Hamburger;Ficção;O2 Filmes;SP;Globo Filmes;RJ;Sony/Downtown;205;378.087;3.898.549,67;
2012;B1201605900000;À Beira Do Caminho;Breno Silveira;Ficção;Conspiração Filmes;RJ;Teleimage;SP;Fox;218;159.109;1.484.420,77;
2012;B1101427000000;Área Q;Gerson Sanginitto;Ficção;Sophia Filmes;RJ;Estação Luz Filmes/Atc Entretenimentos;CE/CE;Califórnia;64;38.739;393.592,81;
2013;B1301877200000;A Alma Da Gente;David Meyer/Helena Solberg;Documentário;Radiante Filmes;RJ;-;-;E.H. Produções;8;1.646;17.320,65;
2013;B1301805800000;A Batalha Do Passinho;Emílio Domingos;Documentário;Osmose Filmes;RJ;-;-;Cine Santa Teresa;6;2.640;17.781,50;
2013;B1301751900000;A Busca;Luciano Moura;Ficção;O2 Filmes;SP;Globo Filmes;RJ;Downtown/Paris/Riofilme;162;352.914;3.686.889,75;
2013;B1301852900000;A Cidade É Uma Só?;Adirley Queirós;Documentário;400 Filmes/Cinco Da Norte Cine;DF/DF;-;-;Vitrine Filmes;6;1.495;14.682,78;
2013;B1201666700000;A Coleção Invisível;Bernard Attal;Ficção;Santa Luzia Filmes;BA;Ondina Filmes;BA;Pandora Filmes;20;8.595;68.288,87;
2013;B1301846600000;A Floresta De Jonathas;Sergio Andrade;Ficção;Rio Tarumã Films;AM;-;-;Vitrine Filmes;3;1.174;9.380,25;
2013;B1101405200000;A Luz Do Tom;Nelson Pereira Dos Santos;Documentário;Regina Filmes;RJ;-;-;Bretz Filmes/Riofilme;12;8.831;94.502,95;
